seed,env,act,iv,task,online_acc,online_ce,train_acc,train_ce,wnorm_l1,wnorm_l2,wnorm_l3,cnorm_l1,lowgate_l1,nearzero_l1
0,PM,ELU1,ref,1,0.9897603988647461,0.03957858309149742,1.0,4.956245538778603e-05,1.5174505710601807,1.1304705142974854,1.4292587041854858,1.5055903196334839,0.003633333370089531,0.49937498569488525
0,PM,ELU1,wclamp,1,0.9897603988647461,0.03957858309149742,1.0,4.956245538778603e-05,1.5174505710601807,1.1304705142974854,1.4292587041854858,1.5055903196334839,0.003633333370089531,0.49937498569488525
0,PM,LR,ref,1,0.9883020520210266,0.043335311114788055,1.0,5.462984336190857e-05,1.608235478401184,1.075463891029358,1.3705133199691772,1.5896145105361938,0.0,0.3731499910354614
0,PM,LR,wclamp,1,0.9883020520210266,0.043335311114788055,1.0,5.462984336190857e-05,1.608235478401184,1.075463891029358,1.3705133199691772,1.5896145105361938,0.0,0.3731499910354614
0,RL,ELU1,ref,1,0.7906354069709778,0.609719455242157,1.0,0.008020377717912197,3.46951961517334,1.6134209632873535,2.4304871559143066,3.4625515937805176,0.04721667245030403,0.5848749876022339
0,RL,ELU1,wclamp,1,0.7906354069709778,0.609719455242157,1.0,0.008020377717912197,3.46951961517334,1.6134209632873535,2.4304871559143066,3.4625515937805176,0.04721667245030403,0.5848749876022339
0,RL,LR,ref,1,0.8567395806312561,0.4328807294368744,1.0,0.003140996675938368,3.022515296936035,1.6505634784698486,2.462571382522583,3.014975070953369,0.0,0.5459334254264832
0,RL,LR,wclamp,1,0.8567395806312561,0.4328807294368744,1.0,0.003140996675938368,3.022515296936035,1.6505634784698486,2.462571382522583,3.014975070953369,0.0,0.5459334254264832
1,PM,ELU1,ref,1,0.988739550113678,0.040181685239076614,1.0,5.7195822591893375e-05,1.5484386682510376,1.1230955123901367,1.4369038343429565,1.5344477891921997,0.008141666650772095,0.46603333950042725
1,PM,ELU1,wclamp,1,0.988739550113678,0.040181685239076614,1.0,5.7195822591893375e-05,1.5484386682510376,1.1230955123901367,1.4369038343429565,1.5344477891921997,0.008141666650772095,0.46603333950042725
1,PM,LR,ref,1,0.9876041412353516,0.043348588049411774,1.0,6.228149140952155e-05,1.6148760318756104,1.0917019844055176,1.376303791999817,1.5983084440231323,0.0,0.3868333697319031
1,PM,LR,wclamp,1,0.9876041412353516,0.043348588049411774,1.0,6.228149140952155e-05,1.6148760318756104,1.0917019844055176,1.376303791999817,1.5983084440231323,0.0,0.3868333697319031
1,RL,ELU1,ref,1,0.8000520467758179,0.5881906151771545,1.0,0.005554294213652611,3.343224048614502,1.612985610961914,2.467710256576538,3.3377199172973633,0.03724166750907898,0.6138333678245544
1,RL,ELU1,wclamp,1,0.8000520467758179,0.5881906151771545,1.0,0.005554294213652611,3.343224048614502,1.612985610961914,2.467710256576538,3.3377199172973633,0.03724166750907898,0.6138333678245544
1,RL,LR,ref,1,0.8613333106040955,0.4136800765991211,1.0,0.0016492643626406789,2.778154134750366,1.5997121334075928,2.449394941329956,2.771496295928955,0.0,0.5829333662986755
1,RL,LR,wclamp,1,0.8613333106040955,0.4136800765991211,1.0,0.0016492643626406789,2.778154134750366,1.5997121334075928,2.449394941329956,2.771496295928955,0.0,0.5829333662986755
2,PM,ELU1,ref,1,0.9891353845596313,0.040221527218818665,1.0,5.514542499440722e-05,1.5386425256729126,1.135413408279419,1.4527515172958374,1.525734305381775,0.004833333194255829,0.48821669816970825
2,PM,ELU1,wclamp,1,0.9891353845596313,0.040221527218818665,1.0,5.514542499440722e-05,1.5386425256729126,1.135413408279419,1.4527515172958374,1.525734305381775,0.004833333194255829,0.48821669816970825
2,PM,LR,ref,1,0.9872916340827942,0.04475291818380356,1.0,6.368160393321887e-05,1.6348977088928223,1.0726524591445923,1.3803958892822266,1.6193270683288574,0.0,0.39738330245018005
2,PM,LR,wclamp,1,0.9872916340827942,0.04475291818380356,1.0,6.368160393321887e-05,1.6348977088928223,1.0726524591445923,1.3803958892822266,1.6193270683288574,0.0,0.39738330245018005
2,RL,ELU1,ref,1,0.790135383605957,0.6134929656982422,0.9650000333786011,0.10219992697238922,3.359058141708374,1.6003475189208984,2.4586949348449707,3.3522143363952637,0.04387500137090683,0.5898500680923462
2,RL,ELU1,wclamp,1,0.790135383605957,0.6134929656982422,0.9650000333786011,0.10219992697238922,3.359058141708374,1.6003475189208984,2.4586949348449707,3.3522143363952637,0.04387500137090683,0.5898500680923462
2,RL,LR,ref,1,0.8529062271118164,0.4427381455898285,1.0,0.003700872417539358,2.9663119316101074,1.643492341041565,2.4738996028900146,2.9593374729156494,0.0,0.5155750513076782
2,RL,LR,wclamp,1,0.8529062271118164,0.4427381455898285,1.0,0.003700872417539358,2.9663119316101074,1.643492341041565,2.4738996028900146,2.9593374729156494,0.0,0.5155750513076782
0,PM,ELU1,ref,2,0.9922499656677246,0.033097125589847565,1.0,5.960226189927198e-05,2.015636920928955,1.2898858785629272,1.6051281690597534,2.001749277114868,0.04545833542943001,0.4875750243663788
0,PM,ELU1,wclamp,2,0.9922499656677246,0.033097125589847565,1.0,5.960226189927198e-05,2.015636920928955,1.2898858785629272,1.6051281690597534,2.001749277114868,0.04545833542943001,0.4875750243663788
0,PM,LR,ref,2,0.9928125143051147,0.029346225783228874,1.0,5.161245644558221e-05,2.1387572288513184,1.3063980340957642,1.7547597885131836,2.117318630218506,0.0,0.3396250009536743
0,PM,LR,wclamp,2,0.9928125143051147,0.029346225783228874,1.0,5.161245644558221e-05,2.1387572288513184,1.3063980340957642,1.7547597885131836,2.117318630218506,0.0,0.3396250009536743
0,RL,ELU1,ref,2,0.7601145505905151,0.7170394062995911,1.0,0.004009939264506102,4.462159156799316,1.9314253330230713,2.621976613998413,4.448890209197998,0.25494998693466187,0.29629167914390564
0,RL,ELU1,wclamp,2,0.7601145505905151,0.7170394062995911,1.0,0.004009939264506102,4.462159156799316,1.9314253330230713,2.621976613998413,4.448890209197998,0.25494998693466187,0.29629167914390564
0,RL,LR,ref,2,0.7877916693687439,0.6255154609680176,1.0,0.0019524566596373916,4.1500349044799805,2.154078722000122,4.187497615814209,4.131255149841309,0.0,0.2723333537578583
0,RL,LR,wclamp,2,0.7877916693687439,0.6255154609680176,1.0,0.0019524566596373916,4.1500349044799805,2.154078722000122,4.187497615814209,4.131255149841309,0.0,0.2723333537578583
1,PM,ELU1,ref,2,0.9926249980926514,0.030918920412659645,1.0,5.445082933874801e-05,2.0550639629364014,1.2936550378799438,1.6309665441513062,2.042862892150879,0.08138334006071091,0.41949164867401123
