seed,branch,task,step,selected_rank,unit_id,q,zmean,gate_mean,sink_q_ge_0_95,dWin_interval_norm,db_interval_abs,dWout_interval_norm,upstream_l1_dWin_mean_interval,upstream_l1_db_mean_interval,upstream_l1_dWout_mean_interval,probe_ce,probe_acc,online_ce,online_acc,probe_auc_0_75_term
0,A,21,0,1,11,1.0,-129.56300354003906,1.3101592502705265e-22,1,,,,,,,2.334967613220215,0.08416666835546494,,,
0,A,21,0,2,77,0.9991666674613953,-74.87020874023438,0.0008333346340805292,1,,,,,,,2.334967613220215,0.08416666835546494,,,
0,A,21,0,3,96,1.0,-121.92237091064453,4.972747471318258e-20,1,,,,,,,2.334967613220215,0.08416666835546494,,,
0,A,21,0,4,63,1.0,-72.26828002929688,4.0448043135341005e-13,1,,,,,,,2.334967613220215,0.08416666835546494,,,
0,A,21,0,5,45,1.0,-109.70597839355469,5.4468801089045056e-18,1,,,,,,,2.334967613220215,0.08416666835546494,,,
0,A,21,0,6,69,1.0,-102.2424087524414,1.334012305663295e-16,1,,,,,,,2.334967613220215,0.08416666835546494,,,
0,A,21,0,7,81,1.0,-110.27286529541016,4.94549264561646e-19,1,,,,,,,2.334967613220215,0.08416666835546494,,,
0,A,21,0,8,84,1.0,-108.3013687133789,8.194199984344619e-13,1,,,,,,,2.334967613220215,0.08416666835546494,,,
0,A,21,0,9,72,1.0,-62.15785217285156,1.6040103273384787e-12,1,,,,,,,2.334967613220215,0.08416666835546494,,,
0,A,21,0,10,73,1.0,-168.0906219482422,1.799505997154039e-30,1,,,,,,,2.334967613220215,0.08416666835546494,,,
0,A,21,0,11,59,1.0,-92.05658721923828,1.9389608212249275e-17,1,,,,,,,2.334967613220215,0.08416666835546494,,,
0,A,21,0,12,14,1.0,-103.12796020507812,2.4379193100032415e-17,1,,,,,,,2.334967613220215,0.08416666835546494,,,
0,A,21,0,13,61,1.0,-100.20643615722656,6.533330822992725e-16,1,,,,,,,2.334967613220215,0.08416666835546494,,,
0,A,21,0,14,3,1.0,-103.10253143310547,2.973251494575411e-18,1,,,,,,,2.334967613220215,0.08416666835546494,,,
0,A,21,0,15,51,1.0,-131.0427703857422,1.461420993818376e-23,1,,,,,,,2.334967613220215,0.08416666835546494,,,
0,A,21,0,16,42,1.0,-119.72500610351562,7.678570607900572e-21,1,,,,,,,2.334967613220215,0.08416666835546494,,,
0,A,21,0,17,95,1.0,-99.03069305419922,4.3456624951766615e-20,1,,,,,,,2.334967613220215,0.08416666835546494,,,
0,A,21,0,18,99,1.0,-102.484375,7.30097269558986e-17,1,,,,,,,2.334967613220215,0.08416666835546494,,,
0,A,21,0,19,48,1.0,-131.5514373779297,2.761186402128328e-23,1,,,,,,,2.334967613220215,0.08416666835546494,,,
0,A,21,0,20,78,1.0,-110.61558532714844,1.9626881455442508e-19,1,,,,,,,2.334967613220215,0.08416666835546494,,,
0,A,21,75,1,11,1.0,-131.38719177246094,9.731426623218576e-23,1,0.0,0.0,0.006840703077614307,0.16164256632328033,0.010591041296720505,0.044731255620718,2.304171085357666,0.09666667133569717,2.340134382247925,0.09750000387430191,0.028994616866111756
0,A,21,75,2,77,1.0,-93.74571990966797,1.7340807678678516e-09,1,0.3163642883300781,0.03163933753967285,0.024624740704894066,0.16164256632328033,0.010591041296720505,0.044731255620718,2.304171085357666,0.09666667133569717,2.340134382247925,0.09750000387430191,0.028994616866111756
0,A,21,75,3,96,1.0,-124.1777114868164,2.0387863062066858e-20,1,0.0,0.0,0.006840735673904419,0.16164256632328033,0.010591041296720505,0.044731255620718,2.304171085357666,0.09666667133569717,2.340134382247925,0.09750000387430191,0.028994616866111756
0,A,21,75,4,63,1.0,-74.97738647460938,1.1608861658421454e-13,1,1.0937521892628865e-06,1.043081283569336e-07,0.0068407366052269936,0.16164256632328033,0.010591041296720505,0.044731255620718,2.304171085357666,0.09666667133569717,2.340134382247925,0.09750000387430191,0.028994616866111756
0,A,21,75,5,45,1.0,-110.14634704589844,2.553725960608676e-18,1,0.0,0.0,0.006840701214969158,0.16164256632328033,0.010591041296720505,0.044731255620718,2.304171085357666,0.09666667133569717,2.340134382247925,0.09750000387430191,0.028994616866111756
0,A,21,75,6,69,1.0,-103.79792785644531,7.174572218802367e-17,1,0.0,0.0,0.0068406881764531136,0.16164256632328033,0.010591041296720505,0.044731255620718,2.304171085357666,0.09666667133569717,2.340134382247925,0.09750000387430191,0.028994616866111756
0,A,21,75,7,81,1.0,-112.52442932128906,3.542539784504885e-19,1,0.0,0.0,0.006840595509856939,0.16164256632328033,0.010591041296720505,0.044731255620718,2.304171085357666,0.09666667133569717,2.340134382247925,0.09750000387430191,0.028994616866111756
0,A,21,75,8,84,1.0,-108.55079650878906,6.173240087517518e-13,1,1.2597170950812142e-07,0.0,0.006840687245130539,0.16164256632328033,0.010591041296720505,0.044731255620718,2.304171085357666,0.09666667133569717,2.340134382247925,0.09750000387430191,0.028994616866111756
0,A,21,75,9,72,1.0,-62.617897033691406,9.63495234117262e-13,1,2.745775304902054e-07,0.0,0.006840722169727087,0.16164256632328033,0.010591041296720505,0.044731255620718,2.304171085357666,0.09666667133569717,2.340134382247925,0.09750000387430191,0.028994616866111756
0,A,21,75,10,73,1.0,-169.5739288330078,7.7141055052373285e-31,1,0.0,0.0,0.006840670481324196,0.16164256632328033,0.010591041296720505,0.044731255620718,2.304171085357666,0.09666667133569717,2.340134382247925,0.09750000387430191,0.028994616866111756
0,A,21,75,11,59,1.0,-92.44432830810547,1.8431390610139272e-17,1,0.0,0.0,0.0068406942300498486,0.16164256632328033,0.010591041296720505,0.044731255620718,2.304171085357666,0.09666667133569717,2.340134382247925,0.09750000387430191,0.028994616866111756
0,A,21,75,12,14,1.0,-104.15554809570312,1.4810981542033506e-17,1,0.0,0.0,0.006840720307081938,0.16164256632328033,0.010591041296720505,0.044731255620718,2.304171085357666,0.09666667133569717,2.340134382247925,0.09750000387430191,0.028994616866111756
0,A,21,75,13,61,1.0,-100.99021911621094,4.2116349550901653e-16,1,1.955777406692505e-08,0.0,0.0068406411446630955,0.16164256632328033,0.010591041296720505,0.044731255620718,2.304171085357666,0.09666667133569717,2.340134382247925,0.09750000387430191,0.028994616866111756
0,A,21,75,14,3,1.0,-105.2986068725586,9.629848507752992e-19,1,0.0,0.0,0.006840696558356285,0.16164256632328033,0.010591041296720505,0.044731255620718,2.304171085357666,0.09666667133569717,2.340134382247925,0.09750000387430191,0.028994616866111756
0,A,21,75,15,51,1.0,-135.57650756835938,2.53874687506209e-24,1,0.0,0.0,0.006840646732598543,0.16164256632328033,0.010591041296720505,0.044731255620718,2.304171085357666,0.09666667133569717,2.340134382247925,0.09750000387430191,0.028994616866111756
0,A,21,75,16,42,1.0,-122.15851593017578,2.9026361422757447e-21,1,0.0,0.0,0.006840732879936695,0.16164256632328033,0.010591041296720505,0.044731255620718,2.304171085357666,0.09666667133569717,2.340134382247925,0.09750000387430191,0.028994616866111756
0,A,21,75,17,95,1.0,-101.03883361816406,1.481465290563414e-20,1,0.0,0.0,0.006840836256742477,0.16164256632328033,0.010591041296720505,0.044731255620718,2.304171085357666,0.09666667133569717,2.340134382247925,0.09750000387430191,0.028994616866111756
0,A,21,75,18,99,1.0,-104.7678451538086,2.0497644766904883e-17,1,0.0,0.0,0.006840633228421211,0.16164256632328033,0.010591041296720505,0.044731255620718,2.304171085357666,0.09666667133569717,2.340134382247925,0.09750000387430191,0.028994616866111756
0,A,21,75,19,48,1.0,-132.3455810546875,2.2317952592698956e-23,1,0.0,0.0,0.006840568035840988,0.16164256632328033,0.010591041296720505,0.044731255620718,2.304171085357666,0.09666667133569717,2.340134382247925,0.09750000387430191,0.028994616866111756
0,A,21,75,20,78,1.0,-110.0331802368164,2.2604553299813826e-19,1,0.0,0.0,0.0068408590741455555,0.16164256632328033,0.010591041296720505,0.044731255620718,2.304171085357666,0.09666667133569717,2.340134382247925,0.09750000387430191,0.028994616866111756
0,A,21,375,1,11,1.0,-131.387451171875,9.747623515324574e-23,1,0.0,0.0,0.006612694356590509,0.0008443249971605837,5.625982885248959e-05,0.00026615176466293633,2.308314085006714,0.11083333939313889,2.3221147060394287,0.09616666287183762,
0,A,21,375,2,77,1.0,-93.80992126464844,1.5355356985935487e-09,1,0.0011014902265742421,0.00011020898818969727,0.006340606603771448,0.0008443249971605837,5.625982885248959e-05,0.00026615176466293633,2.308314085006714,0.11083333939313889,2.3221147060394287,0.09616666287183762,
0,A,21,375,3,96,1.0,-124.1796875,2.037253275575335e-20,1,0.0,0.0,0.006612672470510006,0.0008443249971605837,5.625982885248959e-05,0.00026615176466293633,2.308314085006714,0.11083333939313889,2.3221147060394287,0.09616666287183762,
0,A,21,375,4,63,1.0,-74.98543548583984,1.15634498504269e-13,1,3.74280421056028e-06,3.3527612686157227e-07,0.006612224038690329,0.0008443249971605837,5.625982885248959e-05,0.00026615176466293633,2.308314085006714,0.11083333939313889,2.3221147060394287,0.09616666287183762,
0,A,21,375,5,45,1.0,-110.14810180664062,2.5621024050816944e-18,1,0.0,0.0,0.0066127353347837925,0.0008443249971605837,5.625982885248959e-05,0.00026615176466293633,2.308314085006714,0.11083333939313889,2.3221147060394287,0.09616666287183762,
0,A,21,375,6,69,1.0,-103.79763793945312,7.184106633414898e-17,1,0.0,0.0,0.006612702272832394,0.0008443249971605837,5.625982885248959e-05,0.00026615176466293633,2.308314085006714,0.11083333939313889,2.3221147060394287,0.09616666287183762,
