seed,env,checkpoint,layer,branch,task,step,ce,acc,online_ce,online_acc
0,RL,20,1,A,21,0,2.334967613220215,0.08416666835546494,,
0,RL,20,1,B20,21,0,2.334967613220215,0.08416666835546494,,
0,RL,20,1,C20,21,0,2.3371126651763916,0.08416666835546494,,
0,RL,20,1,D20,21,0,2.3371126651763916,0.08416666835546494,,
0,RL,20,1,C5,21,0,2.3371126651763916,0.08416666835546494,,
0,RL,20,1,D5,21,0,2.3371126651763916,0.08416666835546494,,
0,RL,20,1,C10,21,0,2.3371126651763916,0.08416666835546494,,
0,RL,20,1,D10,21,0,2.3371126651763916,0.08416666835546494,,
0,RL,20,1,RB20,21,0,2.334967613220215,0.08416666835546494,,
0,RL,20,1,RC20,21,0,2.3387837409973145,0.0833333358168602,,
0,RL,20,1,RD20,21,0,2.3387837409973145,0.0833333358168602,,
1,RL,20,1,A,21,0,3.0324811935424805,0.10333333909511566,,
1,RL,20,1,B20,21,0,3.0324811935424805,0.10333333909511566,,
1,RL,20,1,C20,21,0,3.0259907245635986,0.10333333909511566,,
1,RL,20,1,D20,21,0,3.0259907245635986,0.10333333909511566,,
1,RL,20,1,C5,21,0,3.0259907245635986,0.10333333909511566,,
1,RL,20,1,D5,21,0,3.0259907245635986,0.10333333909511566,,
1,RL,20,1,C10,21,0,3.0259907245635986,0.10333333909511566,,
1,RL,20,1,D10,21,0,3.0259907245635986,0.10333333909511566,,
1,RL,20,1,RB20,21,0,3.0324811935424805,0.10333333909511566,,
1,RL,20,1,RC20,21,0,3.4786667823791504,0.10083333402872086,,
1,RL,20,1,RD20,21,0,3.4786667823791504,0.10083333402872086,,
2,RL,20,1,A,21,0,2.5875117778778076,0.09833333641290665,,
2,RL,20,1,B20,21,0,2.5875117778778076,0.09833333641290665,,
2,RL,20,1,C20,21,0,2.778059959411621,0.09916666895151138,,
2,RL,20,1,D20,21,0,2.778059959411621,0.09916666895151138,,
2,RL,20,1,C5,21,0,2.778059959411621,0.09916666895151138,,
2,RL,20,1,D5,21,0,2.778059959411621,0.09916666895151138,,
2,RL,20,1,C10,21,0,2.778059959411621,0.09916666895151138,,
2,RL,20,1,D10,21,0,2.778059959411621,0.09916666895151138,,
2,RL,20,1,RB20,21,0,2.5875117778778076,0.09833333641290665,,
2,RL,20,1,RC20,21,0,2.733036756515503,0.09750000387430191,,
2,RL,20,1,RD20,21,0,2.733036756515503,0.09750000387430191,,
0,RL,20,1,A,21,75,2.304171085357666,0.09666667133569717,2.340134382247925,0.09750000387430191
0,RL,20,1,B20,21,75,2.304171085357666,0.09666667133569717,2.340134382247925,0.09750000387430191
0,RL,20,1,C20,21,75,2.303692579269409,0.09666667133569717,2.342435121536255,0.09750000387430191
0,RL,20,1,D20,21,75,2.3036887645721436,0.09666667133569717,2.3424201011657715,0.09750000387430191
0,RL,20,1,C5,21,75,2.303692579269409,0.09666667133569717,2.342435121536255,0.09750000387430191
0,RL,20,1,D5,21,75,2.3036887645721436,0.09666667133569717,2.3424201011657715,0.09750000387430191
0,RL,20,1,C10,21,75,2.303692579269409,0.09666667133569717,2.342435121536255,0.09750000387430191
0,RL,20,1,D10,21,75,2.3036887645721436,0.09666667133569717,2.3424201011657715,0.09750000387430191
0,RL,20,1,RB20,21,75,2.304171085357666,0.09666667133569717,2.340134382247925,0.09750000387430191
0,RL,20,1,RC20,21,75,2.304168939590454,0.09666667133569717,2.3417344093322754,0.09750000387430191
0,RL,20,1,RD20,21,75,2.3041722774505615,0.09666667133569717,2.3419487476348877,0.09750000387430191
1,RL,20,1,A,21,75,2.3249452114105225,0.09416666626930237,2.6542677879333496,0.0925000011920929
1,RL,20,1,B20,21,75,2.3256380558013916,0.09416666626930237,2.6544177532196045,0.0925000011920929
1,RL,20,1,C20,21,75,2.3345251083374023,0.09416666626930237,2.6814844608306885,0.0949999988079071
1,RL,20,1,D20,21,75,2.3361501693725586,0.09333333373069763,2.68084454536438,0.0949999988079071
1,RL,20,1,C5,21,75,2.3345251083374023,0.09416666626930237,2.6814844608306885,0.0949999988079071
1,RL,20,1,D5,21,75,2.3361501693725586,0.09333333373069763,2.68084454536438,0.0949999988079071
1,RL,20,1,C10,21,75,2.3345251083374023,0.09416666626930237,2.6814844608306885,0.0949999988079071
1,RL,20,1,D10,21,75,2.3361501693725586,0.09333333373069763,2.68084454536438,0.0949999988079071
1,RL,20,1,RB20,21,75,2.3250234127044678,0.09416666626930237,2.6543116569519043,0.0925000011920929
1,RL,20,1,RC20,21,75,2.3283586502075195,0.09416666626930237,2.6801233291625977,0.09833333641290665
1,RL,20,1,RD20,21,75,2.330228328704834,0.09416666626930237,2.690004348754883,0.09833333641290665
2,RL,20,1,A,21,75,2.345743417739868,0.09083333611488342,2.5541768074035645,0.10166666656732559
2,RL,20,1,B20,21,75,2.347907066345215,0.09083333611488342,2.5542232990264893,0.10166666656732559
2,RL,20,1,C20,21,75,2.358349561691284,0.09083333611488342,2.6437270641326904,0.10333333909511566
2,RL,20,1,D20,21,75,2.376495599746704,0.09083333611488342,2.663001298904419,0.10333333909511566
2,RL,20,1,C5,21,75,2.358349561691284,0.09083333611488342,2.6437270641326904,0.10333333909511566
2,RL,20,1,D5,21,75,2.376495599746704,0.09083333611488342,2.663001298904419,0.10333333909511566
2,RL,20,1,C10,21,75,2.358349561691284,0.09083333611488342,2.6437270641326904,0.10333333909511566
2,RL,20,1,D10,21,75,2.376495599746704,0.09083333611488342,2.663001298904419,0.10333333909511566
2,RL,20,1,RB20,21,75,2.3480424880981445,0.09083333611488342,2.5545194149017334,0.10166666656732559
2,RL,20,1,RC20,21,75,2.3431618213653564,0.09083333611488342,2.583174705505371,0.10333333909511566
2,RL,20,1,RD20,21,75,2.3448352813720703,0.09083333611488342,2.590195417404175,0.10000000149011612
0,RL,20,1,A,21,375,2.308314085006714,0.11083333939313889,2.3221147060394287,0.09616666287183762
0,RL,20,1,B20,21,375,2.308314323425293,0.11083333939313889,2.322114944458008,0.09616666287183762
0,RL,20,1,C20,21,375,2.3051774501800537,0.11166667193174362,2.3214359283447266,0.09616666287183762
0,RL,20,1,D20,21,375,2.3052475452423096,0.11166667193174362,2.322918653488159,0.09583333134651184
0,RL,20,1,C5,21,375,2.3051774501800537,0.11166667193174362,2.3214359283447266,0.09616666287183762
0,RL,20,1,D5,21,375,2.3052475452423096,0.11166667193174362,2.322918653488159,0.09583333134651184
0,RL,20,1,C10,21,375,2.3051774501800537,0.11166667193174362,2.3214359283447266,0.09616666287183762
0,RL,20,1,D10,21,375,2.3052475452423096,0.11166667193174362,2.322918653488159,0.09583333134651184
0,RL,20,1,RB20,21,375,2.308314323425293,0.11083333939313889,2.322114944458008,0.09616666287183762
0,RL,20,1,RC20,21,375,2.3067235946655273,0.11166667193174362,2.3223719596862793,0.09600000083446503
0,RL,20,1,RD20,21,375,2.305227041244507,0.11166667193174362,2.322418212890625,0.09616666287183762
1,RL,20,1,A,21,375,2.3030617237091064,0.1158333346247673,2.385418653488159,0.10383333265781403
1,RL,20,1,B20,21,375,2.3031935691833496,0.1158333346247673,2.3857972621917725,0.10400000214576721
1,RL,20,1,C20,21,375,2.299062490463257,0.11749999970197678,2.394315242767334,0.10449999570846558
1,RL,20,1,D20,21,375,2.299872398376465,0.11749999970197678,2.394043207168579,0.10483333468437195
1,RL,20,1,C5,21,375,2.299062490463257,0.11749999970197678,2.394315242767334,0.10449999570846558
1,RL,20,1,D5,21,375,2.299872398376465,0.11749999970197678,2.394043207168579,0.10483333468437195
1,RL,20,1,C10,21,375,2.299062490463257,0.11749999970197678,2.394315242767334,0.10449999570846558
1,RL,20,1,D10,21,375,2.299872398376465,0.11749999970197678,2.394043207168579,0.10483333468437195
1,RL,20,1,RB20,21,375,2.3030478954315186,0.1158333346247673,2.385404586791992,0.10383333265781403
1,RL,20,1,RC20,21,375,2.2950565814971924,0.11833333969116211,2.3890461921691895,0.10449999570846558
1,RL,20,1,RD20,21,375,2.299593925476074,0.11833333969116211,2.3938097953796387,0.10566666722297668
2,RL,20,1,A,21,375,2.3068294525146484,0.10750000178813934,2.3713345527648926,0.09783333539962769
2,RL,20,1,B20,21,375,2.3068482875823975,0.10750000178813934,2.3717613220214844,0.09783333539962769
2,RL,20,1,C20,21,375,2.302476406097412,0.10999999940395355,2.3924107551574707,0.10183332860469818
2,RL,20,1,D20,21,375,2.2992770671844482,0.10999999940395355,2.402045965194702,0.1003333330154419
2,RL,20,1,C5,21,375,2.302476406097412,0.10999999940395355,2.3924107551574707,0.10183332860469818
2,RL,20,1,D5,21,375,2.2992770671844482,0.10999999940395355,2.402045965194702,0.1003333330154419
2,RL,20,1,C10,21,375,2.302476406097412,0.10999999940395355,2.3924107551574707,0.10183332860469818
2,RL,20,1,D10,21,375,2.2992770671844482,0.10999999940395355,2.402045965194702,0.1003333330154419
2,RL,20,1,RB20,21,375,2.3068668842315674,0.10750000178813934,2.371985912322998,0.09799999743700027
2,RL,20,1,RC20,21,375,2.301251173019409,0.10999999940395355,2.375485420227051,0.09983333200216293
2,RL,20,1,RD20,21,375,2.30078125,0.10999999940395355,2.375514507293701,0.09966666251420975
0,RL,20,1,A,21,1500,2.3149235248565674,0.11833333969116211,2.320582151412964,0.1002916619181633
0,RL,20,1,B20,21,1500,2.3149237632751465,0.11833333969116211,2.320582151412964,0.1002916619181633
0,RL,20,1,C20,21,1500,2.3032588958740234,0.12166666984558105,2.3154475688934326,0.10245833545923233
0,RL,20,1,D20,21,1500,2.303828477859497,0.12083333730697632,2.3157334327697754,0.10220833122730255
0,RL,20,1,C5,21,1500,2.3032588958740234,0.12166666984558105,2.3154475688934326,0.10245833545923233
0,RL,20,1,D5,21,1500,2.303828477859497,0.12083333730697632,2.3157334327697754,0.10220833122730255
0,RL,20,1,C10,21,1500,2.3032588958740234,0.12166666984558105,2.3154475688934326,0.10245833545923233
0,RL,20,1,D10,21,1500,2.303828477859497,0.12083333730697632,2.3157334327697754,0.10220833122730255
0,RL,20,1,RB20,21,1500,2.3149235248565674,0.11833333969116211,2.3205819129943848,0.1002916619181633
0,RL,20,1,RC20,21,1500,2.3104190826416016,0.12000000476837158,2.3183529376983643,0.10141666233539581
0,RL,20,1,RD20,21,1500,2.305966377258301,0.12166666984558105,2.3161611557006836,0.101583331823349
1,RL,20,1,A,21,1500,2.2953081130981445,0.1274999976158142,2.328200101852417,0.1067916676402092
1,RL,20,1,B20,21,1500,2.2966370582580566,0.1274999976158142,2.3281476497650146,0.10658333450555801
1,RL,20,1,C20,21,1500,2.2865540981292725,0.1274999976158142,2.325099229812622,0.10841666907072067
1,RL,20,1,D20,21,1500,2.2865564823150635,0.1274999976158142,2.3245937824249268,0.10879166424274445
1,RL,20,1,C5,21,1500,2.2865540981292725,0.1274999976158142,2.325099229812622,0.10841666907072067
1,RL,20,1,D5,21,1500,2.2865564823150635,0.1274999976158142,2.3245937824249268,0.10879166424274445
1,RL,20,1,C10,21,1500,2.2865540981292725,0.1274999976158142,2.325099229812622,0.10841666907072067
1,RL,20,1,D10,21,1500,2.2865564823150635,0.1274999976158142,2.3245937824249268,0.10879166424274445
1,RL,20,1,RB20,21,1500,2.291916847229004,0.12666666507720947,2.327371835708618,0.10700000077486038
1,RL,20,1,RC20,21,1500,2.28147554397583,0.12916666269302368,2.3211684226989746,0.10962499678134918
1,RL,20,1,RD20,21,1500,2.2828385829925537,0.12833333015441895,2.3233885765075684,0.10970833152532578
2,RL,20,1,A,21,1500,2.306469202041626,0.11250000447034836,2.3307690620422363,0.10254166275262833
2,RL,20,1,B20,21,1500,2.3065154552459717,0.11250000447034836,2.330933094024658,0.10258333384990692
2,RL,20,1,C20,21,1500,2.2919654846191406,0.11833333969116211,2.3300259113311768,0.10487499833106995
2,RL,20,1,D20,21,1500,2.289200782775879,0.12083333730697632,2.3299412727355957,0.10408332943916321
2,RL,20,1,C5,21,1500,2.2919654846191406,0.11833333969116211,2.3300259113311768,0.10487499833106995
2,RL,20,1,D5,21,1500,2.289200782775879,0.12083333730697632,2.3299412727355957,0.10408332943916321
2,RL,20,1,C10,21,1500,2.2919654846191406,0.11833333969116211,2.3300259113311768,0.10487499833106995
2,RL,20,1,D10,21,1500,2.289200782775879,0.12083333730697632,2.3299412727355957,0.10408332943916321
2,RL,20,1,RB20,21,1500,2.3065903186798096,0.11250000447034836,2.3309948444366455,0.10270833224058151
2,RL,20,1,RC20,21,1500,2.291862964630127,0.12000000476837158,2.3255045413970947,0.10537499934434891
2,RL,20,1,RD20,21,1500,2.291574239730835,0.11833333969116211,2.323930263519287,0.10624999552965164
0,RL,20,1,A,21,3000,2.303715467453003,0.10833333432674408,2.319852113723755,0.10135416686534882
0,RL,20,1,B20,21,3000,2.303715467453003,0.10833333432674408,2.3198487758636475,0.10135416686534882
0,RL,20,1,C20,21,3000,2.2732341289520264,0.11749999970197678,2.306016683578491,0.1055208295583725
0,RL,20,1,D20,21,3000,2.279913902282715,0.1158333346247673,2.3103456497192383,0.10400000214576721
0,RL,20,1,C5,21,3000,2.2732341289520264,0.11749999970197678,2.306016683578491,0.1055208295583725
0,RL,20,1,D5,21,3000,2.279913902282715,0.1158333346247673,2.3103456497192383,0.10400000214576721
0,RL,20,1,C10,21,3000,2.2732341289520264,0.11749999970197678,2.306016683578491,0.1055208295583725
0,RL,20,1,D10,21,3000,2.279913902282715,0.1158333346247673,2.3103456497192383,0.10400000214576721
0,RL,20,1,RB20,21,3000,2.303715944290161,0.10833333432674408,2.3198485374450684,0.10135416686534882
0,RL,20,1,RC20,21,3000,2.2966630458831787,0.11083333939313889,2.316415309906006,0.10308333486318588
0,RL,20,1,RD20,21,3000,2.29123854637146,0.11250000447034836,2.312919855117798,0.10360416769981384
1,RL,20,1,A,21,3000,2.282951593399048,0.13250000774860382,2.311532497406006,0.10922916233539581
1,RL,20,1,B20,21,3000,2.2901320457458496,0.13083334267139435,2.3146841526031494,0.10693749785423279
1,RL,20,1,C20,21,3000,2.290557384490967,0.1274999976158142,2.3104584217071533,0.10929166525602341
1,RL,20,1,D20,21,3000,2.2799901962280273,0.13333334028720856,2.30964732170105,0.10981249809265137
1,RL,20,1,C5,21,3000,2.290557384490967,0.1274999976158142,2.3104584217071533,0.10929166525602341
1,RL,20,1,D5,21,3000,2.2799901962280273,0.13333334028720856,2.30964732170105,0.10981249809265137
1,RL,20,1,C10,21,3000,2.290557384490967,0.1274999976158142,2.3104584217071533,0.10929166525602341
1,RL,20,1,D10,21,3000,2.2799901962280273,0.13333334028720856,2.30964732170105,0.10981249809265137
1,RL,20,1,RB20,21,3000,2.2831459045410156,0.13333334028720856,2.3122165203094482,0.10845833271741867
1,RL,20,1,RC20,21,3000,2.2686715126037598,0.13833333551883698,2.3027217388153076,0.11189582943916321
1,RL,20,1,RD20,21,3000,2.277824878692627,0.13333334028720856,2.306034803390503,0.1107083335518837
2,RL,20,1,A,21,3000,2.3018431663513184,0.09916666895151138,2.322167158126831,0.1028958335518837
