exp,width,period,enc,c,kappa,lr,batch,seed,method,method_cfg,run_id,arm,noise_sd,K_cell,freeze_bias
B,20,1000,std,0.0,1,0.01,1,0,none,{'name': 'none'},B_w20_K1000_c0.0_lr0.01_s0,A2,0.0,1000,True
B,20,1000,std,0.0,1,0.01,1,1,none,{'name': 'none'},B_w20_K1000_c0.0_lr0.01_s1,A2,0.0,1000,True
B,20,1000,std,0.0,1,0.01,1,2,none,{'name': 'none'},B_w20_K1000_c0.0_lr0.01_s2,A2,0.0,1000,True
B,20,1000,std,0.0,1,0.01,1,3,none,{'name': 'none'},B_w20_K1000_c0.0_lr0.01_s3,A2,0.0,1000,True
B,20,1000,std,0.0,1,0.01,1,4,none,{'name': 'none'},B_w20_K1000_c0.0_lr0.01_s4,A2,0.0,1000,True
