variant,k,M,ci_lo,ci_hi,n_pair,n_seed_contrib,delta_vs_main,rel_delta_vs_main,ci_method,note
win_lo_m1,1,8.715285189752263e-06,-1.1139181845836094e-05,2.6208758225749335e-05,273237,10,1.9207306326058822e-05,-1.8306583713974722,studentized,"window lower edge -1 band: x in [0.0, 0.9)"
win_lo_p1,1,-3.514220496664062e-05,-0.00010633603317273471,3.824346335202551e-05,78217,10,-2.4650183830334062e-05,2.3494218616310865,studentized,"window lower edge +1 band: x in [0.2, 0.9)"
win_hi_m1,1,-5.780614898647826e-06,-3.810368753584142e-05,1.9733222266107448e-05,156543,10,4.711406237658733e-06,-0.4490465827747332,studentized,"window upper edge -1 band: x in [0.1, 0.8)"
win_hi_p1,1,-9.889133934564448e-06,-4.346304158515798e-05,3.2090595709872076e-05,157724,10,6.028872017421112e-07,-0.057461493253752806,studentized,"window upper edge +1 band: x in [0.1, 1.0)"
a_no_near,1,-1.0525381179267151e-05,-4.4610276281326e-05,2.7719659668125317e-05,157188,10,-3.336004296059219e-08,0.0031795630724716323,studentized,population A_no_near: p_hat_start >= 0.05
pair_weight,1,-1.2569165174088375e-05,-3.935176945513056e-05,1.391342669836318e-05,157248,10,-2.077144037781816e-06,0.19797368026586154,percentile,pair-equal weighting instead of seed-equal
no_blip,1,-1.3807957631537662e-05,-4.738790993798824e-05,3.289340578457411e-05,154251,10,-3.3159364952311026e-06,0.31604363469652624,studentized,"window minus band [0.6,0.7) (spec 5-4 blip contribution)"
no_strict_off,1,-1.0492021136306559e-05,-4.448831969263446e-05,2.7740721459138906e-05,157248,10,0.0,-0.0,studentized,window minus pairs that are strict-off at the end (spec 5-6)
win_lo_m1,2,1.1030937855255314e-05,-1.0128936497775932e-05,2.928522295696057e-05,273237,10,1.3374014772504449e-05,-5.707885504760158,studentized,"window lower edge -1 band: x in [0.0, 0.9)"
win_lo_p1,2,-1.2093860802556226e-05,-0.00010573747784996604,3.7918261291010514e-05,78217,10,-9.750783885307092e-06,4.161529574007711,studentized,"window lower edge +1 band: x in [0.2, 0.9)"
win_hi_m1,2,5.79689680965846e-07,-4.5169853876617776e-05,2.300339533079364e-05,156543,10,2.92276659821498e-06,-1.2474053142252046,studentized,"window upper edge -1 band: x in [0.1, 0.8)"
win_hi_p1,2,-7.740997404746851e-07,-4.18586732894751e-05,2.9488499271193405e-05,157724,10,1.568977176774449e-06,-0.6696225656204624,studentized,"window upper edge +1 band: x in [0.1, 1.0)"
a_no_near,2,-2.378801072414525e-06,-4.306558273577661e-05,2.374105688912165e-05,157188,10,-3.5724155165390796e-08,0.015246684776926735,studentized,population A_no_near: p_hat_start >= 0.05
pair_weight,2,-4.6031207718182636e-06,-3.193993464568361e-05,1.894398810843395e-05,157248,10,-2.2600438545691295e-06,0.9645623828783697,percentile,pair-equal weighting instead of seed-equal
no_blip,2,-5.506885490052961e-06,-4.0193401925605495e-05,2.1466830530428455e-05,154251,10,-3.163808572803827e-06,1.3502794336424366,studentized,"window minus band [0.6,0.7) (spec 5-4 blip contribution)"
no_strict_off,2,-2.343076917249134e-06,-4.2888261168606855e-05,2.3724260780617873e-05,157248,10,0.0,-0.0,studentized,window minus pairs that are strict-off at the end (spec 5-6)
win_lo_m1,5,1.9758690424159443e-05,-1.2573423192571741e-06,4.940977755983896e-05,273237,10,7.596627330824433e-07,0.0399842952720798,studentized,"window lower edge -1 band: x in [0.0, 0.9)"
win_lo_p1,5,3.319300129532926e-05,-0.00013229172368413962,8.242321990300852e-05,78217,10,1.419397360425226e-05,0.7470894740007427,studentized,"window lower edge +1 band: x in [0.2, 0.9)"
win_hi_m1,5,1.7604768707311394e-05,-2.3867200584953815e-05,4.6240353356432626e-05,156543,10,-1.3942589837656063e-06,-0.07338580723372638,studentized,"window upper edge -1 band: x in [0.1, 0.8)"
win_hi_p1,5,2.3157316658356e-05,-1.5178573720799034e-05,5.756717305008214e-05,157724,10,4.158288967278999e-06,0.21886851447834685,studentized,"window upper edge +1 band: x in [0.1, 1.0)"
a_no_near,5,1.8970863581079303e-05,-2.1031888507211065e-05,4.7952061121489466e-05,157188,10,-2.8164109997696536e-08,-0.0014823974392607453,studentized,population A_no_near: p_hat_start >= 0.05
pair_weight,5,1.64384059528725e-05,-1.2611103834618538e-05,4.3349241089486416e-05,157248,10,-2.5606217382044987e-06,-0.13477646224007078,percentile,pair-equal weighting instead of seed-equal
no_blip,5,1.62404638172837e-05,-2.36746923578284e-05,5.4905161320411155e-05,154251,10,-2.7585638737932996e-06,-0.1451950025363074,studentized,"window minus band [0.6,0.7) (spec 5-4 blip contribution)"
