population,k,band,band_left,band_right,band_center,n_pair,n_seed,seed_ids,guard_main,H,F0,D,F_path,T1,T2
A,1,1,0.1,0.2,0.15000000000000002,79031,10,"10,11,12,13,14,15,16,17,18,19",True,1.479463782233896e-05,3.473214774649955e-06,1.8267852596988903e-05,3.473214774649955e-06,0.0,1.479463782233896e-05
A,1,2,0.2,0.30000000000000004,0.25,41945,10,"10,11,12,13,14,15,16,17,18,19",True,-4.649836360332435e-05,-6.564414176296481e-05,-0.00011214250536628919,-6.564414176296481e-05,0.0,-4.649836360332435e-05
A,1,3,0.30000000000000004,0.4,0.35000000000000003,16623,10,"10,11,12,13,14,15,16,17,18,19",True,9.459362739558457e-06,-0.00015395953771357853,-0.00014450017497402007,-0.00015395953771357853,0.0,9.459362739558457e-06
A,1,4,0.4,0.5,0.45,8505,10,"10,11,12,13,14,15,16,17,18,19",True,-2.1423966643128533e-05,-0.00041084998705405554,-0.000432273953697184,-0.00041084998705405554,0.0,-2.1423966643128533e-05
A,1,5,0.5,0.6000000000000001,0.55,5728,10,"10,11,12,13,14,15,16,17,18,19",True,4.571792381859124e-05,-0.0003151051471562704,-0.0002693872233376792,-0.0003151051471562704,0.0,4.571792381859124e-05
A,1,6,0.6000000000000001,0.7000000000000001,0.65,2997,10,"10,11,12,13,14,15,16,17,18,19",True,0.00014378831795034726,-0.00043134165803859195,-0.00028755334008824464,-0.00043134165803859195,0.0,0.00014378831795034726
A,1,7,0.7000000000000001,0.8,0.75,1714,10,"10,11,12,13,14,15,16,17,18,19",True,0.0003865718772911212,-0.0017602742233296601,-0.0013737023460385388,-0.0017602742233296601,0.0,0.0003865718772911212
A,1,8,0.8,0.9,0.8500000000000001,705,8,"10,11,12,14,15,16,18,19",True,-0.0004313524965340479,-0.006022608163053951,-0.006453960659587999,-0.006022608163053951,0.0,-0.0004313524965340479
A,2,1,0.1,0.2,0.15000000000000002,79031,10,"10,11,12,13,14,15,16,17,18,19",True,7.824233199258198e-06,3.473214774649955e-06,1.129744797390814e-05,-1.4562705633730708e-06,-4.929485338023014e-06,1.2753718537281217e-05
A,2,2,0.2,0.30000000000000004,0.25,41945,10,"10,11,12,13,14,15,16,17,18,19",True,-3.443145956905865e-05,-6.564414176296481e-05,-0.00010007560133202349,-4.644619325833352e-05,1.91979485046313e-05,-5.362940807368995e-05
A,2,3,0.30000000000000004,0.4,0.35000000000000003,16623,10,"10,11,12,13,14,15,16,17,18,19",True,7.29909170255501e-05,-0.00015395953771357853,-8.096862068802846e-05,-0.00014348406841664202,1.0475469296936483e-05,6.251544772861363e-05
A,2,4,0.4,0.5,0.45,8505,10,"10,11,12,13,14,15,16,17,18,19",True,-0.00010463974444857916,-0.00041084998705405554,-0.0005154897315026347,-0.00037281603734129666,3.803394971275886e-05,-0.000142673694161338
A,2,5,0.5,0.6000000000000001,0.55,5728,10,"10,11,12,13,14,15,16,17,18,19",True,8.257451696909627e-05,-0.0003151051471562704,-0.0002325306301871742,-0.00028162669615444175,3.347845100182865e-05,4.9096065967267624e-05
A,2,6,0.6000000000000001,0.7000000000000001,0.65,2997,10,"10,11,12,13,14,15,16,17,18,19",True,0.00020811731360218118,-0.00043134165803859195,-0.00022322434443641082,-0.00041550828822099165,1.5833369817600346e-05,0.0001922839437845808
A,2,7,0.7000000000000001,0.8,0.75,1714,10,"10,11,12,13,14,15,16,17,18,19",True,0.0006231653603722663,-0.0017602742233296601,-0.0011371088629573939,-0.0016902102833421047,7.006393998755552e-05,0.0005531014203847106
A,2,8,0.8,0.9,0.8500000000000001,705,8,"10,11,12,14,15,16,18,19",True,0.0005241641712743704,-0.006022608163053951,-0.005498443991779581,-0.005120586186245502,0.0009020219768084486,-0.00037785780553407813
A,5,1,0.1,0.2,0.15000000000000002,79031,10,"10,11,12,13,14,15,16,17,18,19",True,7.505134679443672e-06,3.473214774649955e-06,1.0978349454093604e-05,-9.000667019948324e-06,-1.247388179459827e-05,1.997901647404192e-05
A,5,2,0.2,0.30000000000000004,0.25,41945,10,"10,11,12,13,14,15,16,17,18,19",True,-8.526298206142382e-06,-6.564414176296481e-05,-7.417043996910716e-05,-2.1510540722887332e-05,4.4133601040077415e-05,-5.265989924621975e-05
A,5,3,0.30000000000000004,0.4,0.35000000000000003,16623,10,"10,11,12,13,14,15,16,17,18,19",True,7.713961247103142e-05,-0.00015395953771357853,-7.681992524254726e-05,-0.00013025891557005525,2.370062214352316e-05,5.343899032750831e-05
A,5,4,0.4,0.5,0.45,8505,10,"10,11,12,13,14,15,16,17,18,19",True,0.00014857223959007632,-0.00041084998705405554,-0.00026227774746397943,-0.0002646751424534647,0.00014617484460059096,2.3973949894853906e-06
