k,M,ci_lo,ci_hi,n_pair,n_seed_contrib,boot_ok,ci_method
1,-1.0492021136306559e-05,-4.448831969263446e-05,2.7740721459138906e-05,157248,10,10000,studentized
2,-2.343076917249134e-06,-4.2888261168606855e-05,2.3724260780617873e-05,157248,10,10000,studentized
5,1.8999027691077e-05,-2.0909151743837157e-05,4.7950427686051884e-05,157248,10,10000,studentized
10,3.187209606649618e-05,-7.206237608925664e-06,6.506976044899316e-05,157248,10,10000,studentized
20,4.973447714707667e-05,5.324362354289327e-06,9.025264359349157e-05,157248,10,10000,studentized
40,6.381573950747358e-05,1.361767126875088e-05,0.00010602301764436038,157248,10,10000,studentized
