seed,k,variant,n,sum_H,mean_H,sum_F0,mean_F0,sum_D,mean_D,sum_F_path,mean_F_path,sum_T1,mean_T1,sum_T2,mean_T2
10,1,main,11919,-0.4467641647002073,-3.7483359736572474e-05,-2.1540357421923018,-0.0001807228578062171,-2.600799906892509,-0.00021820621754278959,-2.1540357421923018,-0.0001807228578062171,0.0,0.0,-0.4467641647002073,-3.7483359736572474e-05
10,1,win_lo_m1,17092,0.6570206837733832,3.844024594976499e-05,-3.1610394074550205,-0.00018494262856628952,-2.504018723681637,-0.00014650238261652452,-3.1610394074550205,-0.00018494262856628952,0.0,0.0,0.6570206837733832,3.844024594976499e-05
10,1,win_lo_p1,7119,-0.2225737128141585,-3.1264744039072694e-05,-1.276206895024444,-0.0001792677194865071,-1.4987806078386026,-0.0002105324635255798,-1.276206895024444,-0.0001792677194865071,0.0,0.0,-0.2225737128141585,-3.1264744039072694e-05
10,1,win_hi_m1,11753,-0.10991033633672687,-9.351683513717933e-06,-1.5236630357917802,-0.0001296403501907411,-1.633573372128507,-0.00013899203370445904,-1.5236630357917802,-0.0001296403501907411,0.0,0.0,-0.10991033633672687,-9.351683513717933e-06
10,1,win_hi_p1,12005,-0.3437314299224089,-2.8632355678667965e-05,-2.518644831159274,-0.00020979965274129728,-2.8623762610816827,-0.00023843200841996526,-2.518644831159274,-0.00020979965274129728,0.0,0.0,-0.3437314299224089,-2.8632355678667965e-05
10,1,a_no_near,11919,-0.4467641647002073,-3.7483359736572474e-05,-2.1540357421923018,-0.0001807228578062171,-2.600799906892509,-0.00021820621754278959,-2.1540357421923018,-0.0001807228578062171,0.0,0.0,-0.4467641647002073,-3.7483359736572474e-05
10,1,no_blip,11462,-0.7787308663759714,-6.794022564787746e-05,-2.3373825432482063,-0.00020392449339104923,-3.1161134096241776,-0.0002718647190389267,-2.3373825432482063,-0.00020392449339104923,0.0,0.0,-0.7787308663759714,-6.794022564787746e-05
10,1,no_strict_off,11919,-0.4467641647002073,-3.7483359736572474e-05,-2.1540357421923018,-0.0001807228578062171,-2.600799906892509,-0.00021820621754278959,-2.1540357421923018,-0.0001807228578062171,0.0,0.0,-0.4467641647002073,-3.7483359736572474e-05
10,2,main,11919,0.10534065678701576,8.838044868446661e-06,-2.1540357421923018,-0.0001807228578062171,-2.048695085405286,-0.00017188481293777043,-1.7920728785336975,-0.00015035429805635518,0.3619628636586043,3.0368559749861928e-05,-0.25662220687158854,-2.1530514881415266e-05
10,2,win_lo_m1,17092,0.9442858024164278,5.524723861551766e-05,-3.1610394074550205,-0.00018494262856628952,-2.216753605038593,-0.0001296953899507719,-2.8661136295898144,-0.00016768743444826905,0.29492577786520613,1.7255194118020486e-05,0.6493600245512214,3.7992044497497156e-05
