k,H,H_ci_lo,H_ci_hi,T1,T1_ci_lo,T1_ci_hi,T2,T2_ci_lo,T2_ci_hi,F0,F0_ci_lo,F0_ci_hi,D,D_ci_lo,D_ci_hi,F_path,F_path_ci_lo,F_path_ci_hi,T1_plus_T2_minus_H,term1_meaning,term2_meaning
1,-1.0492021136306559e-05,-4.448831969263446e-05,2.7740721459138906e-05,0.0,,,-1.0492021136306559e-05,-4.448831969263446e-05,2.7740721459138906e-05,-7.977056213478882e-05,-0.00012310174755657608,-3.3808422359156444e-05,-9.026258327109537e-05,-0.00016661156873119036,-4.614548806358039e-05,-7.977056213478882e-05,-0.00012310174755657608,-3.3808422359156444e-05,0.0,F_path - F_0 (force changes along the path),"D_k - F_path (gate, absorption, sign cancellation)"
2,-2.343076917249134e-06,-4.2888261168606855e-05,2.3724260780617873e-05,8.326452876944473e-06,-2.6527549440548152e-08,1.6094327811239334e-05,-1.0669529794193607e-05,-4.7362180644189885e-05,2.2418844696477052e-05,-7.977056213478882e-05,-0.00012310174755657608,-3.3808422359156444e-05,-8.211363905203794e-05,-0.00013464165033670773,-4.6822213194989006e-05,-7.144410925784435e-05,-0.00010678871205299542,-2.516707229110067e-05,8.470329472543003e-22,F_path - F_0 (force changes along the path),"D_k - F_path (gate, absorption, sign cancellation)"
5,1.8999027691077e-05,-2.0909151743837157e-05,4.7950427686051884e-05,2.4988304825546537e-05,2.9565573009788977e-06,4.1206215819838575e-05,-5.9892771344695415e-06,-4.3044239723335675e-05,2.2283177213661887e-05,-7.977056213478882e-05,-0.00012310174755657608,-3.3808422359156444e-05,-6.077153444371181e-05,-7.991700811040911e-05,-4.189199349641048e-05,-5.478225730924229e-05,-8.415956136961006e-05,1.3371133787760782e-06,-3.3881317890172014e-21,F_path - F_0 (force changes along the path),"D_k - F_path (gate, absorption, sign cancellation)"
10,3.187209606649618e-05,-7.206237608925664e-06,6.506976044899316e-05,4.12988731639277e-05,1.4109219896764568e-05,6.16756970805147e-05,-9.42677709743152e-06,-4.858467831964856e-05,1.2225580438712586e-05,-7.977056213478882e-05,-0.00012310174755657608,-3.3808422359156444e-05,-4.789846606829264e-05,-6.099987242929563e-05,-3.1982254685388996e-05,-3.8471688970861114e-05,-6.487592845664843e-05,1.41951661817419e-05,6.776263578034403e-21,F_path - F_0 (force changes along the path),"D_k - F_path (gate, absorption, sign cancellation)"
20,4.973447714707667e-05,5.324362354289327e-06,9.025264359349157e-05,5.999488179174767e-05,3.169578031899093e-05,9.146155277845749e-05,-1.0260404644671006e-05,-5.425215531337329e-05,1.000860159335125e-05,-7.977056213478882e-05,-0.00012310174755657608,-3.3808422359156444e-05,-3.0036084987712155e-05,-4.176172688614037e-05,-1.9199339905424598e-05,-1.977568034304114e-05,-4.1212921798273533e-05,1.7215493392087877e-05,-1.3552527156068805e-20,F_path - F_0 (force changes along the path),"D_k - F_path (gate, absorption, sign cancellation)"
40,6.381573950747358e-05,1.361767126875088e-05,0.00010602301764436038,7.448392154349933e-05,4.557829877479394e-05,0.0001339773663801417,-1.066818203602577e-05,-3.9557565019121714e-05,2.235589659912077e-05,-7.977056213478882e-05,-0.00012310174755657608,-3.3808422359156444e-05,-1.5954822627315235e-05,-3.195376628273529e-05,-7.5231536502639385e-06,-5.286640591289471e-06,-3.3239608386770546e-05,1.7816524620423946e-05,-1.3552527156068805e-20,F_path - F_0 (force changes along the path),"D_k - F_path (gate, absorption, sign cancellation)"
