task,arm,seed,online_acc,online_loss,train_acc,train_loss,val_acc,val_loss,samples,steps,online_global_acc,train_global_acc,val_global_acc,train_seconds,seconds,online_chunks
1,KKA23,0,0.5231680274009705,1.1503261752166747,0.63,0.9205818450927734,0.584,1.066715576171875,62500,500,0.5228319764137268,0.63,0.584,50.75832914898638,53.378630242019426,"[0.4113599956035614, 0.5028799772262573, 0.5399999618530273, 0.5669599771499634, 0.5946399569511414]"
2,KKA23,0,0.7614240050315857,0.6345575326004028,0.8572,0.38913182716369626,0.752,0.6960279235839844,62500,500,0.7611680030822754,0.8572,0.752,31.82553910696879,33.82353169599082,"[0.6302399635314941, 0.7632799744606018, 0.7856799960136414, 0.8075199723243713, 0.8203999996185303]"
3,KKA23,0,0.6863999962806702,0.7585360780162811,0.7868,0.5123877670288086,0.724,0.7438285522460938,62500,500,0.6860160231590271,0.7868,0.724,31.86296477500582,33.78764126799069,"[0.5524799823760986, 0.6734399795532227, 0.7091999650001526, 0.7438399791717529, 0.7530399560928345]"
4,KKA23,0,0.669215977191925,0.8727309764480591,0.7424,0.7141932106018066,0.668,0.8965788879394532,62500,500,0.668720006942749,0.7424,0.668,31.89748465095181,33.82395745697431,"[0.5538399815559387, 0.6470400094985962, 0.6908000111579895, 0.7095199823379517, 0.744879961013794]"
5,KKA23,0,0.68886399269104,0.8094015709571838,0.7952,0.5323115882873535,0.724,0.7443667297363281,62500,500,0.688431978225708,0.7952,0.724,34.38422487996286,37.27263501804555,"[0.5672000050544739, 0.66975998878479, 0.7126399874687195, 0.7367199659347534, 0.7579999566078186]"
6,KKA23,0,0.6974719762802124,0.8114614179782867,0.8164,0.5115269493103027,0.724,0.8116740112304688,62500,500,0.697055995464325,0.8164,0.724,54.63713106699288,57.66056186996866,"[0.5907999873161316, 0.674079954624176, 0.7178399562835693, 0.741599977016449, 0.7630400061607361]"
7,KKA23,0,0.8263840079307556,0.4565203934421539,0.926,0.19171044921875,0.884,0.3383175964355469,62500,500,0.8260160088539124,0.926,0.884,45.32213458005572,47.41933807800524,"[0.7186399698257446, 0.8174399733543396, 0.8524799942970276, 0.865119993686676, 0.8782399892807007]"
8,KKA23,0,0.7262719869613647,0.714213301322937,0.8204,0.4729949251174927,0.74,0.7615396423339844,62500,500,0.7258239984512329,0.8204,0.74,31.903207599010784,33.9440109860152,"[0.6184799671173096, 0.7063999772071838, 0.7425599694252014, 0.7710399627685547, 0.7928799986839294]"
9,KKA23,0,0.8210240006446838,0.48995132962512966,0.9088,0.2601180152893066,0.796,0.6605592041015625,62500,500,0.8206560015678406,0.9088,0.796,31.921002137998585,34.16199320805026,"[0.7201600074768066, 0.8075999617576599, 0.8398399949073792, 0.8657599687576294, 0.8717599511146545]"
10,KKA23,0,0.7046880125999451,0.7500222017269135,0.7872,0.5684712471008301,0.632,1.1028013916015624,62500,500,0.7042239904403687,0.7872,0.632,31.911037634999957,33.93353552004555,"[0.5971999764442444, 0.688319981098175, 0.7231199741363525, 0.7457599639892578, 0.7690399885177612]"
11,KKA23,0,0.8004480004310608,0.5455361550445557,0.8892,0.3197486848831177,0.804,0.5582588348388672,62500,500,0.800000011920929,0.8892,0.804,31.929281171003822,33.961101558001246,"[0.6779999732971191, 0.7894399762153625, 0.8227999806404114, 0.8436799645423889, 0.8683199882507324]"
12,KKA23,0,0.8226079940795898,0.4849965150527954,0.904,0.27321138343811036,0.828,0.4957473907470703,62500,500,0.8223519921302795,0.904,0.828,31.928806869022083,33.96437528397655,"[0.707040011882782, 0.817359983921051, 0.8478399515151978, 0.8608799576759338, 0.8799200057983398]"
13,KKA23,0,0.8469600081443787,0.39764162923431395,0.9028,0.25507858638763425,0.812,0.5358972930908203,62500,500,0.8465440273284912,0.9028,0.812,31.92631445801817,33.95214449596824,"[0.745199978351593, 0.8351199626922607, 0.8686400055885315, 0.8907999992370605, 0.895039975643158]"
