arm,A_depth,B_width,C_dissoc,D_dissoc,E_dose,FG_counter,counter_name,counter_drop_dclamp,rho_dclamp,rho_wclamp,rho_wcap2,dslope_dclamp,dslope_wclamp,sigma_slope_ratio_dclamp,L_ref_pt,zbar_late,g0,g3,g4,g5,joint
R,DEPTH_NO_EFFECT,WIDTH_REMOVES_LOSS,WIDTH_WITHOUT_DEPTH,NOT_SHOWN,DOSE_GRADED,PARTIAL,dead_hard,+13;+8;+3,-0.034;+0.002;-0.037,+0.646;+0.820;+0.735,+0.475;+0.616;+0.594,+0.15;-0.03;-0.94,+1.55;+0.99;+0.92,+1.453;+1.251;+1.791,4.97;4.74;4.64,-4.32/-3.88/-1.85;-4.37/-3.64/-2.04;-4.26/-3.87/-2.06,111,1111,111,111,BOTH_RIGHT
GELU,DEPTH_PARTIAL,WIDTH_REMOVES_LOSS,NOT_TESTABLE_DEPTH_ALSO_STOPPED,NOT_SHOWN,DOSE_PARTIAL,PARTIAL,inv_units,+16;+12;+14,+0.278;+0.273;+0.249,+0.667;+0.732;+0.673,+0.256;+0.226;+0.234,-0.11;-0.78;-0.27,+1.12;+0.36;+0.46,+4.143;+2.219;+1.611,7.74;7.47;7.83,-6.85/-4.95/-2.64;-6.79/-4.91/-2.53;-6.95/-4.88/-2.39,111,1111,111,000,UNDECIDED
SILU,NOT_TESTABLE_DEPTH_NOT_HELD,WIDTH_REMOVES_LOSS,WIDTH_WITHOUT_DEPTH,NOT_TESTABLE_DEPTH_NOT_HELD,DOSE_GRADED,NOT_TESTABLE_DEPTH_NOT_HELD,inv_units,+4;+3;+4,+0.045;-0.044;+0.072,+0.782;+0.761;+0.857,+0.354;+0.289;+0.373,+0.90;-2.11;-1.07,+1.36;+0.40;+0.31,+1.555;+1.948;+1.251,7.05;6.81;6.92,-6.05/-5.97/-4.12;-6.17/-6.53/-3.96;-7.03/-6.68/-4.01,111,1111,001,111,NOT_TESTABLE
