arm,seed,clamp,acc_late,acc_base,slope_late,slope_sigma_late,ce_frac,zbar_late,z20,sigma_late,star_sd_late,cnorm_late,pos_late,w2col_late,dead_hard_late,dead_soft_late,sat_late,pressure,L_ref,rho
R,0,ref,0.8707500100135803,0.9204000234603882,-1.7667740485062366,0.5320323509248697,1.0,-4.324775387893317,-1.4802908536938337,4.222400767738739,7.411812123562662,11.842613776173899,0.222265625,3.9030999642032143,25.0,25.0,0.7777343690395355,0.0,0.04965001344680786,0.0
R,0,dclamp,0.869049996137619,0.9204000234603882,-1.6154519580986415,0.7730276104316944,1.0,-1.8507172383760544,-1.4802908536938337,4.498031422365714,8.799962315734717,13.221118647429446,0.31462890625,4.1174866624154625,10.0,10.0,0.6853711009025574,0.256016956170002,0.04965001344680786,-0.03423994794649149
R,0,wclamp,0.9027999937534332,0.9204000234603882,-0.21933961694319132,0.0696556756650927,1.0,-3.8771418576491574,-1.4802908536938337,1.7387106106813097,2.493954011659044,3.1090790862652335,0.08867187500000001,4.005145916870596,82.0,82.0,0.9113281071186066,4.502591751085901,0.04965001344680786,0.645518128090527
R,0,wcap2,0.894349992275238,0.9204000234603882,-0.5495832912778178,0.12998065900739575,1.0,-5.224067517452226,-1.4802908536938337,2.788680128568121,4.101911290461647,6.072537302930014,0.103408203125,4.320158339661859,61.0,61.0,0.8965918123722076,229423.0,0.04965001344680786,0.4753268050358408
R,1,ref,0.8698000013828278,0.9172000288963318,-0.19215175134799933,0.5456794908149091,1.0,-4.366531444174993,-1.90270955832019,4.013327330072004,7.615272211702408,11.879426872256028,0.21650390625,4.098235056086798,25.0,25.0,0.783496081829071,0.0,0.04740002751350403,0.0
R,1,dclamp,0.8698999881744385,0.9172000288963318,-0.2261503730634375,0.6825935935271146,1.0,-2.037818942960768,-1.90270955832019,4.214959916587632,8.931305699265021,12.990762676637448,0.309150390625,4.139761809987045,14.0,14.0,0.6908496022224426,0.22186688136510757,0.04740002751350403,0.00210942475892513
R,1,wclamp,0.9086499810218811,0.9172000288963318,0.7996038706711115,0.022750694127226245,1.0,-3.6393788374415053,-1.90270955832019,1.4721328692889317,2.363754252505415,3.105778853768967,0.093642578125,4.216785118279292,80.0,80.0,0.9063574373722076,4.411294238287963,0.04740002751350403,0.8196193478576607
R,1,wcap2,0.8989999890327454,0.9172000288963318,-0.12687688971152433,0.11012590723428319,1.0,-4.853571657323162,-1.90270955832019,2.422497889366626,3.843395738018942,6.1302487053459185,0.120576171875,4.535601558424307,56.0,56.0,0.8794238269329071,233302.0,0.04740002751350403,0.6160331371453038
R,2,ref,0.8723999857902527,0.9187999963760376,-0.9468708494708948,0.5079219841163196,1.0,-4.258159529549291,-1.9031723372451617,4.111257575329052,7.426218577341784,11.766967377994003,0.22396484375,3.8911926706408613,23.0,23.0,0.7760351300239563,0.0,0.04640001058578491,0.0
R,2,dclamp,0.8707000017166138,0.9187999963760376,-1.8913767697608757,0.909463030218975,1.0,-2.061069253784886,-1.9031723372451617,4.388554579767034,8.866044023444749,13.084818427497101,0.29303710937500005,3.937250280879295,10.0,10.0,0.706962913274765,0.2664712063879229,0.04640001058578491,-0.03663757943537458
R,2,wclamp,0.906499981880188,0.9187999963760376,-0.026451046317332506,0.011260004041723445,1.0,-3.872620680431532,-1.9031723372451617,1.621934893956006,2.3667797582490273,3.095737179248836,0.091962890625,4.009832353490628,82.0,82.0,0.9080371260643005,4.173922201428046,0.04640001058578491,0.734913541170229
R,2,wcap2,0.8999499976634979,0.9187999963760376,0.5911244596406326,-0.05497327936184812,1.0,-4.620804138446616,-1.9031723372451617,2.5333135017037964,4.284808964365643,6.056610510226143,0.12208984375000001,4.682693346771677,53.0,53.0,0.8779101669788361,227843.0,0.04640001058578491,0.5937501204296158
GELU,0,ref,0.8462499976158142,0.9236999750137329,-0.8159023414243358,0.16461229056361623,1.0,-6.846145910892494,-1.9629201309572075,3.3696488396447624,5.364392090768518,8.909057812644292,0.134091796875,8.05880528485283,53.0,55.0,0.856025367975235,0.0,0.0774499773979187,0.0
GELU,0,dclamp,0.8677499890327454,0.9236999750137329,-0.9287303752309721,0.6820352686831594,1.0,-2.6369910197896607,-1.9629201309572075,4.107761172614037,7.7869067598385735,12.11234977045489,0.29064453125,4.8300417708729455,12.0,13.0,0.6836816370487213,0.30049747737522364,0.0774499773979187,0.2775984208035278
GELU,0,wclamp,0.8978999853134155,0.9236999750137329,0.3055853204186318,-0.19674622675235803,1.0,-4.946109526628691,-1.9629201309572075,1.4717235148017502,2.217035632873405,3.5767236641110496,0.036220703125,10.961575009875112,64.0,67.0,0.9580859243869781,4.0418048130454425,0.0774499773979187,0.6668818950357667
GELU,0,wcap2,0.8660499751567841,0.9236999750137329,-0.6760577235606724,0.040690089918161414,1.0,-7.126226369703413,-1.9629201309572075,2.9670109172854806,4.586035829893486,7.03590919721377,0.102158203125,7.740080449641242,59.0,62.0,0.8899804651737213,191447.0,0.0774499773979187,0.2556485903054883
