arm,A1_inversion,A1p_accumulation,A1pp_freezing,A2_slope,A3_width_order,frozen_units_t20,frozen_units_t400,delta_frozen_units,inv_units_t400,inv_units_t20,delta_inv_units,dead_hard_t400,immobile_units_t400,beyond_frac_t400,slope_late,cum_loss_pt,cnorm_t400,zbar_t400
GELU,INVERSION_ACCUMULATES,PARTIAL,PARTIAL,PARTIAL,WIDTH_ORDER_BREAKS,0;0;0,4;5;5,+4;+5;+5,79;79;79,67;72;69,+12;+7;+10,63;55;53,1;0;1,0.843;0.841;0.827,-0.82;-0.19;-0.73,7.74;7.47;7.83,9.05;8.91;9.41,-7.00;-6.64;-7.04
SILU,INVERSION_ACCUMULATES,PARTIAL,ESCAPE_DOES_NOT_FREEZE,PARTIAL,WIDTH_ORDER_BREAKS,0;0;0,0;0;0,+0;+0;+0,84;80;84,67;70;68,+17;+10;+16,28;28;24,0;0;0,0.838;0.812;0.838,-1.07;+0.12;-0.31,7.05;6.81;6.92,10.93;11.13;11.05,-6.17;-6.53;-6.89
