arm,D_sign,inverted_force,shoulder_force,neg_force_total,neg_by_window_phase,pos_force_total,beyond_force,gate_shift_control,trajectory_maxabs,trajectory_compared
R,RELU_ZERO,+0,+0,+0,+0;+0;+0;+0,-3343,+0;+0;+0;+0,+1.679e-08,0.0,10
LR,SIGN_SINKS,+1984,+0,+1984,+680;+264;+516;+525,-420.3,+0;+0;+0;+0,+1984,0.0,10
ELU1,SIGN_MIXED,-161.6,+0,-161.6,+199;+1.59e+03;-659;-1.3e+03,-1156,+0;+0;+0;+0,-161.6,0.0,10
GELU,VALLEY_SIGN_HOLDS,-4841,+195.7,-4645,-515;-949;-631;-2.55e+03,+3304,-456;-1.33e+03;-634;-2.42e+03,-4645,0.0,10
SILU,VALLEY_SIGN_HOLDS,-2903,-326.4,-3229,-158;-400;-599;-2.07e+03,+1751,-486;-394;-363;-1.66e+03,-3229,0.0,10
