activation,seed,test_ce,test_acc,train_probe_ce,train_probe_acc,cnorm,cnorm_min,cnorm_max,rowmean,bias,actual_train_mean,actual_train_mean_min,actual_train_mean_max,test_zmean,test_zsd,positive_frac,gate_mean,gate_low_frac,immobile_units,w2col,task_train_ce,task_train_acc,task,step,phase,cell,online_ce
LR,1,0.3097236454486847,90.087890625,0.32258984446525574,90.91796875,1.1423046624917501,0.9435138783120198,1.4042257415490724,0.002123234984796907,0.016719155711180066,0.6521274296891542,-0.8647344660632896,2.14742190736745,0.6652752363472101,1.0289111702938618,0.70138671875,0.7312480473199685,0.0,0,0.7702042758191583,0.2664968967437744,92.25999712944031,1,625,adapt,prefix,0.5142747543931008
LR,1,0.28650277853012085,90.771484375,0.32479357719421387,90.283203125,1.5275877916908243,1.1469346942220828,1.9320076848585348,0.00016193375324321258,0.015352547818329185,-0.05470848169097787,-2.253041393962457,1.8926189336785266,-0.054532824091396745,1.1747230644724787,0.4682421875,0.5214179695423808,0.0,0,0.8402085946462592,0.2682945430278778,92.22999811172485,2,625,adapt,prefix,0.45112140282094476
LR,1,0.2489006072282791,91.845703125,0.2706362009048462,91.9921875,1.803232204567807,1.3420878406052827,2.2607189635956626,-0.0027219260257016513,0.012772587218787521,-0.3776721795473507,-2.6856475213237028,2.114095664628828,-0.3834952636816786,1.2554305723843036,0.37525390625,0.43772851655594425,0.0,0,0.897309909276529,0.22578051686286926,93.48000288009644,3,625,adapt,prefix,0.4454018670320511
LR,1,0.24778439104557037,91.650390625,0.25584354996681213,92.236328125,2.0021592651713784,1.4543938868088222,2.552707003594251,-0.005459262318358704,0.01042773637920618,-0.736342247080969,-2.85067515007929,2.116265516659874,-0.7454918295911548,1.2673924200959255,0.288134765625,0.35932129012326186,0.0,0,0.9564345729685454,0.21635505557060242,93.73999834060669,4,625,adapt,prefix,0.4448166370719671
LR,1,0.26014500856399536,91.796875,0.2698919475078583,92.138671875,2.1633196257931844,1.5559973791625323,2.815256436276351,-0.006979763556343328,0.012671340385568329,-0.8036450928954355,-3.3445577634315873,2.48418741183225,-0.8150867307765695,1.2827271098377369,0.2690283203125,0.3421254893704827,0.0,0,1.0100473019857703,0.22247529029846191,93.05999875068665,5,625,adapt,prefix,0.4276545593842864
LR,1,0.2573625147342682,91.6015625,0.26712581515312195,91.30859375,2.3140696682086523,1.6862118075840267,2.9892135729606952,-0.008931416693514889,0.01234644789597951,-1.0353484794931733,-3.04084418486618,2.2939102825952356,-1.0473402204141606,1.3110417900132891,0.21810546875,0.2962949230401136,0.0,0,1.0527616524153602,0.21185451745986938,93.27999949455261,6,625,adapt,prefix,0.4437294614523649
LR,1,0.25113585591316223,92.333984375,0.2568240761756897,92.333984375,2.442377528245886,1.7126691413821746,3.20074456973686,-0.010483961883275375,0.012594132244121283,-1.2090604844776691,-3.8523884147029452,3.1613252046502733,-1.2333679620169056,1.3506697896818902,0.1989111328125,0.27902002072496546,0.0,0,1.0929101234781435,0.20671223104000092,93.6299979686737,7,625,adapt,prefix,0.44297163918614385
LR,1,0.26948612928390503,91.50390625,0.2750912308692932,92.28515625,2.556176238661052,1.7979122527470983,3.3206395167687295,-0.011859873627483893,0.013551256421487778,-1.2858217932052651,-3.777290011797622,3.125542212821748,-1.302346274145981,1.3784183814660087,0.1841357421875,0.2657221691844825,0.0,0,1.1305234706642762,0.2193414270877838,93.51999759674072,8,625,adapt,prefix,0.4402166417092085
LR,1,0.22364483773708344,93.06640625,0.24645401537418365,92.87109375,2.675103462323689,1.878344096354715,3.4200598745924955,-0.013033349053208883,0.015827104984782635,-1.4261707635738128,-3.857649932666341,2.977750816709951,-1.4483024931609179,1.4145608386466524,0.1830224609375,0.2647202160611414,0.0,0,1.166507760701633,0.20325297117233276,93.69999766349792,9,625,adapt,prefix,0.4380993602782488
LR,1,0.24813568592071533,91.6015625,0.2617702782154083,91.796875,2.793007298795362,1.9902396669680098,3.4995083534248757,-0.013829972083213762,0.017340591235551983,-1.475119201148176,-3.687058197648482,2.9800441565157625,-1.492413520118091,1.4695470201019094,0.179326171875,0.2613935559103993,0.0,0,1.2083063748154508,0.20805729925632477,93.58999729156494,10,625,adapt,prefix,0.4497624395176768
