activation,seed,test_ce,test_acc,train_probe_ce,train_probe_acc,cnorm,cnorm_min,cnorm_max,rowmean,bias,actual_train_mean,actual_train_mean_min,actual_train_mean_max,test_zmean,test_zsd,positive_frac,gate_mean,gate_low_frac,immobile_units,w2col,task_train_ce,task_train_acc,task,step,phase,cell,online_ce
ELU1,0,0.31528109312057495,90.576171875,0.3137827515602112,91.40625,1.099841168072158,0.9397963758751698,1.2921070957279355,0.0004471853125199048,0.00537193852593191,0.15167219412461677,-0.8444854524860206,1.3274677589677655,0.15020754911366518,0.9094146929204316,0.55314453125,0.7966932141745474,0.0023876953125,0,0.8053105228474898,0.25656256079673767,92.51999855041504,1,625,adapt,prefix,0.4890849342465401
ELU1,0,0.2624864876270294,92.28515625,0.26937538385391235,92.529296875,1.4499280534640768,1.2497022485837392,1.7179506187700981,-0.0007640771824858425,0.0026100014289841054,-0.15530474458940322,-2.313895402267095,1.9282673635863743,-0.15547618876127772,1.1106316529482445,0.4513232421875,0.6953154776565634,0.0186181640625,0,0.8664934302118362,0.23979878425598145,92.90000200271606,2,625,adapt,prefix,0.42661081079542634
ELU1,0,0.30438220500946045,90.185546875,0.2998977303504944,90.966796875,1.708700593448087,1.415649281205702,2.107496116298633,-0.002093031113579667,0.0013085858924023342,-0.3338488633215637,-2.2087461905680423,1.7513557066624812,-0.33751756111885906,1.2447359382373062,0.39212890625,0.6239280600938633,0.0290576171875,0,0.9304275136500546,0.2628764808177948,91.51999950408936,3,625,adapt,prefix,0.43086882509291174
ELU1,0,0.26650404930114746,91.89453125,0.26245173811912537,92.08984375,1.8977948671668767,1.4926873216237777,2.3832646211466217,-0.0038092454100188767,-0.0026348771061748266,-0.6125767787548891,-3.537265904264563,1.9966114654137295,-0.6097432727623122,1.2774577897706259,0.36041015625,0.5643065697630089,0.092900390625,0,0.9808926472700705,0.2298755794763565,93.07000041007996,4,625,adapt,prefix,0.48088519400954244
ELU1,0,0.23825937509536743,92.1875,0.2530231177806854,92.28515625,2.0650126825020503,1.5210597833723072,2.6608959077245338,-0.004604482353033394,-0.0030327902454519062,-0.5900817189653766,-4.230672311057093,1.752030718513581,-0.5838423267534645,1.2966982196860206,0.3608544921875,0.5726965863827951,0.0802099609375,0,1.0354389379940472,0.19411690533161163,94.4100022315979,5,625,adapt,prefix,0.43982472027391195
ELU1,0,0.23425059020519257,92.48046875,0.24239113926887512,92.96875,2.2224779032142563,1.5422761295636807,2.7438144167372607,-0.006012460651527243,-0.004389015170745552,-0.7298671602362349,-4.26518635076154,1.4686772259323506,-0.7269412367407189,1.3651728212996006,0.3395068359375,0.548355842335877,0.1062109375,0,1.0765653461633087,0.20371729135513306,93.84999871253967,6,625,adapt,prefix,0.4481553724497557
ELU1,0,0.24986684322357178,92.67578125,0.2586522102355957,92.431640625,2.3645485604626226,1.5871008326862002,2.9425934328013525,-0.006878244118439834,-0.004758276455104351,-0.8577450166125838,-5.275174192068588,2.2183014673872865,-0.8552636614646716,1.4066697463743867,0.324091796875,0.5198849390493866,0.127724609375,0,1.1193887872348955,0.2148135006427765,93.2699978351593,7,625,adapt,prefix,0.46203009523004296
ELU1,0,0.26011577248573303,91.845703125,0.26154592633247375,92.724609375,2.499257208909896,1.623535565350404,3.0686468995893494,-0.00812196429801983,-0.005780073336791247,-0.9325171393137635,-5.071457264186959,2.3726481930665573,-0.9322054684765355,1.4282298846434052,0.334306640625,0.5173943705611395,0.153369140625,0,1.1549245381605022,0.2068716287612915,93.54000091552734,8,625,adapt,prefix,0.4292878043793142
ELU1,0,0.2768113911151886,91.9921875,0.27245721220970154,91.9921875,2.626776544765956,1.6778850719650613,3.1201511765457726,-0.009992493298571388,-0.005516942234098678,-1.180049754244237,-6.192151266662977,2.1861388075329673,-1.1847199279912852,1.4326292008388328,0.296083984375,0.4698517447946982,0.1924072265625,0,1.1955006605899365,0.22273188829421997,93.40999722480774,9,625,adapt,prefix,0.45965010119080546
ELU1,0,0.25839611887931824,92.138671875,0.25685980916023254,92.236328125,2.7324367663468654,1.7247395301971282,3.299543313954311,-0.011448600915284822,-0.004988731590565294,-1.2097191429420926,-6.600655728219735,2.1667119443467615,-1.2051218468363996,1.5100086320175155,0.306328125,0.47595529921969304,0.2033984375,0,1.2265488724446107,0.20905795693397522,93.48999857902527,10,625,adapt,prefix,0.427005006814003
