task,N,N2,D2,erode,cos,rowmean,bias,arm,seed,steps2,persist,zbar_cur,sigma_cur,zbar_inv,sigma_inv,acc,E,E_pred,E_pred_wrong,r_1,r_2,r_scale
1,1.9824181649289059,3.9480703757688054,3.6568181478904878,-0.04152765004514275,-0.020339183111351838,-0.02685353525786287,-0.0024019960314035417,LIN0,2,,,,,,,,,,,,,
2,2.9935872578824148,9.036792476681486,5.343602082377548,-0.2548799814648673,-0.02795303869070525,-0.04436968217783358,-0.0021306656301021574,LIN0,2,,,,,,,,,,,,,
3,3.7137969034631553,13.921678113625017,5.511768676372253,-0.6268830394287217,-0.043158835891898076,-0.0559615483184854,-0.0007205421105027198,LIN0,2,,,,,,,,,,,,,
4,4.206878424956606,17.887726283352226,4.6120923448476905,-0.6460441751204804,-0.04130874229225785,-0.06314262222976538,7.184501737356186e-05,LIN0,2,,,,,,,,,,,,,
5,4.5730132743045315,21.140064714366087,4.800808753711509,-1.5484703226976477,-0.08353863217927436,-0.06841377032353342,0.0012592724524438381,LIN0,2,,,,,,,,,,,,,
6,4.888553266164363,24.208494016367975,4.512997782729096,-1.444568480727209,-0.07768427363745342,-0.07344162631932064,0.0018803589278832077,LIN0,2,,,,,,,,,,,,,
7,5.153963957560433,26.92849244610158,4.586083959727189,-1.8660855299935868,-0.09012663373191128,-0.07751533971821709,0.003778740973211825,LIN0,2,,,,,,,,,,,,,
8,5.3770225410757195,29.334856690972885,4.606470282135384,-2.200106037264078,-0.09838081054405089,-0.08111986271663538,0.00598765341565013,LIN0,2,,,,,,,,,,,,,
9,5.574292493764446,31.55653574641794,4.411441008785029,-2.1897619533399744,-0.09844985852647622,-0.0854493478812677,0.007725653238594532,LIN0,2,,,,,,,,,,,,,
10,5.755480213617275,33.68495046257171,4.433728738558935,-2.3053140224051645,-0.101612676662488,-0.08949404619435178,0.0082795737311244,LIN0,2,,,,,,,,,,,,,
11,5.907944292456099,35.51177839180553,4.7761006929424585,-2.9492727637086316,-0.1191869627766116,-0.0936264422567918,0.009191665425896644,LIN0,2,,,,,,,,,,,,,
12,6.071461149161374,37.515465197412084,4.904992641282319,-2.9013058356757737,-0.11045824645637656,-0.0980167412307565,0.00958055630326271,LIN0,2,,,,,,,,,,,,,
13,6.215777076576876,39.326894730344975,4.881349919757289,-3.0699203868243954,-0.11557294003345506,-0.1017094014913487,0.010980409756302833,LIN0,2,,,,,,,,,,,,,
14,6.333695000474927,40.82039456148492,4.779448658098482,-3.2859488269585384,-0.11827143551863861,-0.10625971949517055,0.012353839352726936,LIN0,2,,,,,,,,,,,,,
15,6.467083864449402,42.60600858001488,4.843851382892997,-3.058237364363042,-0.1122115908632267,-0.11010871613605011,0.013387717306613922,LIN0,2,,,,,,,,,,,,,
16,6.561211658142424,43.82449260352464,5.61713393715842,-4.398649913648657,-0.1378601351892808,-0.11374957704270597,0.015101963840425014,LIN0,2,,,,,,,,,,,,,
17,6.6669935991867515,45.219825690419675,4.745949719447814,-3.3506166325527738,-0.11272790327846997,-0.11741882598277179,0.01573408879339695,LIN0,2,,,,,,,,,,,,,
18,6.746235821834705,46.31500961751279,5.389563999659042,-4.294380072565921,-0.1386199992027956,-0.12136532374149041,0.01704120375216007,LIN0,2,,,,,,,,,,,,,
