a,arm,start,seed,geometry,initial_mean,final_mean,net,normalized_net,median_size_ratio,unit_shrink_fraction,median_unit_balance,erosion,recovery,injection,inward,balance,pred_linear,pred_injection,formula_balance,rounding,self_linear,rest_linear
0.35,LRa0p35_1216,0,0,full,2.073287037102364,3.5521864441450774,1.478899407042714,0.7133114617403054,1.1866026985442888,0.19,0.43295945635282657,50.30441314843557,49.594641000404245,2.1886715550740066,0.7097721480313268,0.324293586393015,-0.7097708584347565,2.188671545795731,0.32429299855347027,-1.2803182607434849e-06,0.0,0.0
0.35,LRa0p35_1216,0,1,full,2.017309465563942,3.6129537651154573,1.5956442995515143,0.7909764598786778,1.185594569441868,0.15,0.4403899677065922,48.743924803592584,47.9851469767144,2.354422126429694,0.7587778268781875,0.3222777336147523,-0.7587789896033034,2.354422122749482,0.32227822796585226,1.1664053354287773e-06,0.0,0.0
0.35,LRa0p35_1216,0,2,full,1.925679486252326,2.9511862782784313,1.0255067920261052,0.5325428241549699,1.105431065282748,0.27,0.48092561381179055,34.63487946226424,34.235211743800924,1.4251745104894156,0.39966771846331284,0.2804342314023452,-0.3996672026445036,1.4251744955235512,0.2804338724134143,-5.008529424532782e-07,0.0,0.0
0.35,LRa0p35_1216,0,3,full,1.9599603967620869,3.433346108448148,1.4733857116860611,0.7517425934320603,1.2011875219889676,0.19,0.478015246989682,49.5181469203628,48.82370936721993,2.1678232648289186,0.6944375531428761,0.3203386384902923,-0.6944363914975215,2.167823254307888,0.3203381041870184,-1.1511243052098052e-06,0.0,0.0
0.35,LRa0p35_1216,0,4,full,1.9614224653289123,3.833457902114834,1.8720354367859215,0.9544274473638185,1.2195265333107201,0.19,0.4567671416860042,58.354508436341085,57.16325138701265,3.0632924861143156,1.191257049328435,0.38888126247438576,-1.191256574960183,3.063292470744354,0.3888811095698994,-4.589982496305822e-07,0.0,0.0
0.35,LRa0p35_1216,0,5,full,2.0281338071833184,3.928858277778373,1.9007244705950554,0.9371790282588851,1.2212054106272783,0.21,0.536992933006692,56.92103705370051,55.79316626502964,3.0285952592658942,1.1278707886708688,0.3724072357374868,-1.1278693915691507,3.0285952428026555,0.37240677645832354,-1.380638449344218e-06,0.0,0.0
0.35,LRa0p35_1216,0,6,full,2.018156146141797,4.067509172453808,2.0493530263120103,1.0154581102308926,1.289033022798162,0.16,0.5408373393470108,64.87359227329478,63.284003587126755,3.6389417124799963,1.589588686168021,0.4368271909155399,-1.5895839164289325,3.638941707291485,0.4368258807894128,-4.7645505421023415e-06,0.0,0.0
0.35,LRa0p35_1216,0,7,full,1.9656968607652032,3.4746993312048624,1.5090024704396598,0.7676679454288988,1.2148513444714786,0.18,0.4316514644055076,52.08592145513533,51.20919732769776,2.3857265978772118,0.8767241274375692,0.36748725868993826,-0.8767223668756827,2.3857265948378386,0.3674865212018458,-1.7575224959820446e-06,0.0,0.0
0.35,LRa0p35_1216,0,8,full,1.9925809529538259,3.7348841466703715,1.7423031937165465,0.8743951863705891,1.2024020486650535,0.22,0.5307994546513894,56.480498590380094,55.404108947311194,2.818692836785473,1.0763896430689002,0.3818754668906915,-1.0763894600229862,2.8186928225044916,0.38187540388547286,-1.687649588966167e-07,0.0,0.0
0.35,LRa0p35_1216,0,9,full,2.0509151194139874,4.4767747123850965,2.425859592971109,1.1828181332361796,1.3553851710362812,0.16,0.5470724491469283,77.85031361156639,75.54143844342536,4.7347347611121355,2.3088751681410287,0.4876461480175291,-2.3088738210062134,4.73473475406442,0.48764586422168965,-1.3400870981783441e-06,0.0,0.0
