a,start,seed,geometry,phase_start,phase_end,nupdates,erosion,recovery,injection,inward,net,self_linear,rest_linear
0.35,0,0,full,0,20,20,0.07046636831463722,0.05357825804962657,0.013145621454238704,0.01688811026501065,-0.0037424888107719517,0.0,0.0
0.35,0,0,full,20,100,80,0.16227456460362982,0.13785915321630854,0.016825102890155378,0.024415411387321284,-0.00759030849716591,0.0,0.0
0.35,0,0,full,100,1000,900,0.9042509834473377,0.8589057129120681,0.048341850675282086,0.0453452705352696,0.0029965801400124725,0.0,0.0
0.35,0,0,full,1000,10000,9000,3.893449398477955,3.9091209758624226,0.14055458048772446,-0.01567157738446756,0.15622615787219196,0.0,0.0
0.35,0,1,full,0,20,20,0.06453668009941133,0.04970998685906477,0.009839974425524275,0.014826693240346557,-0.00498671881482228,0.0,0.0
0.35,0,1,full,20,100,80,0.1734812976169146,0.14788972632167102,0.017682267760515034,0.025591571295243587,-0.007909303534728546,0.0,0.0
0.35,0,1,full,100,1000,900,0.9357341358225602,0.8981441868433724,0.052077997873641126,0.03758994897918777,0.01448804889445332,0.0,0.0
0.35,0,1,full,1000,10000,9000,3.700640366820372,3.70277079764733,0.1558419725832889,-0.002130430826958296,0.157972403410247,0.0,0.0
0.35,0,2,full,0,20,20,0.04584657077911591,0.03685705698719747,0.006714546992967342,0.008989513791918438,-0.002274966798951096,0.0,0.0
0.35,0,2,full,20,100,80,0.1293495733180136,0.10975428732152877,0.013525020906003238,0.019595285996484843,-0.0060702650904816,0.0,0.0
0.35,0,2,full,100,1000,900,0.6980955901460759,0.6673689437961985,0.03941135518598873,0.03072664634987743,0.008684708836111277,0.0,0.0
0.35,0,2,full,1000,10000,9000,2.5901962119832183,2.609540886275167,0.08286652796398225,-0.01934467429194875,0.10221120225593117,0.0,0.0
0.35,0,3,full,0,20,20,0.07576012974175472,0.05785280814468691,0.013741583205725442,0.017907321597067816,-0.004165738391342377,0.0,0.0
0.35,0,3,full,20,100,80,0.16411733071683282,0.13517546955066054,0.017976160009662685,0.028941861166172284,-0.010965701156509605,0.0,0.0
0.35,0,3,full,100,1000,900,0.909946971807017,0.8648381441712136,0.049150922881240636,0.04510882763580337,0.004042095245437305,0.0,0.0
0.35,0,3,full,1000,10000,9000,3.801990259770676,3.8245045148554317,0.13591366038626296,-0.022514255084755685,0.15842791547101864,0.0,0.0
0.35,0,4,full,0,20,20,0.08812387925498791,0.0635292459097918,0.017587409883064353,0.024594633345196112,-0.007007223462131756,0.0,0.0
0.35,0,4,full,20,100,80,0.1938317749307997,0.15849262865073796,0.021995774931323202,0.03533914628006174,-0.01334337134873853,0.0,0.0
0.35,0,4,full,100,1000,900,1.035558084969735,0.9841215838270614,0.0645644678447789,0.05143650114267362,0.013127966702105365,0.0,0.0
0.35,0,4,full,1000,10000,9000,4.517937104478589,4.510181680313676,0.2021815959522651,0.0077554241649133715,0.19442617178735144,0.0,0.0
0.35,0,5,full,0,20,20,0.09495353083565948,0.06828657851601214,0.020184928748232255,0.026666952319647344,-0.006482023571415085,0.0,0.0
0.35,0,5,full,20,100,80,0.1791931174837582,0.15063685223462345,0.019168534752775763,0.028556265249134766,-0.009387730496358992,0.0,0.0
0.35,0,5,full,100,1000,900,1.0160490529141273,0.9612905183770148,0.06103858103867715,0.054758534537112435,0.006280046501564662,0.0,0.0
0.35,0,5,full,1000,10000,9000,4.401908004136509,4.399102677375316,0.20246748138690424,0.002805326761192717,0.19966215462571135,0.0,0.0
0.35,0,6,full,0,20,20,0.09937414634290001,0.073472144726067,0.019916713726236386,0.02590200161683301,-0.00598528789059663,0.0,0.0
0.35,0,6,full,20,100,80,0.22405423056760482,0.18106161504419813,0.026178481654335756,0.04299261552340669,-0.016814133869070935,0.0,0.0
0.35,0,6,full,100,1000,900,1.1813306303839213,1.1112755212493781,0.06985381055673406,0.07005510913454316,-0.00020129857780903926,0.0,0.0
0.35,0,6,full,1000,10000,9000,4.982600220035052,4.962591077693032,0.24794516531069322,0.020009142342019892,0.22793602296867288,0.0,0.0
0.35,0,7,full,0,20,20,0.06093915001860176,0.04854978761717741,0.00957790425096242,0.012389362401424353,-0.0028114581504619304,0.0,0.0
0.35,0,7,full,20,100,80,0.19030780500689853,0.15655970991193638,0.021656347685113812,0.033748095094962155,-0.012091747409848336,0.0,0.0
0.35,0,7,full,100,1000,900,0.9355878362021892,0.8884199780971904,0.05288144193487,0.047167858104998794,0.005713583829871194,0.0,0.0
0.35,0,7,full,1000,10000,9000,4.021757354285843,4.027390257143471,0.1544569659167751,-0.005632902857628075,0.1600898687744028,0.0,0.0
0.35,0,8,full,0,20,20,0.07365118243402659,0.05388770781333725,0.014466001638774994,0.019763474620689336,-0.005297472981914339,0.0,0.0
0.35,0,8,full,20,100,80,0.1784276598318652,0.1436066898289795,0.020042717301717174,0.0348209700028857,-0.014778252701168532,0.0,0.0
0.35,0,8,full,100,1000,900,0.883227059980776,0.8332850400252958,0.048939937444327355,0.0499420199554802,-0.0010020825111528575,0.0,0.0
