a,start,seed,geometry,phase,expected_linear,expected_injection,fullbatch_injection,noise_injection,expected_net,q,self_variance_rate
0.35,0,0,full,0,-0.0003086068649606403,0.0004598667018861167,0.0001563272063645633,0.00030353949552155334,0.00015125983692547635,0.06400295516834538,-0.03760558184676563
0.35,0,0,full,20,-0.000436639462211921,0.0003393551569154866,0.00010768645686208314,0.00023166870005340346,-9.728430529643436e-05,0.046424804316527485,-0.031696182289971966
0.35,0,0,full,100,-0.00015276628282916924,0.00010893893144552835,2.495256123127125e-05,8.39863702142571e-05,-4.382735138364089e-05,0.02372623850185191,-0.026323239673856594
0.35,0,0,full,1000,5.933812166776837e-05,3.274648943938224e-05,6.581216398374792e-06,2.616527304100745e-05,9.208461110715062e-05,0.003620443946974829,-0.021146475968049215
0.35,0,0,full,5000,-7.274239887291916e-06,1.9526600280855018e-05,7.979913144666971e-06,1.1546687136188046e-05,1.2252360393563085e-05,0.004204902708497652,-0.031512651233648256
0.35,0,0,full,9999,3.542373337470932e-06,3.0676062532616372e-06,8.092369202444153e-07,2.2583693330172226e-06,6.609979590732566e-06,0.006782941724314734,-0.04010658112988549
0.35,0,1,full,0,-0.0005421022371745137,0.0004421911918123264,0.00014118793756015118,0.00030100325425217524,-9.991104536218731e-05,0.06919536167050605,-0.042057267167830044
0.35,0,1,full,20,-0.00035019558499696366,0.0002706797278044633,5.057210807205302e-05,0.00022010761973241034,-7.951585719250033e-05,0.053910983362823246,-0.035366731068561946
0.35,0,1,full,100,-0.000237635691888328,0.00014093211883694817,4.068532117082929e-05,0.00010024679766611888,-9.67035730513798e-05,0.029221896332854286,-0.031891747598910766
0.35,0,1,full,1000,-9.975065653969656e-05,4.501441301213556e-05,1.1662458169509728e-05,3.335195484262583e-05,-5.473624352756101e-05,0.007310546789386552,-0.030470936228685623
0.35,0,1,full,5000,-1.1174494912119751e-05,1.810767705273274e-05,5.385937962875239e-06,1.27217390898575e-05,6.933182140612976e-06,0.006270515853624022,-0.037639055857759104
0.35,0,1,full,9999,-1.7812666739539404e-05,5.212791304889219e-06,1.0996057245414874e-06,4.11318558034773e-06,-1.2599875434650187e-05,0.009664279465306893,-0.042467802761014854
0.35,0,2,full,0,-0.000207965455031552,0.00032749984496686403,9.094194460651557e-05,0.0002365579003603484,0.00011953438993531201,0.0908218300340761,-0.023910393132177382
0.35,0,2,full,20,-0.0002691129749265353,0.00025793413289665736,7.84202973274824e-05,0.000179513835569175,-1.1178842029878015e-05,0.08054023477685279,-0.022169357828818122
0.35,0,2,full,100,-0.00028937239357523277,0.00011239382930386559,3.985462942487318e-05,7.253919987899239e-05,-0.00017697856427136712,0.062406052486701724,-0.01680503286511492
0.35,0,2,full,1000,-5.544826393834156e-05,2.496714668785708e-05,5.960097668187522e-06,1.9007049019669555e-05,-3.0481117250484487e-05,0.038322225228664866,-0.015591037813088765
0.35,0,2,full,5000,4.093299916477164e-05,8.5480423684404e-06,2.4599105652251838e-06,6.088131803215215e-06,4.948104153321202e-05,0.03532290592269517,-0.021765574122006512
0.35,0,2,full,9999,9.394039914486948e-06,1.2215790345728537e-06,2.027722818716149e-07,1.018806752701239e-06,1.0615618949059802e-05,0.03821720004782267,-0.026401273360639948
0.35,0,3,full,0,-0.000391003896497231,0.00044581320494314246,0.00011270878992438487,0.00033310441501875767,5.480930844591148e-05,0.07914778171375737,-0.04028252085188628
0.35,0,3,full,20,-0.0009545424615184453,0.0004741786126081537,0.00021868892865541204,0.00025548968395274174,-0.0004803638489102917,0.058473768886259096,-0.03360177901136593
0.35,0,3,full,100,-0.00025756087076096105,0.000175321272165254,7.157846954432767e-05,0.00010374280262092633,-8.223959859570707e-05,0.03180590268672779,-0.026227501212294863
0.35,0,3,full,1000,-4.163427966346416e-05,4.188063779353541e-05,1.106427846493511e-05,3.08163593286003e-05,2.4635813007123884e-07,0.005344576176025061,-0.021300810408520762
0.35,0,3,full,5000,1.812007339510293e-05,1.0645410224143351e-05,1.9534834625615557e-06,8.691926761581795e-06,2.876548361924628e-05,0.005034747241128385,-0.03123922150292701
0.35,0,3,full,9999,1.0451956374957317e-05,2.971960541339769e-06,9.198254386178767e-07,2.052135102721892e-06,1.3423916916297089e-05,0.0092097284154359,-0.03972231127517847
0.35,0,4,full,0,-0.0005589440692657084,0.0007994197486634502,0.00028266724924119535,0.000516752499422255,0.00024047567939774187,0.0844051630803909,-0.05264343091076061
0.35,0,4,full,20,-0.0006907221290271237,0.0006529713235947537,0.000247866656100597,0.0004051046674941568,-3.7750805432369904e-05,0.05906667568582247,-0.038929336860441054
0.35,0,4,full,100,-0.00037569256676118747,0.00019477240250658873,5.603303840145057e-05,0.00013873936410513816,-0.00018092016425459874,0.032484035158208836,-0.030171410996410797
