a,seed,horizon,geometry,mean_net,normalized_net,median_size_ratio,unit_shrink_fraction
0.35,0,1,full,0.1602431808648578,0.07728943382949847,0.9950349823697895,0.58
0.35,0,1,variance,0.056591596300375496,0.4338104798644119,1.0327207077328484,0.44
0.35,0,2,full,0.2796104745537123,0.13486336925175957,1.005596633897027,0.42
0.35,0,2,variance,0.0850186225567056,0.651721666463949,1.071512219716805,0.33
0.35,0,5,full,0.905222828959901,0.436612400991044,1.1105969005793352,0.33
0.35,0,5,variance,0.23943330571121496,1.83540815309031,1.3583933560904016,0.16
0.35,0,10,full,1.4788994423646609,0.7133114805523245,1.1866026686779496,0.19
0.35,0,10,variance,0.3859353072731151,2.958438916550909,1.7133682175417517,0.09
0.35,0,20,full,2.4845688369770254,1.1983718600938182,1.343131188523302,0.14
0.35,0,20,variance,0.6341920664250261,4.861484436695738,2.0503841376677356,0.05
0.35,0,50,full,2.861412644656986,1.3801333826780473,1.4430294404973438,0.08
0.35,0,50,variance,0.7245837365640263,5.554393920828546,2.227375564623305,0.02
0.35,0,100,full,2.512410437493506,1.2118005846686295,1.402801746547791,0.09
0.35,0,100,variance,0.6943764333982252,5.32283578254576,2.4074366264272733,0.02
0.35,0,110,full,2.427103529443764,1.1706548548514577,1.3901283565691975,0.1
0.35,0,110,variance,0.6798033166916214,5.211123599732321,2.349864938496352,0.02
0.35,0,200,full,2.5104751942046044,1.2108671667389912,1.368749508287121,0.14
0.35,0,200,variance,0.6971002078922706,5.343715241644821,2.3588751773525676,0.02
0.35,0,500,full,1.8620189061842682,0.8980999145303744,1.261892066905138,0.22
0.35,0,500,variance,0.6319797229588705,4.844525420809638,2.332764006834621,0.01
0.35,1,1,full,0.25922685041337173,0.12850128191471605,1.0071679959269373,0.46
0.35,1,1,variance,0.07621175255362697,0.6000715179079836,1.0868869526776208,0.32
0.35,1,2,full,0.6377236922600226,0.3161258636291776,1.0559750818741487,0.35
0.35,1,2,variance,0.1609147940532638,1.2670012365015115,1.245637839528531,0.22
0.35,1,5,full,1.2495506474083944,0.6194144617090923,1.1395905348992854,0.18
0.35,1,5,variance,0.2960675271460746,2.3311587053820233,1.472589783858908,0.12
0.35,1,10,full,1.5956442938477493,0.790976462941128,1.1855946093338348,0.15
0.35,1,10,variance,0.3763417852886862,2.963217335692078,1.5744187883469603,0.09
0.35,1,20,full,2.4906021013524873,1.2346157901965977,1.2996343551906877,0.1
0.35,1,20,variance,0.5999773907570223,4.724065928397335,1.962360802815749,0.04
0.35,1,50,full,3.0709828730454474,1.5223162079668644,1.5193446726420863,0.09
0.35,1,50,variance,0.7564863867643478,5.956377056976688,2.5837985979784808,0.03
0.35,1,100,full,2.660835574976648,1.3190021859369183,1.4500583185319318,0.12
0.35,1,100,variance,0.6989634339972145,5.503456287870451,2.5348184731513443,0.02
0.35,1,110,full,2.5372177005203986,1.2577235980519454,1.4469628678755273,0.11
0.35,1,110,variance,0.6473355044199463,5.096951398141296,2.4502144863030213,0.04
0.35,1,200,full,2.177713346734345,1.0795137781904511,1.3410474703126187,0.15
0.35,1,200,variance,0.6675132447361369,5.255825677419543,2.2697228386358566,0.02
0.35,1,500,full,2.122925170892137,1.0523547442467611,1.4128404381698103,0.16
0.35,1,500,variance,0.7060054725588867,5.558903467961156,2.36163171077967,0.01
0.35,2,1,full,0.055514243667297763,0.028828392379805626,0.9971686249065883,0.56
0.35,2,1,variance,0.02221713729154213,0.18389129099116774,1.0084819705642816,0.43
0.35,2,2,full,0.13079067711471268,0.06791923496391813,1.0007937007791092,0.5
0.35,2,2,variance,0.043803742029951034,0.36256366274507773,1.031575052401781,0.41
0.35,2,5,full,0.6865464523330183,0.35652166376318345,1.0485014983876826,0.29
0.35,2,5,variance,0.179646486402416,1.4869343369068453,1.2489050395106993,0.23
0.35,2,10,full,1.0255068106730223,0.5325428353743432,1.1054310618685634,0.27
0.35,2,10,variance,0.26178760150019786,2.1668165152708223,1.4254216097797756,0.18
0.35,2,20,full,1.6075830513636316,0.8348134087096688,1.2285649733099793,0.21
0.35,2,20,variance,0.4058204418404873,3.358976630578914,1.7402045763854321,0.1
0.35,2,50,full,2.8740470877907076,1.492484661439705,1.4579340514011603,0.13
0.35,2,50,variance,0.7252079375890672,6.002547588841005,2.3639141937081156,0.02
0.35,2,100,full,2.476320600416214,1.2859464024193812,1.435848707952794,0.16
0.35,2,100,variance,0.6634844544583361,5.491662192201596,2.411163170047992,0.01
