geometry,start,a,net,normalized_net,median_size_ratio,unit_shrink_fraction,median_unit_balance,balance,formula_balance,min_seed_net,max_seed_net,contracting_seeds
centered,0,0.35,1.6737969441323095,0.8731135921888985,1.2302546110595742,0.155,-0.2079055223515359,-0.4079339545647692,-0.4079350172880758,1.0342754752268182,2.442642796407196,0
centered,0,0.4,1.6871391313828563,0.8798205751299932,1.2123300063985405,0.165,0.03237708888964971,-0.22181713018806637,-0.22181797437523826,1.0938321506111652,2.4685988545485866,0
centered,0,0.45,1.6895930421835932,0.8809299111471163,1.1864320896250877,0.16999999999999998,0.18241775863298154,-0.033158880233063605,-0.0331586765867704,1.111014116238306,2.3235388941895447,0
centered,0,0.55,1.159815212493441,0.6057119914174958,1.139513300534894,0.28500000000000003,0.596993885972176,0.35797359009564894,0.3579744780668796,1.0553723941918336,1.3290774780980648,0
centered,0,0.6,0.8350584298639827,0.4373015406674517,1.0640819489113607,0.37,0.7750153694748994,0.5570045944953054,0.5570042248396191,0.5128593268145987,0.9620877477465742,0
centered,0,0.65,0.42677050925303306,0.223790025091347,1.0057152095603072,0.495,0.9857287898338987,0.7591616037751447,0.7591608837931216,0.11150840884560127,0.7524122570774265,0
centered,0,0.8,-0.33896588434792074,-0.18002831459299462,0.8872462171390043,0.895,1.993140944176015,1.4616295173812446,1.4616290316950473,-0.4389272900075282,-0.10255152015342921,10
centered,1000000,0.35,-0.08594034709419791,-0.018946203549710872,0.9778656023114245,0.61,1.4215683626410602,1.1591787564580613,1.1591679582009036,-0.24000649437799024,0.0925706385908564,7
centered,1000000,0.4,-0.11510892077706794,-0.02793806113595902,0.9705708461879142,0.59,1.3252961174530165,1.1390626368312289,1.1390642770497035,-0.21013923825162217,0.15730880903612257,7
centered,1000000,0.45,-0.12356514924105585,-0.03450773275971669,0.9684922533222735,0.6,1.2404826107695786,1.094874919511907,1.0948744073979948,-0.21133148003225444,0.2967142862265007,8
centered,1000000,0.55,-0.051430753509603216,-0.018390581742926158,0.969202312976362,0.645,1.2376400076250877,1.0270496875383597,1.0270512586398997,-0.32575816162041327,0.11300482019529859,8
centered,1000000,0.6,0.03661843490385469,0.01697687845323136,0.9654890908469321,0.705,1.452714434785263,0.9859114291064197,0.9859107135834576,-0.23631427330023919,0.27116182943064293,4
centered,1000000,0.65,-0.02438139248348415,-0.010137670941027261,0.9720418838558459,0.71,1.5703915623938092,1.0193263410308997,1.0193264993941085,-0.3948857587227751,0.3105844645356173,5
centered,1000000,0.8,-0.12322546048250213,-0.11957613925212038,0.9601243239524567,0.83,1.5882780670008219,1.1560553371322433,1.1560553325450995,-0.254878487014448,0.10876662016921233,9
full,0,0.35,1.6689737466340304,0.8326858231246335,1.208626696568266,0.19,0.4794704304007363,0.3699472472137125,0.36994664883008466,1.0255067920261052,2.425859592971109,0
full,0,0.4,1.6669465463412614,0.8314785049370352,1.2007428086571297,0.21,0.5738002667408456,0.4531343830612089,0.45313439272464784,1.0746975616008518,2.4558589056644253,0
full,0,0.45,1.6587783148774728,0.8273129369607455,1.1696548428655942,0.21,0.6785628464048333,0.5386006973726966,0.5386007636855787,1.085698557996994,2.2974413944906416,0
full,0,0.55,1.1185717427027866,0.5605223624770433,1.1098052142223718,0.315,0.841667489362155,0.7310840652646036,0.7310845150736205,0.9809233932875432,1.2764122058334701,0
full,0,0.6,0.7785328106821414,0.3856427890549151,1.0459204479951167,0.405,0.9299602762926596,0.8192813495939494,0.8192816820793363,0.4600602842501072,0.9193184828941362,0
full,0,0.65,0.35116660261965393,0.1742254299364464,0.9830457948917801,0.55,1.0316044416553378,0.90986951954799,0.9098691907366495,0.05931376887935534,0.6990768772132309,0
full,0,0.8,-0.4092884662965923,-0.2073565453068506,0.8748849624087671,0.925,1.5252162028151162,1.2390728271781004,1.2390726009474844,-0.5152544390961661,-0.16904289142187287,10
full,1000000,0.35,-0.08495701891910498,-0.01858036736563488,0.9776303206832802,0.6,1.2022048794193154,1.0720011814848176,1.0720010163496714,-0.23981162338938783,0.12290345112440106,8
full,1000000,0.4,-0.10700139533491915,-0.024392572802101182,0.9711423800388288,0.59,1.1736171641171897,1.06071190564065,1.0607128134029187,-0.1827291071295397,0.17018606530004657,8
full,1000000,0.45,-0.11343232138599856,-0.031327561258773846,0.9702667557020654,0.6,1.1121701616148831,1.0326965073636125,1.032696155271554,-0.2051235841186358,0.30097786227009415,8
full,1000000,0.55,-0.06481013944498297,-0.023543851107870908,0.966946015616047,0.675,1.1525965228836335,1.0143675783688555,1.014368355196484,-0.3278269904443356,0.1461436547447124,8
full,1000000,0.6,0.03223125567789367,0.0147633204420651,0.966542754558962,0.7,1.20122484269817,0.9949974261304201,0.9949970796584108,-0.24338442399811072,0.29546113037066596,4
full,1000000,0.65,-0.03158590257600996,-0.014125871375791844,0.9706856025662991,0.73,1.3084282830738139,1.0099416737264009,1.0099417499056216,-0.41660362543547946,0.31581984670217195,5
full,1000000,0.8,-0.12670134120014198,-0.12278566228773376,0.9576238490419636,0.85,1.291625403561552,1.0736181207883053,1.073618119472548,-0.2655914114454126,0.10478862298032028,9
variance,0,0.35,0.4098860146260786,3.354453378339459,1.713645426317158,0.12,-0.9853965137816512,-1.2938710829420037,-1.2938725828705908,0.26178760150019786,0.6061422686411955,0
variance,0,0.4,0.41200620994067816,3.3355073190077533,1.7385365767697458,0.135,-0.6834901440857433,-1.0121050504047187,-1.0121040767076672,0.27715133164476247,0.6185120283493867,0
variance,0,0.45,0.41537786392275133,3.2942043177904714,1.6543282923114413,0.14,-0.3539189501165688,-0.6940709731461849,-0.6940713082000618,0.2850341125224439,0.5826273236196426,0
variance,0,0.55,0.3073624468845282,2.4166182045690734,1.4512279316465495,0.245,0.41641022752224255,-6.350339238010705e-05,-6.220417136818673e-05,0.26640292605783755,0.3336308482543654,0
variance,0,0.6,0.2164570296814013,1.8013037233738638,1.2958237175543577,0.34,0.5906176740271964,0.34749216890132506,0.3474939570574319,0.14758759879436817,0.23992833943782205,0
variance,0,0.65,0.12332836187712035,1.0107315683359093,1.0723944071258003,0.48,0.9379013996784584,0.5954424031993452,0.5954413468095971,0.05255607258666032,0.20285329931629065,0
variance,0,0.8,-0.05792862391983418,-0.4642910222251699,0.5342412665860962,0.86,2.1937958408295506,1.576941530998757,1.5769416122335538,-0.08081402962478094,-0.005296039476293597,10
variance,1000000,0.35,-0.014717524856973006,-0.0183997720313095,0.9766409606601276,0.585,1.5902133282073014,1.1690622064328882,1.1690594966011596,-0.051627929577268174,0.05196944466548801,7
variance,1000000,0.4,-0.01942835592413694,-0.026730461839495907,0.9677918349942398,0.58,1.3252864745981623,1.189590170562792,1.1895933377910977,-0.050805320536095315,0.05119148833166043,7
variance,1000000,0.45,-0.016811754994110466,-0.026537617703856514,0.955339945950347,0.585,1.320413267029354,1.0549496424655027,1.0549506364024022,-0.05143393694003231,0.06999658311962947,7
variance,1000000,0.55,-0.00716098391457143,-0.016005899932798495,0.9253756748836348,0.59,1.1105705872667748,1.0213677119672173,1.021370423363504,-0.07069215517714764,0.05400378237098494,8
variance,1000000,0.6,0.010991846912409394,0.03379862660578722,0.9620892094431457,0.535,1.0699755639115187,0.9632484259359839,0.9632468894509875,-0.05351657363368084,0.09131954463704291,4
variance,1000000,0.65,-0.0012491873033862021,0.006179212199107737,1.0280225736113686,0.49,0.9599755139305325,1.0236733439207648,1.0236742010783093,-0.09376197295451463,0.09589153731451171,5
