geometry,start,seed,erosion_difference,recovery_difference,injection_difference,net_difference,inward_difference,balance_difference,normalized_net_difference,median_size_ratio_difference
centered,0,0,-2.7016809327882925,-3.0020277571085927,-0.008318555836649422,-0.30866538015696665,0.30034682432030024,0.17691638561245343,-0.1578035611008614,-0.09390271718833398
centered,0,1,-1.9075214037260935,-2.2703833204659247,0.029269454122474725,-0.33359246261727826,0.36286191673983126,0.1762172338397585,-0.1725247927266214,-0.06102778204974624
centered,0,2,3.8293605474928754,3.5446729361682685,0.12640729105541282,-0.15828032026921612,0.28468761132460685,0.20993439977219747,-0.08637326190089417,-0.007285312149494905
centered,0,3,-3.016106694533221,-3.359732379189566,-0.003003334962579318,-0.3466290196190148,0.34362568465634524,0.2052819525427707,-0.18832109205776698,-0.08614628367026089
centered,0,4,-6.10296930265423,-6.580534076837651,-0.027073064613484465,-0.5046378387968612,0.4775647741834206,0.17938833838269042,-0.2713054350069232,-0.06382267804822828
centered,0,5,-7.968900997884504,-8.325703229499297,-0.1087891207888072,-0.4655913524035886,0.3568022316147932,0.2067321979746598,-0.24203623232754218,-0.06510153431354859
centered,0,6,-9.293810717346446,-9.689978154548513,-0.12613815171754306,-0.5223055889195362,0.3961674372020667,0.18392812708701645,-0.2702224875020184,-0.0952485845021096
centered,0,7,-1.505486867578142,-1.882948324861573,0.0521907020966379,-0.3252707551867484,0.37746145728343095,0.189598493023525,-0.1745660720538666,-0.045263252340079996
centered,0,8,-2.552218033053393,-2.90001220348303,-0.04176536611617809,-0.3895595365458422,0.347794170429637,0.20019066219981857,-0.20478517106090333,-0.04757056780072011
centered,0,9,-18.955544276140913,-19.060533633209644,-0.5352548326304505,-0.64024418969915,0.10498935706873169,0.14790937136156435,-0.32694913664004827,-0.1067198270424271
centered,1000000,0,-6.083101021245028,-6.187742385381512,0.14609785049936885,0.04145648636282134,0.10464136413648362,-0.02503184874988995,-0.0006501377590515944,0.0037968746354783978
centered,1000000,1,-4.863891057245155,-4.682329655579451,0.02607272621941803,0.20763412788515836,-0.18156140166570367,-0.12417672567375782,0.09932249688178746,0.0003987602406081425
centered,1000000,2,-12.891164124205119,-12.98171044922185,-0.11605438538377122,-0.2066007104004681,0.09054632501673154,0.08134860934707366,-0.08335263749040878,-0.019882974522329122
centered,1000000,3,-2.8425477061759423,-2.7969557647249275,0.06432524177821075,0.109917183229292,-0.04559194145101486,-0.08696875553613104,0.047903749409850496,-0.004233470389215621
centered,1000000,4,-6.417535458062616,-6.447554633540975,-0.04107299110189455,-0.07109216658022921,0.030019175478358306,0.03688241886349042,-0.039596441255739176,-0.012157452338601882
centered,1000000,5,-3.5508747939454253,-3.5694091473598064,0.10797824173458248,0.08944388832017408,0.018534353414381144,-0.07828740339840645,0.014078312534025458,0.021180391463574755
centered,1000000,6,-6.345917181526204,-6.319399342953403,0.07688712939261366,0.10340496796541822,-0.026517838572800656,-0.060486971021828984,0.038036966581155525,0.009094781436377986
centered,1000000,7,-8.908741769332181,-8.747034807141603,0.01825110993440049,0.17995807212495754,-0.16170696219057845,-0.06573948044256595,0.07448486559126047,0.017648171763666398
centered,1000000,8,-12.238859015642888,-12.071348544367098,-0.009353462040372573,0.15815700923534434,-0.16751047127579,-0.0811497506392761,0.08674885101212026,-0.018857615984549825
centered,1000000,9,-40.968654146582296,-40.13650493857557,-0.8101865551402945,0.021962652866298036,-0.8321492080067259,-0.007755106427396408,0.01402084310414945,0.005253823803995639
full,0,0,-4.67621733809986,-4.967776837309579,-0.024167061204226847,-0.31572656041394975,0.29155949920971835,0.08484713252167708,-0.15228309190376782,-0.08079257279212437
full,0,1,-3.801266626769106,-4.206885197642549,0.06621179019106371,-0.33940678068238006,0.4056185708734432,0.07503468327466156,-0.16824725530522328,-0.04468715654801292
full,0,2,1.8166985634732242,1.361447092214,0.2876399025351071,-0.1676115687240851,0.45525147125922416,0.09695295296735917,-0.08704022134560069,-0.0014535518922209612
full,0,3,-4.8227866542575555,-5.1709839622904,-0.00448056110838424,-0.3526778691412845,0.34819730803284443,0.09674029975220577,-0.17994132418385544,-0.08220464683393014
full,0,4,-8.762237944064694,-9.215683510055982,-0.06283185088937238,-0.5162774168806291,0.45344556599128794,0.08362415490586683,-0.2632158170953009,-0.07309580516688219
full,0,5,-10.088527606871295,-10.28379223702565,-0.27901871536027745,-0.4742833455146631,0.19526463015435525,0.08642449329603019,-0.23385209784227695,-0.07048016424994197
full,0,6,-10.30684279627927,-10.548889810435298,-0.2894186584919085,-0.5314656726479455,0.2420470141560287,0.08353730361610301,-0.2633421966204018,-0.09419947755536007
full,0,7,-3.7760136394591157,-4.216899304058913,0.10712559308425895,-0.3337600715155248,0.44088566459979717,0.08923979490376333,-0.1697922391683523,-0.058530952845268214
full,0,8,-4.765555771810995,-5.075299987923501,-0.08697399972641895,-0.39671821583896605,0.3097442161125059,0.09345282407164968,-0.19909766539264878,-0.06111208618588959
full,0,9,-21.500239824700756,-21.007190364824055,-1.1387618249264104,-0.6457123650496901,-0.49304945987670123,0.0709558102286354,-0.31484109651217107,-0.12852778230342154
full,1000000,0,-8.212582239789654,-8.48280720363897,0.30566768641398134,0.03544272256475667,0.2702249638493157,-0.010268035794319452,-0.0032244805540207894,0.0008490818453090743
full,1000000,1,-9.073422616084187,-8.899451091595125,0.049246651813223075,0.2232181763023362,-0.17397152448906184,-0.06140756751466259,0.10388537095599097,0.004582313316464415
full,1000000,2,-14.265167492224393,-14.202169041432143,-0.2668269390883564,-0.2038284882961816,-0.06299845079225008,0.036850849893283355,-0.08165405838543763,-0.013809618858588002
full,1000000,3,-4.570984829125493,-4.58264630146931,0.13443666751870875,0.12277519517491342,0.011661472343817536,-0.045522652439846434,0.05243448159028068,-0.007282586368495991
full,1000000,4,-8.641134112740545,-8.617777763134299,-0.09153304888345648,-0.06817669927729439,-0.023356349606245885,0.016584501529876672,-0.03864608289083588,-0.009835236736707387
full,1000000,5,-4.942055698028568,-5.08485861103248,0.22724547945022477,0.08444256644622489,0.14280291300391212,-0.03456670702409648,0.011820585459714178,0.019202990067094028
full,1000000,6,-6.257276173567618,-6.303463048782689,0.1704863451570997,0.12429946994206212,0.0461868752150707,-0.03233443830545801,0.04404076220176441,0.011362521898452993
full,1000000,7,-12.808853094344883,-12.68174827194639,0.05269002439138504,0.1797948467899022,-0.1271048223984934,-0.03017938346314375,0.07226988620024051,0.014208446519119677
full,1000000,8,-13.604878966106185,-13.420067958832846,-0.0354935316474716,0.14931747562595357,-0.1848110072733391,-0.03137525999564872,0.08423534137693792,-0.01142811589185766
full,1000000,9,-38.8987476314182,-36.72175027697108,-2.166502925216159,0.010494429230958821,-2.176997354447124,-0.0018159663403953807,0.009218661766316779,0.0027367628645817987
variance,0,0,-1.1805934194431806,-1.2514963987543197,-0.0030835238965552236,-0.07398650320769326,0.07090297931113909,0.30852930884067836,-0.5671534743367239,-0.19832088201294584
variance,0,1,-0.18878259875872416,-0.26977058926794584,0.006258376695546741,-0.07472961381367302,0.08098799050922167,0.18339097619520872,-0.5884015429548612,-0.027432376337456432
variance,0,2,0.6678584170512156,0.6153172578758088,0.014182494288179887,-0.03835866488723649,0.052541159175406804,0.3661867949105072,-0.31749474805184863,0.05552517956325187
variance,0,3,-0.8612441055187716,-0.9455668583489363,0.00017291919950257473,-0.0841498336306489,0.08432275283016466,0.3365496439431223,-0.6831794667204336,-0.24628606638979722
variance,0,4,-2.787727652393084,-2.9008675453455517,-0.00567916589335965,-0.11881905884583985,0.11313989295246785,0.2804035186553723,-1.0013136283864128,-0.10151303128632483
variance,0,5,-3.5119614977291747,-3.589655745164471,-0.029868029879860314,-0.1075622773151606,0.0776942474352964,0.19699921146432287,-0.8033864523253176,-0.29393738022558047
