a,start,seed,S_linear,H_linear,B_linear,C_linear,predicted_linear,formula_residual
0.35,0,0,-0.8926098604753283,4.049099020170861e-09,0.1828390026425515,1.161065459429947,0.4512946056060098,4.0259492616844625e-11
0.35,0,1,-0.9359904363174442,9.067850522103056e-09,0.17721141640707389,1.3611534271374957,0.6023744368726273,-2.0577651264860498e-08
0.35,0,2,-0.5110526508361855,1.574249155759016e-09,0.11138544790433205,0.7883668580355871,0.38869965852321475,-1.8452319082158098e-09
0.35,0,3,-0.8553250144284116,6.4917155210308584e-09,0.16088862664554604,1.1934783394207793,0.49904195048566574,7.643963513389234e-09
0.35,0,4,-1.430540556542634,5.190565006307004e-09,0.2392839908029494,1.6653583247459451,0.47410175537372423,8.823101412111514e-09
0.35,0,5,-1.36444434450097,2.919751318429693e-09,0.23657496012691445,1.8203044614783013,0.6924350730741313,6.949865807382679e-09
0.35,0,6,-1.9031868539678596,6.131822823910464e-09,0.3136029568198635,1.960127520689005,0.37054361288798826,1.6784843575119953e-08
0.35,0,7,-1.0759561339154016,3.754322885483492e-09,0.19923375606232926,1.2949274362677783,0.4182050704303984,-8.261369714631267e-09
0.35,0,8,-1.3047276232098974,9.540654679862447e-09,0.22833815287206202,1.546715285717508,0.47032582878402607,-3.863698963228428e-09
0.35,0,9,-2.733804821752289,1.117992177404222e-08,0.4249310098079536,2.540562291127059,0.2316884704819538,1.9880691634886818e-08
0.4,0,0,-1.2076362237742342,1.0522803462986893e-08,0.20537513149296155,1.2940663042399911,0.2918052170485431,5.432979029573384e-09
0.4,0,1,-1.4566172795039385,5.797534878015922e-09,0.22941828255336874,1.6784658024697232,0.4512668214155414,-1.0098853083432533e-08
0.4,0,2,-0.7328490746575635,7.869791780978049e-09,0.13518621345925436,0.9335588807571762,0.33589602999022494,-2.5615661907494977e-09
0.4,0,3,-1.472555692038291,1.4224956881745038e-08,0.22511701185821992,1.512815842588556,0.2653771625271976,1.4106244248250672e-08
0.4,0,4,-2.1973611210709136,1.4594734811272282e-08,0.3127689291515397,2.0792104871648722,0.19461831393079493,-4.090561717846734e-09
0.4,0,5,-1.8772127282996824,7.505019419043112e-09,0.2776548100220953,2.1124144484336367,0.5128565335365773,4.124491234062135e-09
0.4,0,6,-2.837438533014071,1.6235992671576737e-08,0.3939854968987867,2.4247167000163996,-0.01873634036295496,2.050006317730802e-08
0.4,0,7,-1.4754194436693056,7.273869271345054e-09,0.23675258261916146,1.4893342955079851,0.25066744332590246,-1.5941919072667031e-09
0.4,0,8,-1.6013255394043915,7.978359611419367e-09,0.2566630834279987,1.6698715255793617,0.32520906937163646,8.20969215577734e-09
0.4,0,9,-4.097153750362987,2.721808497979823e-08,0.5493345080753055,3.2109592232587283,-0.3368600338944315,4.208356356810265e-08
0.45,0,0,-1.7369124437686825,5.6141320182959494e-09,0.25160085009904926,1.5587253820917795,0.07341380297603013,-8.939751814395235e-09
0.45,0,1,-2.0780473028455715,3.7229475449534824e-11,0.28673627048616096,2.0357687494643866,0.244457726914031,-9.771825192647265e-09
0.45,0,2,-1.053437371346521,3.221028661514244e-09,0.16645904834865824,1.1020417671479346,0.21506345481978098,-7.44868043915742e-09
0.45,0,3,-1.91564572159674,2.300244436958635e-09,0.2516004764171831,1.6811191933540983,0.017073944220775315,6.254010636130994e-09
0.45,0,4,-3.072848854895033,1.5026593073683928e-09,0.3863050234438798,2.502434634967396,-0.18410918534392542,-9.637172622121252e-09
0.45,0,5,-2.4697546957810794,1.6613474402685107e-09,0.33033161837437264,2.4097866627955993,0.27036356647486764,2.0575372483303576e-08
0.45,0,6,-3.6312038841277228,4.718479375848346e-09,0.4516634973371848,2.7604009808375083,-0.41913940586688814,4.63233764540352e-09
0.45,0,7,-1.9962253406455863,1.0795363195207036e-09,0.2820038571701308,1.7297547928675268,0.015533309068261123,1.4033466208506208e-09
0.45,0,8,-2.1253088562566167,3.78786701786397e-09,0.2977532308689294,1.9161560247780318,0.08860039603391426,7.144297509327535e-09
