seed,pair,K,F0_branch,F1_branch,F1_minus_F0_ce,F1_minus_F0_acc_pp
0,A_to_C,K0,A,C,33.58924961090088,0.41666701436042786
0,B_to_D,K1,B,D,33.58924961090088,0.41666701436042786
1,A_to_C,K0,A,C,34.82474613189697,0.7500000298023224
1,B_to_D,K1,B,D,34.82474613189697,0.7500000298023224
2,A_to_C,K0,A,C,49.58702206611633,0.08333325386047363
2,B_to_D,K1,B,D,49.58702206611633,0.08333325386047363
