seed,branch,task,step,ce,acc
0,A,21,0,2.334967613220215,0.08416666835546494
0,B,21,0,2.334967613220215,0.08416666835546494
0,C,21,0,35.924217224121094,0.08833333849906921
0,D,21,0,35.924217224121094,0.08833333849906921
0,AF,21,0,2.334967613220215,0.08416666835546494
0,BF,21,0,2.334967613220215,0.08416666835546494
1,A,21,0,3.0324811935424805,0.10333333909511566
1,B,21,0,3.0324811935424805,0.10333333909511566
1,C,21,0,37.85722732543945,0.11083333939313889
1,D,21,0,37.85722732543945,0.11083333939313889
1,AF,21,0,3.0324811935424805,0.10333333909511566
1,BF,21,0,3.0324811935424805,0.10333333909511566
2,A,21,0,2.5875117778778076,0.09833333641290665
2,B,21,0,2.5875117778778076,0.09833333641290665
2,C,21,0,52.17453384399414,0.09916666895151138
2,D,21,0,52.17453384399414,0.09916666895151138
2,AF,21,0,2.5875117778778076,0.09833333641290665
2,BF,21,0,2.5875117778778076,0.09833333641290665
0,A,21,1,2.3353934288024902,0.08416666835546494
0,B,21,1,4.612544059753418,0.10249999910593033
0,C,21,1,35.17567443847656,0.08416666835546494
0,D,21,1,30.960935592651367,0.09166666865348816
0,AF,21,1,2.3353934288024902,0.08416666835546494
0,BF,21,1,4.048480033874512,0.1041666716337204
1,A,21,1,3.0390725135803223,0.10333333909511566
1,B,21,1,5.028077125549316,0.10999999940395355
1,C,21,1,37.218990325927734,0.1066666692495346
1,D,21,1,32.487728118896484,0.10249999910593033
1,AF,21,1,3.035938024520874,0.10333333909511566
1,BF,21,1,4.399330139160156,0.10833333432674408
2,A,21,1,2.5874533653259277,0.09833333641290665
2,B,21,1,5.373264789581299,0.1066666692495346
2,C,21,1,51.505271911621094,0.09916666895151138
2,D,21,1,48.05067825317383,0.09750000387430191
2,AF,21,1,2.5873830318450928,0.09833333641290665
2,BF,21,1,4.761648178100586,0.10916666686534882
0,A,21,2,2.3350346088409424,0.08416666835546494
0,B,21,2,4.4344987869262695,0.11083333939313889
0,C,21,2,33.93360900878906,0.08583333343267441
