metric,seed,A_minus_B,C_minus_D,response_interaction,AF_minus_BF,A_minus_C,B_minus_D,A_minus_D
online_ce_first75_task21,0,-2.089358914693197,8.663839928309123,10.75319884300232,-0.8891918532053626,-14.262039299011231,-3.508840456008911,-5.598199370702108
online_ce_first75_task21,1,-2.3116654364267983,10.904396336873372,13.21606177330017,-1.0202406215667725,-15.306898164749146,-2.090836391448975,-4.402501827875773
online_ce_first75_task21,2,-2.67427843729655,12.888637371063233,15.562915808359783,-1.1767511653900145,-20.78619936625163,-5.223283557891846,-7.897561995188395
online_acc_first75_task21_pp_cost,0,0.0,3.250000000000001,3.250000000000001,1.333333333333334,-2.333333333333333,0.9166666666666679,0.9166666666666679
online_acc_first75_task21_pp_cost,1,1.666666666666666,-0.41666666666666785,-2.083333333333334,0.16666666666666785,1.4166666666666679,-0.6666666666666661,1.0
online_acc_first75_task21_pp_cost,2,0.08333333333333393,1.2500000000000018,1.1666666666666679,-0.8333333333333321,-1.0,0.16666666666666785,0.2500000000000018
probe_auc_task21,0,1.3460486137568948,2.7160959641536078,1.370047350396713,0.29332781463861446,-2.614967424631119,-1.2449200742344062,0.10112853952248857
probe_auc_task21,1,1.4479783000250657,2.3102884475986167,0.8623101475735511,0.41839908752838784,-2.257732870837053,-1.395422723263502,0.05255557676156375
probe_auc_task21,2,1.3745954026679197,3.101073087831338,1.7264776851634185,0.31911414573589947,-3.0329027832349142,-1.3064250980714958,0.06817030459642393
early75_probe_auc_task21,0,-1.5124674940109255,8.661123000780742,10.173590494791668,-0.7735773086547852,-13.857415513992311,-3.683825019200643,-5.196292513211569
early75_probe_auc_task21,1,-1.5892328484853104,11.043943799336748,12.633176647822058,-0.8436964003245038,-15.218935939470924,-2.5857592916488654,-4.174992140134176
early75_probe_auc_task21,2,-1.722646018664042,13.234510189692179,14.95715620835622,-0.9695142428080241,-20.01776803175608,-5.060611823399861,-6.783257842063903
endpoint_ce_task21,0,1.6165413856506348,0.8480401039123535,-0.7685012817382812,0.45740950107574463,-0.5816450119018555,-1.3501462936401367,0.26639509201049805
endpoint_ce_task21,1,1.6648717522621155,0.2871558666229248,-1.3777158856391907,0.6508604288101196,-0.1462409496307373,-1.523956835269928,0.1409149169921875
