seed,alive,observed_mse,alive_only_mse,refit_alive_mse,constant_floor,linear_floor,width5_achieved_upper,alive_width_achieved_upper,excess_over_alive_upper,width31_max_abs_error
0,0,1.37741091359527,1.37741091359527,1.3740234375,1.3740234375,0.720703125,4.59655483454917e-20,1.3740234375,0.0033874760952699035,0.0
1,1,1.7954839411100412,1.7954839411100412,1.725927791714384,2.5927734375,1.978515625,0.007812511803019761,1.7179545618073808,0.07752937930266035,0.0
2,2,0.7184243145008686,0.7184243145008686,0.7175538351845014,2.3583984375,0.822265625,2.3412320824488396e-19,0.38017346492736587,0.33825084957350277,0.0
3,3,0.3093441051440516,0.3093441051440516,0.26429469537025635,1.24609375,0.35546875,4.603150774838497e-18,0.05867142686424474,0.2506726782798068,0.0
4,1,0.4075868953433312,0.4075868953433312,0.40127346697656135,0.7099609375,0.416015625,3.781946522304923e-18,0.36554382011964204,0.042043075223689164,0.0
