arm,cond,seed,slot,lr,task,iv,online_acc,memo_acc,acc,dead_frac_l1,zeroout_l1,zbar_l1,zsd_l1,zbar_min_l1,mob_l1,eff_rank_l1,dead_frac_l2,zeroout_l2,zbar_l2,zsd_l2,zbar_min_l2,mob_l2,eff_rank_l2,w_norm_l1,w_norm_l2,w_norm_l3,hit99,hit999,correct_at_hit_plus_500,hit_plus_500_observed,min_correct_after_hit,switch_step,pin_step,pf_disp_l1,pf_disp_l2,pf_disp_l3,pf_P_same,pf_mv_same,pf_mv_restored
LR,std,0,0,0.001,1,none,0.9846354167,1,1,0,0,-0.7825022936,12.21534634,-5.932033539,0.5215001106,71.60790223,0,0,-1.540647626,7.925836086,-6.534279823,0.4750001132,71.66969221,2.59269309,0.8402165771,1.094286799,1600,1700,1200,1,1199,2200,2200,0.009741002272,0.06180555318,0.09587633882,0,1,1
LR,std,0,0,0.001,2,none,0.9809166667,1,1,0,0,-1.605637193,17.88614273,-9.510209084,0.5087500811,70.78763647,0,0,-10.24102592,12.63084793,-21.82040977,0.2860000134,77.26194285,3.607337236,1.007669806,1.272132158,1800,1800,1200,1,1199,2300,2300,0.01681782725,0.1316249232,0.1967138911,0,1,1
LR,std,0,0,0.001,3,none,0.9823979167,1,1,0,0,-2.172327518,19.18730927,-8.512578011,0.4990001619,74.08007514,0,0,-14.03810787,14.08853436,-28.33070755,0.2432499975,78.3805401,4.294194698,1.113893032,1.354282498,1800,2000,1200,1,1200,2500,2500,0.01003204387,0.09311088033,0.1227034859,0,1,1
LR,std,0,0,0.001,4,none,0.9815958333,1,1,0,0,-2.70428586,21.85912514,-9.310055733,0.5065001249,75.16077859,0,0,-20.80888176,17.73127937,-34.20563889,0.1817499548,78.43078838,5.093958855,1.237230659,1.376211762,1800,2500,1200,1,1200,3000,3000,0.009504744573,0.09410458997,0.09601766155,0,1,1
LR,std,0,0,0.001,5,none,0.9821166667,1,1,0,0,-2.886218309,22.93657112,-8.721817017,0.4952501059,76.14890339,0,0,-23.49742126,17.79795837,-39.23195267,0.1674999595,76.55515108,5.523236752,1.278946877,1.39013958,1800,2100,1200,1,1200,2600,2600,0.01465237598,0.1401081941,0.2030723242,0,1,1
LR,std,0,0,0.001,6,none,0.9815333333,1,1,0,0,-3.77138114,24.06180573,-11.75570965,0.4855000973,76.67242859,0,0,-26.573946,20.48618126,-43.36514282,0.1614999473,75.50792401,6.120470047,1.331678271,1.358912468,1600,2600,1200,1,1200,3100,3100,0.008899229346,0.07822544289,0.09600078751,0,1,1
LR,std,0,0,0.001,7,none,0.9832145833,1,1,0,0,-3.651827574,24.768713,-12.66638088,0.4847501218,77.09079047,0,0,-26.83839035,20.63296318,-40.60723877,0.1532499492,75.46681095,6.339379311,1.336255431,1.39356482,1600,1800,1200,1,1200,2300,2300,0.03032156931,0.2317746244,0.4260568367,0,1,1
LR,std,0,0,0.001,8,none,0.9830895833,1,1,0,0,-4.253189087,25.52426147,-12.33616161,0.4825001061,76.91741394,0,0,-29.58783913,21.9276123,-42.8024025,0.1472499669,72.92244895,6.615796089,1.36455965,1.410933733,1500,2000,1200,1,1200,2500,2500,0.02763014769,0.206954969,0.370646148,0,1,1
LR,std,0,0,0.001,9,none,0.9830645833,1,1,0,0,-4.631438255,26.0702076,-13.55280209,0.4825001061,77.25073323,0,0,-31.40180779,21.93968773,-44.02856827,0.1404999644,72.10249061,6.88252306,1.380825162,1.467077851,1500,1900,1200,1,1196,2400,2400,0.03114650026,0.2570717163,0.4653683721,0,1,1
LR,std,0,0,0.001,10,none,0.98288125,1,1,0,0,-4.564285755,26.47455978,-15.44984055,0.4787501097,76.67176583,0,0,-35.73785782,22.10453987,-50.51800537,0.1209999621,65.60829716,7.103549004,1.378161907,1.5416435,1500,1900,1200,1,1200,2400,2400,0.03698931599,0.2721773679,0.534145343,0,1,1
