arm,endpoint,seed,delta_minus_ref
cap_par,E1,0,0.0009660416666665839
cap_par,E1,1,0.003563541666666614
cap_par,E1,2,-0.00020770833333327854
cap_par,E1,3,0.000147916666666692
cap_par,E1,4,0.003087083333333296
cap_par,E1,5,0.0016147916666666706
cap_par,E1,6,0.00119541666666656
cap_par,E1,7,0.001445208333333281
cap_par,E1,8,0.0006083333333333218
cap_par,E1,9,0.0017812499999999565
cap_par,E2,0,3.457494531289296e-05
cap_par,E2,1,0.0001268135776838486
cap_par,E2,2,-1.361081497652794e-05
cap_par,E2,3,4.536526626242043e-06
cap_par,E2,4,0.00011730320532166161
cap_par,E2,5,4.896875624937902e-05
cap_par,E2,6,4.965952477042901e-05
cap_par,E2,7,7.110336599946976e-05
cap_par,E2,8,2.3375318188856298e-05
cap_par,E2,9,5.3280905374930576e-05
cap_perp,E1,0,0.0002906249999999888
cap_perp,E1,1,0.0006433333333333291
cap_perp,E1,2,-0.00027604166666661545
cap_perp,E1,3,0.0008095833333333635
cap_perp,E1,4,0.001161458333333365
cap_perp,E1,5,0.0010202083333333833
cap_perp,E1,6,0.001979166666666643
cap_perp,E1,7,9.312500000002721e-05
cap_perp,E1,8,0.00023250000000007987
cap_perp,E1,9,0.00042083333333331474
cap_perp,E2,0,7.6289514325811325e-06
cap_perp,E2,1,2.28125151066072e-05
cap_perp,E2,2,-1.477768407076585e-05
cap_perp,E2,3,2.7208800412070744e-05
cap_perp,E2,4,4.7292513039920436e-05
cap_perp,E2,5,3.726096150413749e-05
cap_perp,E2,6,8.502682422850683e-05
cap_perp,E2,7,3.2167652133097135e-06
cap_perp,E2,8,1.988771020511315e-05
cap_perp,E2,9,1.3829047933677785e-05
cap_both,E1,0,4.8124999999954454e-05
cap_both,E1,1,0.000485624999999934
cap_both,E1,2,0.00010291666666673027
cap_both,E1,3,8.333333333387927e-07
cap_both,E1,4,0.0014302083333332938
cap_both,E1,5,4.166666667249075e-07
cap_both,E1,6,0.0008960416666665694
cap_both,E1,7,0.00222375000000008
cap_both,E1,8,0.0021379166666666283
cap_both,E1,9,2.4166666666602943e-05
cap_both,E2,0,1.469154252475846e-06
cap_both,E2,1,2.2750793520764923e-05
cap_both,E2,2,4.839554744284769e-06
cap_both,E2,3,-1.815214645262131e-12
cap_both,E2,4,7.474804921536737e-05
cap_both,E2,5,-8.151257446797899e-13
cap_both,E2,6,3.2319328037933026e-05
cap_both,E2,7,0.00011495055142984878
cap_both,E2,8,0.0001307765955473883
cap_both,E2,9,6.705514191684969e-07
