arm,quantity,window,mean,n_censored,diff_mean,diff_lo95,diff_hi95,diff_pos_seeds
cap_perp,delta_E1,2-10,-0.06911770833333333,,0.22877615740740737,0.2103629750569818,0.24718933975783294,10.0
cap_perp,delta_E1,11-50,-0.59547390625,,0.09603554687500002,0.08423976367121437,0.10783133007878566,10.0
cap_perp,delta_E2,51-100,-0.7762065313612511,,2.4938640500515863e-05,5.3193831826067835e-06,4.455789781842494e-05,9.0
cap_perp,delta_E2,2-10,-0.38732335429890025,,0.18954143298278164,0.1742267705494751,0.20485609541608818,10.0
cap_perp,delta_E2,11-50,-0.7595023302977029,,0.016367991159922924,0.0140039268835551,0.018732055436290748,10.0
cap_perp,level_g1,51-100,0.2957897979618699,,,,,
cap_perp,level_g1,2-10,0.48304321698302405,,,,,
cap_perp,level_g1,11-50,0.42263567636704724,,,,,
cap_perp,level_pplus_l2,51-100,2.5100000000000004e-05,,,,,
cap_perp,level_pplus_l2,2-10,0.2720376851851852,,,,,
cap_perp,level_pplus_l2,11-50,0.012719208333333334,,,,,
cap_perp,level_zbar_l2,51-100,-128.65928662309284,,,,,
cap_perp,level_zbar_l2,2-10,-3.2605603173123185,,,,,
cap_perp,level_zbar_l2,11-50,-54.18861631526776,,,,,
cap_perp,level_d_l2,51-100,-3.524511179029795,,,,,
cap_perp,level_d_l2,2-10,-0.8024967090302534,,,,,
cap_perp,level_d_l2,11-50,-2.8873151579196312,,,,,
cap_perp,level_sigma_l2,51-100,36.75114698337026,,,,,
cap_perp,level_sigma_l2,2-10,3.0255968892208314,,,,,
cap_perp,level_sigma_l2,11-50,17.18185320655645,,,,,
cap_perp,level_d_l1,51-100,-1.086312366468858,,,,,
cap_perp,level_d_l1,2-10,-0.598427069863172,,,,,
cap_perp,level_d_l1,11-50,-0.5962016806035343,,,,,
cap_perp,level_sigma_l1,51-100,4.261394522568873,,,,,
cap_perp,level_sigma_l1,2-10,1.6740165937995015,,,,,
cap_perp,level_sigma_l1,11-50,2.6300974613713546,,,,,
cap_perp,level_v_norm_l1,51-100,3.3254852688465943,,,,,
cap_perp,level_v_norm_l1,2-10,3.4074999305578517,,,,,
cap_perp,level_v_norm_l1,11-50,3.395074179068799,,,,,
cap_perp,level_q_l1,51-100,0.10447561538661962,,,,,
cap_perp,level_q_l1,2-10,-0.19828248022690084,,,,,
cap_perp,level_q_l1,11-50,-0.06069156228124599,,,,,
cap_perp,level_b2,51-100,0.04819421602727818,,,,,
cap_perp,level_b2,2-10,0.02754365927233125,,,,,
cap_perp,level_b2,11-50,0.02927237768481582,,,,,
cap_perp,level_row_norm_l2,51-100,6.384724715279992,,,,,
cap_perp,level_row_norm_l2,2-10,3.046863476269839,,,,,
cap_perp,level_row_norm_l2,11-50,5.925402581948192,,,,,
cap_perp,level_frac_q_pos,51-100,0.25434,,,,,
cap_perp,level_frac_always_on,51-100,0.16446,,,,,
cap_perp,level_mu2sq_share_q_pos,51-100,0.9982344771483115,,,,,
cap_perp,level_mu2sq_share_always_on,51-100,0.9941255350877075,,,,,
cap_perp,level_frac_q_pos,2-10,0.1711111111111111,,,,,
cap_perp,level_frac_always_on,2-10,0.006,,,,,
cap_perp,level_mu2sq_share_q_pos,2-10,0.5315781863611191,,,,,
cap_perp,level_mu2sq_share_always_on,2-10,0.13640150717968424,,,,,
cap_perp,level_frac_q_pos,11-50,0.252675,,,,,
cap_perp,level_frac_always_on,11-50,0.10415,,,,,
cap_perp,level_mu2sq_share_q_pos,11-50,0.987869205331584,,,,,
cap_perp,level_mu2sq_share_always_on,11-50,0.9127717147215515,,,,,
cap_perp,level_mu2_norm,51-100,196.01631127995327,,,,,
cap_perp,level_mu2_norm,2-10,8.522157565886031,,,,,
cap_perp,level_mu2_norm,11-50,83.52674513532686,,,,,
cap_perp,level_mu2_proj_sd,51-100,57.16643128923964,,,,,
cap_perp,level_mu2_proj_sd,2-10,2.573387569242256,,,,,
cap_perp,level_mu2_proj_sd,11-50,24.96589522469876,,,,,
cap_perp,level_s2_mean,51-100,553.8524039230823,,,,,
cap_perp,level_s2_mean,2-10,-9.976690533282643,,,,,
cap_perp,level_s2_mean,11-50,211.9499988871888,,,,,
cap_perp,level_s2_sd,51-100,178.46070709002993,,,,,
cap_perp,level_s2_sd,2-10,10.645784096185011,,,,,
cap_perp,level_s2_sd,11-50,71.52054104942066,,,,,
cap_perp,level_memo_acc,51-100,0.10723499992489811,,,,,
cap_perp,level_memo_acc,2-10,0.9906111121177673,,,,,
cap_perp,level_memo_acc,11-50,0.34492291690781707,,,,,
cap_perp,level_online_acc,51-100,0.1007642083333333,,,,,
cap_perp,level_online_acc,2-10,0.72748125,,,,,
cap_perp,level_online_acc,11-50,0.20112505208333334,,,,,
cap_perp,absorb_l1_frac_absorbed,1-100,0.219,,,,,
cap_perp,absorb_l1_median_absorb_task,1-100,61.85,,,,,
cap_perp,absorb_l1_frac_neg_at_end,1-100,0.12799999999999997,,,,,
cap_perp,absorb_l1_frac_ever_neg,1-100,0.63,,,,,
cap_perp,absorb_l2_frac_absorbed,1-100,1.0,,,,,
cap_perp,absorb_l2_median_absorb_task,1-100,30.9,,,,,
cap_perp,absorb_l2_frac_neg_at_end,1-100,1.0,,,,,
cap_perp,absorb_l2_frac_ever_neg,1-100,1.0,,,,,
cap_perp,t_half_median_observed,2-100,14.0,0.0,,,,
cap_perp,seeds_at_floor,51-100,10.0,,,,,
cap_both,delta_E1,51-100,-0.6957372291666666,,0.0007349999999999857,9.466731353563712e-05,0.001375332686464334,10.0
cap_both,delta_E1,2-10,-0.014830324074074053,,0.2830635416666667,0.2593712305597348,0.30675585277359857,10.0
cap_both,delta_E1,11-50,-0.6000263541666666,,0.09148309895833337,0.07767849536326542,0.10528770255340132,10.0
cap_both,delta_E2,51-100,-0.7761932175441979,,3.825245755368911e-05,2.2003305540024094e-06,7.430458455337581e-05,8.0
cap_both,delta_E2,2-10,-0.5257324512065422,,0.051132336075139825,0.033835914241676604,0.06842875790860305,10.0
cap_both,delta_E2,11-50,-0.7637164694558062,,0.012153852001819555,0.010138503084761264,0.014169200918877845,10.0
cap_both,level_g1,51-100,0.5508364266014814,,,,,
cap_both,level_g1,2-10,0.7128085414027119,,,,,
cap_both,level_g1,11-50,0.6300744628284406,,,,,
cap_both,level_pplus_l2,51-100,3.81e-05,,,,,
cap_both,level_pplus_l2,2-10,0.18203388888888888,,,,,
cap_both,level_pplus_l2,11-50,0.009863604166666668,,,,,
cap_both,level_zbar_l2,51-100,-76.46719979730992,,,,,
cap_both,level_zbar_l2,2-10,-5.659373982637607,,,,,
cap_both,level_zbar_l2,11-50,-47.24787910328972,,,,,
cap_both,level_d_l2,51-100,-5.600429149982513,,,,,
cap_both,level_d_l2,2-10,-0.9651538973080422,,,,,
cap_both,level_d_l2,11-50,-3.397304730637689,,,,,
cap_both,level_sigma_l2,51-100,14.352583023219228,,,,,
cap_both,level_sigma_l2,2-10,5.295931756103189,,,,,
cap_both,level_sigma_l2,11-50,13.903078350115427,,,,,
cap_both,level_d_l1,51-100,-0.03835969641234015,,,,,
cap_both,level_d_l1,2-10,0.010472655302664778,,,,,
cap_both,level_d_l1,11-50,0.051286185263151894,,,,,
cap_both,level_sigma_l1,51-100,2.017349345728291,,,,,
cap_both,level_sigma_l1,2-10,1.4611106762928017,,,,,
cap_both,level_sigma_l1,11-50,1.731375876491229,,,,,
cap_both,level_v_norm_l1,51-100,3.3536916365673193,,,,,
cap_both,level_v_norm_l1,2-10,3.4074893840374534,,,,,
cap_both,level_v_norm_l1,11-50,3.3941708895913165,,,,,
cap_both,level_q_l1,51-100,-0.016548820141751134,,,,,
cap_both,level_q_l1,2-10,0.0020826019169145537,,,,,
cap_both,level_q_l1,11-50,-0.01295778950121049,,,,,
cap_both,level_b2,51-100,-0.6031636390623729,,,,,
cap_both,level_b2,2-10,-0.2792148985206975,,,,,
cap_both,level_b2,11-50,-0.567762676339404,,,,,
cap_both,level_row_norm_l2,51-100,6.982203404491875,,,,,
cap_both,level_row_norm_l2,2-10,3.773094032615629,,,,,
cap_both,level_row_norm_l2,11-50,6.7392338145279655,,,,,
cap_both,level_frac_q_pos,51-100,0.4583399999999999,,,,,
cap_both,level_frac_always_on,51-100,0.09648,,,,,
