arm,endpoint,window,level,n,mean,sd,lo,hi,sign,degenerate,floor_state,label,role
cap_par,E1,51-100,0.975,10,0.0014201874999999697,0.0011891157885197266,0.00041053903348087033,0.0024298359665190688,+,False,FLOORED,COLLAPSED,report
cap_par,E2,51-100,0.975,10,5.1600531055118196e-05,4.462410302497187e-05,1.3711321590462496e-05,8.948974051977389e-05,+,False,FLOORED,COLLAPSED,report
cap_par,E1,51-100,0.95,10,0.0014201874999999697,0.0011891157885197266,0.0005695453086837555,0.002270829691316184,+,False,FLOORED,COLLAPSED,component
cap_par,E2,51-100,0.95,10,5.1600531055118196e-05,4.462410302497187e-05,1.9678370783462822e-05,8.352269132677357e-05,+,False,FLOORED,COLLAPSED,component
cap_perp,E1,51-100,0.975,10,0.0006374791666666879,0.0006422969521262194,9.212089371716452e-05,0.0011828374396162112,+,False,FLOORED,COLLAPSED,main
cap_perp,E2,51-100,0.975,10,2.4938640500515863e-05,2.7425830594716455e-05,1.6520538869123413e-06,4.822522711411939e-05,+,False,FLOORED,COLLAPSED,main
cap_perp,E1,51-100,0.95,10,0.0006374791666666879,0.0006422969521262194,0.00017800760627935478,0.001096950727054021,+,False,FLOORED,COLLAPSED,report
cap_perp,E2,51-100,0.95,10,2.4938640500515863e-05,2.7425830594716455e-05,5.3193831826067835e-06,4.455789781842494e-05,+,False,FLOORED,COLLAPSED,report
cap_both,E1,51-100,0.975,10,0.0007349999999999857,0.0008951233728506161,-2.5026861529685957e-05,0.0014950268615296573,0,False,FLOORED,COLLAPSED,report
cap_both,E2,51-100,0.975,10,3.825245755368911e-05,5.0397398415792205e-05,-4.5387125899680605e-06,8.104362769734628e-05,0,False,FLOORED,COLLAPSED,report
cap_both,E1,51-100,0.95,10,0.0007349999999999857,0.0008951233728506161,9.466731353563712e-05,0.001375332686464334,+,False,FLOORED,COLLAPSED,component
cap_both,E2,51-100,0.95,10,3.825245755368911e-05,5.0397398415792205e-05,2.2003305540024094e-06,7.430458455337581e-05,+,False,FLOORED,COLLAPSED,component
