arm,seed,t_half_arm,t_half_ref,compare
cap_par,0,9,7,later
cap_par,1,11,7,later
cap_par,2,9,7,later
cap_par,3,9,7,later
cap_par,4,12,7,later
cap_par,5,9,5,later
cap_par,6,12,8,later
cap_par,7,11,7,later
cap_par,8,11,7,later
cap_par,9,10,8,later
cap_perp,0,13,7,later
cap_perp,1,15,7,later
cap_perp,2,14,7,later
cap_perp,3,13,7,later
cap_perp,4,14,7,later
cap_perp,5,12,5,later
cap_perp,6,16,8,later
cap_perp,7,16,7,later
cap_perp,8,12,7,later
cap_perp,9,14,8,later
cap_both,0,14,7,later
cap_both,1,15,7,later
cap_both,2,14,7,later
cap_both,3,14,7,later
cap_both,4,16,7,later
cap_both,5,13,5,later
cap_both,6,17,8,later
cap_both,7,16,7,later
cap_both,8,16,7,later
cap_both,9,14,8,later
