arm,mode,seed,cond,slot,lr,task,iv,steps,complete_task,online_acc,memo_acc,acc,dead_frac_l1,zeroout_l1,zbar_l1,zsd_l1,zbar_min_l1,mob_l1,eff_rank_l1,dead_frac_l2,zeroout_l2,zbar_l2,zsd_l2,zbar_min_l2,mob_l2,eff_rank_l2,w_norm_l1,w_norm_l2,w_norm_l3
GELU,base,1001,raw,0,0.001,1,base,30000,True,0.1451,0.1150000021,0.1150000021,0.969999969,0.969999969,-37.83718109,9.787323952,-82.0927124,-1.976927284e-19,1.000001326,0,0,0.002221380826,0.05604751408,-0.1271289885,0.5006681681,1.552745676,1.807149529,0.7652699947,1.520376921
GELU,base,1002,raw,1,0.001,1,base,30000,True,0.1245270833,0.1225000024,0.1225000024,0,0,-46.72459793,13.04931355,-72.90237427,-2.485609366e-05,2.669452776,0,0,-0.0112071922,0.371933192,-0.2025066614,0.4951120019,3.489608143,2.106795549,0.9511006474,1.080224156
GELU,base,1003,raw,2,0.001,1,base,30000,True,0.1081416667,0.1066666692,0.1066666692,0.9899999499,0.9799999595,-36.34925842,9.701737404,-66.96509552,-3.191596428e-15,1.531467823,0,0,0.0002523493313,1.244238823e-09,-0.0030398909,0.5002014041,1.000013006,1.722695231,0.7815829515,0.3635979891
GELU,base,1004,raw,3,0.001,1,base,30000,True,0.1067541667,0.1274999976,0.1274999976,0.3799999952,0.3799999952,-47.17476654,13.26917267,-79.95529175,-1.927159987e-09,2.663869645,0,0,-0.02020472288,0.2747374773,-0.05672580376,0.4933568537,3.29827384,2.090445995,0.917791605,1.457914233
GELU,base,1005,raw,4,0.001,1,base,30000,True,0.1361333333,0.1416666657,0.1416666657,0.8799999952,0.8599999547,-40.26137161,10.86516285,-87.78079987,-7.772818169e-15,1.93405756,0,0,-0.005412805825,0.2108355314,-0.5912356973,0.497533381,3.296889363,1.825519919,1.004464865,2.028286457
GELU,base,1001,raw,0,0.001,2,base,30000,True,0.1109958333,0.1116666719,0.1116666719,0.9799999595,0.9799999595,-39.36174393,10.50047302,-114.0430527,-1.429373139e-19,1.945973727,0,0,0.002944087144,0.2129365653,-0.02215102315,0.5003036261,2.220545717,1.832286,0.8299227357,0.9102378488
GELU,base,1002,raw,1,0.001,2,base,30000,True,0.1251666667,0.1258333325,0.1258333325,0.4599999785,0.349999994,-79.33295441,21.20981598,-104.4196396,-7.262598301e-10,2.681621069,0,0,-0.0004296359548,0.2288149446,-0.09223569185,0.5001637936,2.766733921,3.206420898,1.103266001,0.883649528
GELU,base,1003,raw,2,0.001,2,base,30000,True,0.1094,0.1116666719,0.1116666719,1,1,-40.03300858,10.45720196,-73.16887665,-9.596355882e-17,0,0,0,0.0001457622129,0,-0.003519581631,0.5001163483,1.000002205,1.847679377,0.7903462648,0.2737058401
GELU,base,1004,raw,3,0.001,2,base,30000,True,0.1060520833,0.1091666669,0.1091666669,0.4799999893,0.4299999774,-48.22523499,13.34432888,-100.646843,-7.806936209e-10,2.948465669,0,0,0.001487745671,0.23912251,-0.0203267131,0.5001384616,2.98754166,2.117649555,0.9563171268,0.7920672297
GELU,base,1005,raw,4,0.001,2,base,30000,True,0.1183833333,0.1200000048,0.1200000048,0.9799999595,0.969999969,-42.59529495,11.58616257,-130.9510956,-2.542525245e-15,1.663603013,0,0,-0.00698882062,0.1391102821,-0.565289259,0.4981931746,2.86654208,1.860461235,0.9105314016,2.86822319
