task,f,shock_ce,shock_acc,N,N2,D2,cos,arm,k,act,param,seed,gw2,g2,e2,xi,R,graw,phi2_batch,alive,addgap,S2,rho,sigma,zbar,posfrac,acc
1,1.0,2.291033983230591,0.13818359375,0.9941284324112638,0.9938985443116977,0.6512602513063527,0.011737656806171169,K025_SN06,0.25,snake,0.6,0,,,,,,,,,,,,,,,
2,0.7525510204081632,0.4528461694717407,0.87255859375,1.2480545245470045,1.5684475957920951,0.36122935126273936,0.1769412273186542,K025_SN06,0.25,snake,0.6,0,,,,,,,,,,,,,,,
3,0.7538265306122449,0.4764086902141571,0.8525390625,1.4465082258144022,2.1077496348803497,0.3152911724637978,0.1577994195628291,K025_SN06,0.25,snake,0.6,0,,,,,,,,,,,,,,,
4,0.7512755102040817,0.3540537655353546,0.889892578125,1.5914846641167428,2.5501118799085147,0.3112672271864767,0.0805222518816792,K025_SN06,0.25,snake,0.6,0,,,,,,,,,,,,,,,
5,0.75,0.39749693870544434,0.866455078125,1.7161072897392426,2.9655891560248038,0.3017911895659839,0.06319578455183607,K025_SN06,0.25,snake,0.6,0,,,,,,,,,,,,,,,
6,0.75,0.377140074968338,0.880615234375,1.8194388103503456,3.3317040582825155,0.2950360992142138,0.038162608082996756,K025_SN06,0.25,snake,0.6,0,,,,,,,,,,,,,,,
7,0.7525510204081632,0.5599616169929504,0.815673828125,1.9153002796189822,3.6910476257926383,0.27648522373916157,0.042564958457834416,K025_SN06,0.25,snake,0.6,0,,,,,,,,,,,,,,,
8,0.75,0.7665835022926331,0.76171875,2.0014121690705875,4.030182978737996,0.2867198780666942,0.02394600894328322,K025_SN06,0.25,snake,0.6,0,,,,,,,,,,,,,,,
9,0.75,0.41412895917892456,0.860107421875,2.0735919402816103,4.32414732226044,0.2623179316412705,0.015078333921051328,K025_SN06,0.25,snake,0.6,0,,,,,,,,,,,,,,,
10,0.75,0.468737930059433,0.83984375,2.1510480943714207,4.652832610011656,0.28225962380508784,0.01909448294686209,K025_SN06,0.25,snake,0.6,0,,,,,,,,,,,,,,,
11,0.7551020408163265,0.3538438677787781,0.885009765625,2.2179719453702713,4.945196406812693,0.3011913957654356,-0.004604648410949029,K025_SN06,0.25,snake,0.6,0,,,,,,,,,,,,,,,
12,0.75,0.48461028933525085,0.8408203125,2.2746448451478067,5.199992626946386,0.2736418529254172,-0.009585488735469973,K025_SN06,0.25,snake,0.6,0,,,,,,,,,,,,,,,
13,0.7512755102040817,0.6471484899520874,0.776123046875,2.329219825010237,5.452432099268691,0.2584882232136162,-0.004305111591736684,K025_SN06,0.25,snake,0.6,0,,,,,,,,,,,,,,,
14,0.75,0.5275745987892151,0.82421875,2.383330895033732,5.7070860481537355,0.2913842761593591,-0.015923636092908432,K025_SN06,0.25,snake,0.6,0,,,,,,,,,,,,,,,
15,0.75,0.45583704113960266,0.8466796875,2.430760591884245,5.934464326150925,0.2748240577161473,-0.019907657319529645,K025_SN06,0.25,snake,0.6,0,,,,,,,,,,,,,,,
16,0.7512755102040817,0.7197651267051697,0.768798828125,2.4816720258941514,6.18484304331199,0.2638296185627847,-0.006805340874643159,K025_SN06,0.25,snake,0.6,0,,,,,,,,,,,,,,,
