n_records,raw_u,u,log10_u,onset,sub_frac,depth_q50,depth_q90,frozen_frac,absv_sub_med,valley_frac,arm,seed,window
10,0.005604607493161496,0.005604607493161496,-2.2514547969000445,0,0.315,8.827492713928223,11.29044532775879,0.0,0.26578813791275024,nan,E_1216,0,5M
10,0.004926303333262939,0.004926303333262939,-2.307478850331585,0,0.378,8.874695777893066,12.456249332427978,0.0,0.1673492044210434,nan,E_1216,0,10M
10,6.044645056676894e-06,6.044645056676894e-06,-5.218629195953315,0,0.323,8.729970932006836,11.336985015869141,0.0,0.2950381934642792,nan,E_1216,0,15M
10,0.0018894830424636174,0.0018894830424636174,-2.7236570013905363,0,0.429,9.022278785705566,12.615248489379884,0.005,0.3080998957157135,nan,E_1216,1,5M
10,0.002735834794680917,0.002735834794680917,-2.5629101313395988,0,0.395,8.72584342956543,11.34918899536133,0.001,0.30591222643852234,nan,E_1216,1,10M
10,0.0004203314245791329,0.0004203314245791329,-3.376408140303517,0,0.426,9.387191772460938,11.876747131347656,0.0,0.25556086003780365,nan,E_1216,1,15M
10,0.00026626045950491734,0.00026626045950491734,-3.574693322835661,0,0.419,8.687708854675293,10.771692657470703,0.0,0.3847268223762512,nan,E_1216,2,5M
10,0.00041703824774093286,0.00041703824774093286,-3.379824112841354,0,0.381,8.59249210357666,10.853839874267578,0.0,0.35268232226371765,nan,E_1216,2,10M
10,3.431447178999568e-06,3.431447178999568e-06,-5.464522681909715,0,0.284,7.771173000335693,9.89141025543213,0.0,0.18008248507976532,nan,E_1216,2,15M
10,0.0075121604494495925,0.0075121604494495925,-2.124235144708077,0,0.358,8.846585750579834,11.263795375823975,0.0,0.2655882090330124,nan,E_1216,3,5M
10,0.004535463628183975,0.004535463628183975,-2.3433783114990887,0,0.453,9.092649459838867,11.711689376831055,0.0,0.3264734447002411,nan,E_1216,3,10M
10,3.751487536667993e-05,3.751487536667993e-05,-4.425796492040767,0,0.426,8.282744407653809,11.24603271484375,0.0,0.2775292247533798,nan,E_1216,3,15M
10,0.0040852454070371335,0.0040852454070371335,-2.3887818496038293,0,0.36,9.259541988372803,11.49605598449707,0.0,0.3263016790151596,nan,E_1216,4,5M
10,6.137407103008482e-05,6.137407103008482e-05,-4.2120150683852495,0,0.334,8.829801082611084,11.431456565856934,0.0,0.2438293993473053,nan,E_1216,4,10M
10,4.681996257694437e-07,4.681996257694437e-07,-6.329568937769532,0,0.301,8.995964050292969,11.362674713134766,0.0,0.2361309677362442,nan,E_1216,4,15M
10,0.00251376954539925,0.00251376954539925,-2.5996745395971748,0,0.43,8.360374927520752,10.71696481704712,0.0,0.3005654662847519,nan,E_1216,5,5M
10,0.00011560002098266514,0.00011560002098266514,-3.9370420870862954,0,0.36,8.901496887207031,11.555506896972656,0.0,0.3328939974308014,nan,E_1216,5,10M
10,9.270466785444193e-05,9.270466785444193e-05,-4.0328983977606985,0,0.355,8.184672355651855,10.843228912353515,0.001,0.2289617657661438,nan,E_1216,5,15M
