arm,seed,lr,task,iv,online_acc,memo_acc,acc,dead_frac_l1,zeroout_l1,zbar_l1,zsd_l1,zbar_min_l1,mob_l1,eff_rank_l1,dead_frac_l2,zeroout_l2,zbar_l2,zsd_l2,zbar_min_l2,mob_l2,eff_rank_l2,w_norm_l1,w_norm_l2,w_norm_l3,alpha_med_l1,alpha_min_l1,alpha_max_l1,alpha_clip_frac_l1,alpha_W_med_l1,alpha_med_l2,alpha_min_l2,alpha_max_l2,alpha_clip_frac_l2,alpha_W_med_l2
SWA1u,9,0.001,1,none,0.9685979167,1,1,0,0,-1.260726571,2.018010855,-5.404247761,0.3032901883,79.91831059,0,0,0.3615151346,1.564370513,-0.2854485214,0.583950758,58.30219663,4.524651051,2.106857061,2.871742964,0.5080937743,0.2450032979,0.9578179717,0,1,0.6562157273,0.4165222943,0.7856476307,0,1
SWA1u,9,0.001,2,none,0.9537291667,1,1,0,0,-3.174242973,4.267390728,-9.66956234,0.2509224713,65.02075165,0,0,-8.899367332,7.670052528,-20.62017059,0.13598454,67.4294549,7.487232208,3.790135145,5.070092201,0.2413613349,0.1397455782,0.3924193382,0,1,0.1335643232,0.08237102628,0.1943895221,0,1
SWA1u,9,0.001,3,none,0.95726875,1,1,0,0,-4.954208374,6.030267715,-15.18129063,0.2408012599,58.52022042,0,0,-25.31697845,11.86783218,-57.19197083,-0.04095065594,61.85420346,10.70656395,4.9152565,5.968999386,0.171252951,0.1111805514,0.2809634507,0,1,0.08623537421,0.05231213942,0.1435029954,0,1
SWA1u,9,0.001,4,none,0.9477291667,1,1,0,0,-6.578590393,7.979741096,-21.5726757,0.2302469909,58.5788965,0,0,-43.5100174,14.814394,-90.4121933,-0.0615907982,47.83496263,14.27039719,5.746289253,6.526535511,0.1288656294,0.08075775951,0.2013877183,0,1,0.06973160058,0.04347427562,0.104819648,0,1
SWA1u,9,0.001,5,none,0.91771875,1,1,0,0,-9.361135483,9.426977158,-48.30748749,0.1853590459,72.08838636,0,0,-39.61668396,12.40964699,-70.5735321,-0.0625551492,48.34485184,17.91990089,6.311138153,6.776424408,0.109104991,0.04882092029,0.2806381881,0,1,0.08279715478,0.05209495127,0.1092768684,0,1
SWA1u,9,0.001,6,none,0.8882604167,0.9975000024,0.9975000024,0,0,-16.70567513,12.00543976,-47.32776642,0.1206040606,72.5996409,0,0,-40.93450165,11.18033695,-71.6598053,-0.05855509266,51.2941082,21.96905136,6.773733616,7.219572544,0.08622581512,0.05413466319,0.2944488227,0,1,0.09206226468,0.0654052943,0.1144854575,0,1
SWA1u,9,0.001,7,none,0.8572833333,1,1,0,0,-24.47322655,15.16714382,-74.80378723,0.05401058123,65.2134589,0,0,-37.95842361,11.33688354,-120.0450287,-0.06149281934,48.67707155,26.81252861,7.437595367,6.802817822,0.06792184711,0.04105552286,0.3144532144,0,1,0.09144808352,0.06031942368,0.1181874275,0,1
SWA1u,9,0.001,8,none,0.79640625,0.9966666698,0.9966666698,0,0,-31.34054947,17.07349205,-82.46473694,0.02694127336,18.53104809,0,0,-529.0064697,113.5857925,-1064.978882,-0.0401933156,5.633516101,31.49354172,8.544847488,6.143554211,0.05956574902,0.02867397852,0.1026483029,0,1,0.008667477407,0.004062102642,0.04187675565,0,1
SWA1u,9,0.001,9,none,0.7328604167,0.9866666794,0.9866666794,0,0,-35.91326141,20.30730438,-81.65827179,0.01393426117,5.608481482,0,0,-1580.747437,415.058197,-3266.42041,-0.05967871472,1.987251564,35.21280289,9.276603699,5.929950714,0.0508384183,0.01558961719,0.09111841023,0,1,0.002453901106,0.001147367992,0.008627605624,0,1
SWA1u,9,0.001,10,none,0.6579979167,0.9250000119,0.9250000119,0,0,-36.34165955,21.62284279,-87.2144165,0.01454145554,4.298457126,0,0,-2430.86499,699.1443481,-5212.937988,-0.06384891272,1.694172636,37.83399582,9.765260696,5.889396191,0.04750515521,0.0100711612,0.07945870608,0,1,0.001477763173,0.0006750667817,0.007838580757,0,1
