task,step,phase,zbar_cur,sigma_cur,between_cur,zbar_inv,sigma_inv,between_inv,rowmean,cnorm,bias,star,var_off,var_wid,pos_frac,arm,iv,seed,intervention,acc
20,0,pre,-0.13923309799965006,0.324269665016407,0.2215857141361728,-0.16792148291878317,0.3232480310824523,0.23827966873178746,-0.0018328485588823757,1.0320847257760888,0.03603816182745504,-0.15171483399963337,0.025524864429040773,0.08000642351300588,0.3134375,LR,l2,1,k0.7,
20,0,post,-0.14409883350187225,0.25159755573439896,0.2174898702254507,-0.16418070295066584,0.2529794719078565,0.2355165771901963,-0.001832848558466291,0.7224593080718134,0.03603816182745504,-0.15171483395701055,0.025524864483654767,0.03920314755164872,0.29521484375,LR,l2,1,k0.7,
21,20,train,-0.24202142901450516,0.44495139235811837,0.3185482835288465,-0.1853777267193281,0.2576948781897314,0.216856297712739,-0.0020243457042827765,0.7497568315924138,0.0359939762801514,-0.17137556809756288,0.02509477538467568,0.04251755789299769,0.2603515625,LR,l2,1,k0.7,
21,100,train,-0.24467922484554921,0.7043295437329995,0.7151029895634425,-0.18718139302942863,0.290035974959139,0.3331813325555009,-0.0020695403744424258,0.8230328853936331,0.03745430510709411,-0.17454488238912497,0.03472927131786668,0.0503771989664639,0.31189453125,LR,l2,1,k0.7,
21,300,train,-0.20854267404647872,0.7922454111191969,0.5094484236232469,-0.1807978223215487,0.2848372260279604,0.2742802618525592,-0.0020258808928870263,0.8306435969618627,0.03826969403075054,-0.16925711170836244,0.029550376357574203,0.052324605736575006,0.315546875,LR,l2,1,k0.7,
21,625,train,-0.18898998764729869,0.8532997243970396,0.45035102003612726,-0.15033879310909706,0.27633415740856665,0.24044501735800086,-0.0017296128653567658,0.8104058516993257,0.03764106119633652,-0.13953669608101615,0.025871389131205486,0.05121030586816358,0.3145703125,LR,l2,1,k0.7,0.9275000095367432
22,20,train,-0.19759379853468936,0.4582661445594638,0.30912442131202256,-0.15325546507237434,0.2819560862290389,0.24142313865359236,-0.0017698764752257946,0.8367674223957036,0.03779851968574803,-0.1435037536838305,0.025561708198211113,0.05431321046892165,0.285390625,LR,l2,1,k0.7,
22,100,train,-0.15275106898097573,0.7034958700666336,0.5599567841752934,-0.13745640123865807,0.30322241290353324,0.31028737149974406,-0.0016112395424280445,0.9024064317867456,0.03946600281167775,-0.12558585028326558,0.030355191478397305,0.060574605458286496,0.34283203125,LR,l2,1,k0.7,
22,300,train,-0.215208427133778,0.8039549762679795,0.5396736208500611,-0.1714364565695102,0.30564557588811075,0.29171648360813507,-0.0019364501359247367,0.9125693737618557,0.040067178626777604,-0.15829853605689495,0.030113893361422082,0.062131386840729774,0.3242578125,LR,l2,1,k0.7,
22,625,train,-0.1773611895340048,0.8810054424342111,0.4357290238153852,-0.1395796754494927,0.2970778981748363,0.2684835209079064,-0.0016330254335394012,0.8891901045115391,0.04010057717910968,-0.1271829749305161,0.026179481840066483,0.0604070513068909,0.3328515625,LR,l2,1,k0.7,0.9235000014305115
23,20,train,-0.35731901746369504,0.4469422963354584,0.29635165806048974,-0.21917715125582227,0.29859203437462134,0.21437454067725453,-0.002396208836960758,0.9086529371730253,0.03833361636148766,-0.2071287736360036,0.025112677373543155,0.06312321463651338,0.22193359375,LR,l2,1,k0.7,
23,100,train,-0.16818171321316328,0.722554541314498,0.5597349439663947,-0.14000286011429514,0.31587057139409996,0.27902701894915455,-0.0017118196423136023,0.9747192213441045,0.04105131649877876,-0.1343037419442466,0.027594860531634038,0.07106478154780713,0.3428515625,LR,l2,1,k0.7,
23,300,train,-0.24389589626839134,0.8225100653072146,0.5162388276329655,-0.1540722839166761,0.3160279623826797,0.2688213011153183,-0.0017929124464728138,0.9754393787374727,0.041119421743787826,-0.1425426061142095,0.027638087949935778,0.07081441016772012,0.3071875,LR,l2,1,k0.7,
23,625,train,-0.1631223077634352,0.8774221134288666,0.4016329484616351,-0.10206284737774952,0.29877382141564773,0.22216123513937375,-0.0013009931404449047,0.9348565818617561,0.04121215872466564,-0.09205873181632354,0.021513785444976116,0.06634278560777183,0.33232421875,LR,l2,1,k0.7,0.9361000061035156
24,20,train,-0.36959141971786175,0.48038484963692374,0.3071906536194048,-0.17437056428128261,0.30493250721985216,0.20627709674205721,-0.001947460584343036,0.9626839609447273,0.03985597781604156,-0.15963762311110546,0.02224313627743075,0.06953491969081642,0.2423046875,LR,l2,1,k0.7,
24,100,train,-0.24266914987508728,0.7501174929822312,0.6153963980850815,-0.12895605863975804,0.32703340689561394,0.2712119553653342,-0.0014850951268600115,1.0313883613229962,0.0416172044648556,-0.11051269072201193,0.02617908483232294,0.07843764701624903,0.322890625,LR,l2,1,k0.7,
24,300,train,-0.2168398378624201,0.8491479812854041,0.5235387686795349,-0.1168221918441301,0.32200960934278494,0.2481716367607971,-0.001374429834569853,1.024489097829879,0.04184300526045263,-0.09895057953630426,0.024132939518440803,0.07784995462552936,0.33560546875,LR,l2,1,k0.7,
24,625,train,-0.1948964556391502,0.9021693456460858,0.47438398208468013,-0.09000770929428185,0.3111929481607242,0.2439326956848039,-0.0010996315978813057,0.9726252901914237,0.04211212292080745,-0.07053173180892366,0.02327336919546972,0.07131973384508644,0.331796875,LR,l2,1,k0.7,0.9344000220298767
25,20,train,-0.4213608619204715,0.47741676166835456,0.4054002877712945,-0.22633641118610645,0.32007881881306505,0.23460636763286238,-0.0023715263062371542,0.9949003610332078,0.03987752895685844,-0.20305643660234943,0.026128255397834765,0.07402375259478206,0.22513671875,LR,l2,1,k0.7,
25,100,train,-0.18596069892497907,0.7331356087960144,0.6498401421725946,-0.13035447921162183,0.33409013087872635,0.3050001456796275,-0.0014259064067108657,1.045920381735294,0.0431560485297814,-0.10291068367871681,0.02898962480644447,0.08085785776563686,0.34568359375,LR,l2,1,k0.7,
25,300,train,-0.25876528422547973,0.8450630357504701,0.5915134108028439,-0.17039009459463744,0.33712794831622406,0.3187028268808987,-0.0017934915986260842,1.0352971632917713,0.04350796275772154,-0.1402133921795858,0.032115401103375,0.0797044529192217,0.31349609375,LR,l2,1,k0.7,
25,625,train,-0.11035652850173928,0.8839960011820696,0.45896299445776884,-0.08234726297447562,0.31122657728657543,0.2632606250195306,-0.000984402492463339,0.9737412295597294,0.044154091882519425,-0.0566859454265892,0.02497458917224866,0.0710548188847698,0.3588671875,LR,l2,1,k0.7,0.9402999877929688
26,20,train,-0.2002432315823976,0.4908114063998124,0.396609509529899,-0.12029542829721608,0.31665756508831316,0.25396378156224614,-0.001335526328873321,0.9978157841180629,0.042958367134269794,-0.09385002766558193,0.02534123875401729,0.07434041395308251,0.31224609375,LR,l2,1,k0.7,
26,100,train,-0.14811134449914504,0.7335623388050789,0.6516827582024838,-0.09133892084961603,0.33672880252202037,0.32714206059284956,-0.0011032354209799227,1.0572454031806615,0.043918612177367325,-0.069094410304886,0.0309675453630261,0.08168878991370587,0.37091796875,LR,l2,1,k0.7,
