arm,iv,seed,k_inv,ref_sigma_inv_20,ref_sigma_inv_40,ref_zbar_inv_20,ref_zbar_inv_40,k0.7_dsig20,k0.7_dsig40,k0.7_P,k0.7_C,k0.7_C_over_k,k0.7_dz40,k0.7_first_restored,k0.7_acc_gap40,k1.4_dsig20,k1.4_dsig40,k1.4_P,k1.4_C,k1.4_C_over_k,k1.4_dz40,k1.4_first_restored,k1.4_acc_gap40,bplus_db,bplus_Q,bplus_S,bplus_S_times_k,bplus_dsig40,bplus_acc_gap40,bminus_db,bminus_Q,bminus_S,bminus_S_times_k,bminus_dsig40,bminus_acc_gap40
LR,none,0,-2.1322039556990076,1.2489074599196366,1.6602155761952166,-1.7742515933768737,-2.642326783150655,-0.2031811688952141,-0.1892571742660223,0.9314700535246316,-1.3790497124308356,0.6467719510344577,0.27330466317779134,,0.0048999786376955345,0.31251885552221825,0.3423641239790072,1.0954990968686276,-0.7049513919375667,0.3306209943253108,-0.1824485630751569,,-0.001100003719329612,0.3746722354786469,0.331468877564794,0.18066442792527665,-0.3852134078763731,0.04777025706029181,0.00279998779296875,-0.37467223353218304,0.25121430884867596,0.21265128192720556,-0.4534159045096526,-0.01158321234622095,0.0026999711990357556
LR,none,1,-1.7852847487474115,1.1544963361683804,1.56525644456294,-1.8746849766250413,-2.5981844977568387,-0.22408997198488323,-0.1971532490451069,0.8797950541865682,-1.2913449224478462,0.7233271461899159,0.28525394487795763,,0.001399993896484375,0.33299214044240033,0.33656009851390434,1.0107148416979566,-1.0795878266171637,0.6047146413896284,-0.46884616910472876,,-0.011700034141540638,0.3463489112758542,0.05525626830339639,0.17627336638753668,-0.3146981526220338,0.05229418405888819,0.004700005054473766,-0.346348911473761,0.348804898565676,0.12663445429575249,-0.22607855992015805,-0.019714658941757834,-0.00020003318786643298
LR,none,2,-1.8167706970627058,1.1861720619958496,1.6301234813421857,-1.833705394386652,-2.686207708968248,-0.21341827323196472,-0.21435660772773746,1.0043966923804732,-1.232928797577766,0.6786375405388937,0.3085877300786828,,0.0042999982833862305,0.32308815178611194,0.2917333108020954,0.9029526746472158,-0.9775553545957096,0.5380730524640168,-0.18494218050565925,,-0.009000003337860107,0.35585162056959296,-0.03425092938160195,0.10430185147054044,-0.18949254740106455,0.060684595415873455,0.0,-0.3558516223879993,0.09832574413238883,0.11993944970280179,-0.21790247764187656,-0.0445441906710653,-0.004800021648406982
LR,l2,0,-3.7563665069031784,0.3401335779704298,0.3337197618600584,-0.0774109223043678,-0.0251170329612258,-0.06341446002836232,0.0035042954708328633,-0.055260195691417324,-0.6662195570132708,0.1773574425682214,-0.0176202507190254,25.0,0.001900017261505016,0.09437002740289929,0.0016038226225826846,0.01699504245914218,-0.4223672759745076,0.1124403796057471,-0.0279190412626101,24.0,0.0034000277519226074,0.1020400751614942,-0.0334820600159118,-0.08042544525331215,0.30210744885231694,-0.00076696624553374,-0.000299990177154541,-0.10204007444437599,0.08757899442338307,0.01815903926200874,-0.06821200688134944,0.0017303580445725553,-0.000599980354308971
LR,l2,1,-1.539952297289055,0.3232480310824523,0.3274185868191342,-0.1679214829187831,-0.0430576255876349,-0.07026855917459579,-5.6223129528631954e-05,0.000800117864789781,-0.40938396240247593,0.26584197648405017,-0.02772170708759758,24.0,-0.002200007438659668,0.10205028410455547,0.0029407556689559633,0.028816731817649977,-0.4230751591038981,0.27473263934777925,-0.036600570697094395,24.0,0.0020999908447265625,0.09697440932111928,-0.7431811809624898,0.027310341175171133,-0.042056622632452655,-0.0030766629398895073,0.0004999637603759766,-0.09697441009266192,0.0859253147262128,-0.023961760818617506,0.03689996861972089,-0.000529631930536234,-0.0023000240325928845
LR,l2,2,-1.817553719757564,0.3352820677230285,0.3294432138231919,-0.0903159547785261,-0.0658741979767457,-0.06778557793489648,2.5079150743567702e-05,-0.00036997767825560995,-0.9578781143351165,0.527015022402135,-0.0202157687630138,23.0,0.0003999471664429821,0.0996323346689672,-0.0013466493502187205,-0.013516187838948288,-0.8478344717214421,0.46647010347211704,-0.0008751548711556922,24.0,-0.0002000331878659889,0.1005846188720896,-0.0826094698226208,-0.011870478331118345,0.021575232046025707,0.004548361780815191,-0.0039000511169431373,-0.1005846184361144,0.21468471242281315,0.03338358076653051,-0.060676451401034594,0.0027121863186523876,0.0010999441146852806
SNA,none,0,-0.5312748538844607,0.8845170705732354,1.1264169059760205,-0.7065748288367417,-0.9599340612679466,-0.21232524778945372,-0.12530300327942867,0.5901465067577918,-0.812698669890895,1.5297141657444926,0.1925674947052851,,-0.0009999871253968395,0.3007354262433989,0.2575051645726092,0.8562515157898243,-0.5133739123661994,0.9663056864307109,-0.11875837215266472,,-0.006199955940246804,0.265355109735392,0.6400779788201991,0.03980186145390132,-0.02114572812825097,0.0010070429123738567,0.0002000331878659889,-0.26535510985646404,-0.032746544373281186,-0.03986133992700794,0.02117732754535996,0.04332671635503038,-0.000899970531463623
SNA,none,1,-0.6521273201183063,0.8702371887374876,1.157895347976285,-0.8282569721253791,-1.0189344354610146,-0.21300585415695994,-0.1493830880989213,0.7013097770958153,-0.3132349270527105,0.4803278706309754,0.15708699166357742,,-0.003300011157989613,0.3003940934623395,0.21725673613821916,0.7232390412012436,-0.8031975089318726,1.2316575063687865,-0.12179586577343104,,0.000599980354309193,0.2610711466785869,-0.06175220477032172,-0.013244049185822651,0.008636806303065563,-0.0109889510348955,-0.00300002098083485,-0.26107114558253663,-0.07953912724589815,-0.015857333095120534,0.010341000135544282,0.03775016650223506,-0.00029999017715443
SNA,none,2,-0.9650472378475128,0.882377075123359,1.21013225835218,-0.7805752403772537,-1.122298381499935,-0.20889509268577244,-0.12890123465599324,0.6170620525293581,-0.8774489682462334,0.9092290344287574,0.09211710891449043,,0.003800034523010476,0.2969602649919757,0.2300771472445744,0.774774184858676,-0.5901829990787911,0.6115586635895288,-0.17878406849032147,,0.0034000277519228295,0.26471310831140726,0.1493134149767577,-0.15040373366177015,0.14514670773224425,-0.024758371800106982,0.006300032138824463,-0.2647131090657784,0.6045973714475198,-0.0849728767841855,0.08200284003253526,0.0328547106998589,0.0054000020027160645
SNA,l2,0,-2.0235134590337096,0.3710396571998086,0.36899728182107,-0.158101456451187,-0.1656652124803403,-0.057780680435494,0.010666308086855314,-0.18459990443973942,-0.657274737930118,0.32481856495483213,-0.028445414653609308,25.0,-0.0009999871253968395,0.0886799681406027,0.001890275980112488,0.021315704321357473,-0.9826006518237083,0.48559135964083505,-0.016229680998611218,24.0,-0.0034999847412108265,0.111311897886917,-0.003001717608482707,-0.04956562351139278,0.10029670628070096,0.006549746996232786,-0.007600009441375621,-0.1113118976820261,0.06539923549632443,0.0008553509558372002,-0.0017308141713339228,0.008290939671097286,-0.0009999871253968395
