task,step,phase,zbar_cur,sigma_cur,between_cur,zbar_inv,sigma_inv,between_inv,rowmean,cnorm,bias,star,var_off,var_wid,pos_frac,alpha_med,arm,iv,seed,intervention,acc
20,0,pre,-0.18084056460781298,0.34902998114162836,0.5271969154198404,-0.1846488529497562,0.3564490045368085,0.5434416438529366,-0.002033912785181013,1.0582671207381373,0.029071997861610726,-0.1792775773491252,0.0488824241969233,0.07893093754098494,0.38041015625,0.7648827433586121,SNA,l2,1,k0.7,
20,0,post,-0.1816158813492076,0.2880063116438906,0.5262531063852788,-0.18428168272751594,0.29500568689744816,0.5438094999452483,-0.002033912784841197,0.7407869845569759,0.029071997861610726,-0.1792775773143152,0.04888242416256385,0.038676159384231204,0.3643359375,0.7648827433586121,SNA,l2,1,k0.7,
21,20,train,-0.31177427980240063,0.47216557134728404,0.638256300813475,-0.22149506299702842,0.30481514794314357,0.5521697786803685,-0.002379371506431117,0.7739242641144091,0.029210471919504925,-0.2145271387811094,0.05091955218071551,0.04232274888401368,0.31140625,0.8366486430168152,SNA,l2,1,k0.7,
21,100,train,-0.2992204523400547,0.7086590819965566,0.8273865855067553,-0.20151415449411217,0.32569366813552575,0.6249195667089006,-0.002191568470631971,0.8452502386720414,0.029628008013824002,-0.19487147064045668,0.05626821675774389,0.05011961739993163,0.3490234375,0.904120683670044,SNA,l2,1,k0.7,
21,300,train,-0.2552914045527945,0.7904732471886033,0.7610144907165726,-0.18969219146951352,0.3199220480073605,0.563223135245364,-0.002092449067390878,0.8695808926615899,0.030584535881644115,-0.18376136799259235,0.05003397276791641,0.052482862862708896,0.3779296875,0.8590927124023438,SNA,l2,1,k0.7,
21,625,train,-0.23793397811500816,0.861295183165338,0.772489217283939,-0.15701822548800737,0.3127395231260168,0.5238840897999982,-0.0017607846655699744,0.8690460038432545,0.030257879637065343,-0.15011304864560063,0.04531348255957391,0.05220934477059387,0.3903125,0.7681043148040771,SNA,l2,1,k0.7,0.9211999773979187
22,20,train,-0.20208613186853763,0.49317405104358564,0.5752572726976158,-0.15377706124687743,0.31660393551263616,0.512247019330518,-0.0017531873963071896,0.8986414950634665,0.03068130597457639,-0.14891137466876322,0.044014656312529786,0.055534530442260276,0.36978515625,0.8368476629257202,SNA,l2,1,k0.7,
22,100,train,-0.25455046982249646,0.7223458112409372,0.8376639855746282,-0.1644804953925916,0.33549006637845746,0.5838197317445755,-0.0018473350720226939,0.9525909449907384,0.03093853051890619,-0.15829843201563443,0.049090648953324434,0.06157553493316598,0.377578125,0.8976980447769165,SNA,l2,1,k0.7,
22,300,train,-0.2365362807203726,0.7956954915117893,0.8354249018891182,-0.1588560473652235,0.3368201356984431,0.5818934458111766,-0.0018154117691403498,0.9533731378462399,0.032021284511720295,-0.15394552472848025,0.04854082050046421,0.06292215659867126,0.38578125,0.8071290254592896,SNA,l2,1,k0.7,
22,625,train,-0.22027352791318866,0.8760695473531076,0.8232534875135882,-0.14760333361562022,0.3299267138766419,0.5614136332890785,-0.0016976644618914621,0.9334629130624943,0.0321648225178069,-0.14174021021641117,0.04589612334355549,0.06077943932179268,0.40849609375,0.7461042404174805,SNA,l2,1,k0.7,0.9283000230789185
23,20,train,-0.32089288900383633,0.47359054358643926,0.6098488387769766,-0.21458932032577427,0.3316246372591656,0.5109667330428393,-0.0023510949165555105,0.953391269844461,0.031060597275645706,-0.20978042143148926,0.044843760365773505,0.06365962672793483,0.303359375,0.8071637153625488,SNA,l2,1,k0.7,
23,100,train,-0.2850195283437589,0.7341993421264392,0.791711835598476,-0.19406837384312922,0.35085186254947126,0.5774739022567063,-0.002195791516064094,1.0083147472650202,0.03273620626307092,-0.1921958719246259,0.04915475554305253,0.07154674614924925,0.359375,0.9043098092079163,SNA,l2,1,k0.7,
23,300,train,-0.281161404196226,0.8261670553601093,0.8450597398494906,-0.19024661895683154,0.3499515960021758,0.584013167989792,-0.002113667571187067,1.005420156919131,0.03275634622201323,-0.1837631347518676,0.0494671408033287,0.07071028050865828,0.364453125,0.8236412405967712,SNA,l2,1,k0.7,
23,625,train,-0.1982648161333606,0.8752528021887382,0.8948806693029917,-0.13968281017364503,0.33828858957860913,0.5757153208917937,-0.0016029124084232407,0.9665376741863725,0.03368469323118916,-0.13051414647730789,0.045687712893190714,0.06565858547630535,0.41470703125,0.7620599865913391,SNA,l2,1,k0.7,0.9379000067710876
24,20,train,-0.30083810713374654,0.5109346793524422,0.8195448290676296,-0.18316049159812187,0.34331068458391567,0.5683969314136001,-0.0019951455971213925,0.992169966948246,0.03322337727120612,-0.17115497202306662,0.04726932219846773,0.06815280638162345,0.3292578125,0.8227115273475647,SNA,l2,1,k0.7,
24,100,train,-0.32472945158194194,0.7246941368392913,0.8786913187231085,-0.1864360508176005,0.3559455258979104,0.5964529552030062,-0.0019711578681768215,1.0359855461259246,0.03346690939011751,-0.16845418943978643,0.048953987859153475,0.07429255517310375,0.3353515625,0.9088757634162903,SNA,l2,1,k0.7,
24,300,train,-0.26853740737699683,0.8248178436531318,0.7713532510070736,-0.16248701281074462,0.349782180135909,0.5586435869329149,-0.0017427355902674962,1.0351730696616155,0.03395992219448089,-0.14456209830825625,0.04565715931653505,0.07402273337425071,0.37,0.8795469403266907,SNA,l2,1,k0.7,
24,625,train,-0.263459097227998,0.8812093944182281,0.9296611205141494,-0.14749253500285248,0.3455862884260749,0.6005626829806181,-0.001534000480314431,0.9944948792034808,0.03390218997752527,-0.1232374626050373,0.04772953111708293,0.06832105716502249,0.3825390625,0.8091427683830261,SNA,l2,1,k0.7,0.9344000220298767
25,20,train,-0.40882162378189446,0.49473535626628834,0.7018253179939472,-0.2628024338626288,0.35492624777750376,0.5909297180340203,-0.0026236510543665064,1.0152923731816432,0.03229657184710959,-0.23646450122408005,0.05097410035764007,0.07124027273981973,0.27833984375,0.875026285648346,SNA,l2,1,k0.7,
25,100,train,-0.2918927465206032,0.7296655445009169,0.8028313498196188,-0.21477266729841551,0.3634688238709336,0.6104475047221979,-0.0021254319039856347,1.0610459877025142,0.03417033838282805,-0.18355425510083087,0.05040337155261005,0.07809992404262286,0.3626171875,0.9367344975471497,SNA,l2,1,k0.7,
25,300,train,-0.239368247383539,0.8311764604056201,0.9085143698849213,-0.19130475021988616,0.367032053476868,0.6589944059744343,-0.0018858893960971904,1.0538954562788394,0.035202039112336936,-0.15798434401780878,0.05354056509740042,0.07766727331319237,0.390078125,0.8707541823387146,SNA,l2,1,k0.7,
25,625,train,-0.2317401152412706,0.8759506460479168,0.8256474634145841,-0.1702535690017046,0.34914075774923015,0.6047124440636507,-0.0017084867420645595,1.0069676549259012,0.034985267120428036,-0.14002837631396603,0.048773657377295256,0.07078325066001544,0.38408203125,0.7787336707115173,SNA,l2,1,k0.7,0.9434000253677368
26,20,train,-0.3224165986897256,0.49252338118408756,0.6522901472779394,-0.23183699299189628,0.35357586871399976,0.5855928056452209,-0.002272284961175026,1.0237682209292585,0.03337025938410079,-0.1993976399417428,0.049491082340776184,0.07308051161695094,0.31609375,0.8414949178695679,SNA,l2,1,k0.7,
26,100,train,-0.29837327972544114,0.7132471362130332,0.746095734491464,-0.2123483014531814,0.3653866337573314,0.6287727217893575,-0.0021065477904060144,1.064177158019689,0.03421445787320408,-0.18157568833660334,0.05209768515497078,0.07912421130056395,0.3294140625,0.9392061233520508,SNA,l2,1,k0.7,
