task,step,phase,zbar_cur,sigma_cur,between_cur,zbar_inv,sigma_inv,between_inv,rowmean,cnorm,bias,star,var_off,var_wid,pos_frac,alpha_med,arm,iv,seed,intervention,acc
20,0,pre,-0.7772028822070581,0.8740703243797564,0.9998611284040005,-0.8282569721253791,0.8702371887374876,0.7022315256895384,-0.008026751354603446,3.1256405190991643,0.014690327394346241,-0.8075525176473061,0.12090993223061781,0.6401851796386043,0.2628125,0.533572793006897,SNA,none,1,k0.7,
20,0,post,-0.7912180058023333,0.6572263092253334,0.8409551567163966,-0.8269558686831249,0.6572313345805276,0.6915563869433502,-0.008026751356391262,2.1879483635318526,0.014690327394346241,-0.807552517830446,0.1209099319407759,0.31369073821593024,0.20599609375,0.533572793006897,SNA,none,1,k0.7,
21,20,train,-0.7964096890942023,0.733333191435393,0.8350624622728234,-0.8231353199089223,0.6572776031393401,0.6624761929503649,-0.008003408606500723,2.198538315631323,0.016046508692088537,-0.8038051563113203,0.11755924489318278,0.3165591608247126,0.2078515625,0.5748772621154785,SNA,none,1,k0.7,
21,100,train,-0.7582996689376749,0.9063333617622055,0.8941371654735518,-0.8041300898733823,0.6647709595255273,0.7033259758152203,-0.007836322515716233,2.229389587222709,0.016748062139959073,-0.7859876693326652,0.11946628596990144,0.32585953059700734,0.251015625,0.6525358557701111,SNA,none,1,k0.7,
21,300,train,-0.6165970951555704,0.9994756655050662,0.7703459299581245,-0.7519947955393751,0.663367881131232,0.6657081408271633,-0.007332119214374051,2.2567028125705644,0.017986281488847452,-0.7330999670659805,0.10829910948249914,0.33473414407660385,0.2796875,0.6934296488761902,SNA,none,1,k0.7,
21,625,train,-0.6239420924843437,1.0913844713315142,0.8743032594124189,-0.7768301486422762,0.6745324130582325,0.7061345317335257,-0.00751864798275393,2.284237542856003,0.01579343467776198,-0.754400412757256,0.11482706849281527,0.3427460552899275,0.290703125,0.632603108882904,SNA,none,1,k0.7,0.9002000093460083
22,20,train,-0.5908122331495779,0.7482583516427022,0.9390453938224848,-0.7267009902911797,0.6745615036712426,0.7341362491512942,-0.007063749229810505,2.2954944266718518,0.017722918977960946,-0.7058720955915558,0.11162462906965899,0.34548808561228284,0.26984375,0.6678434610366821,SNA,none,1,k0.7,
22,100,train,-0.6121446522651378,0.9190916468849202,1.1250702668519477,-0.7208495729803539,0.6823830771833976,0.7766172321570566,-0.006965976514497121,2.323990172484731,0.01750545672606677,-0.6960739348279672,0.11310233638553964,0.3528896603507286,0.2894921875,0.7115803956985474,SNA,none,1,k0.7,
22,300,train,-0.5781994430403753,1.0015798924632164,0.938643495922532,-0.7277306215438536,0.6869305822293452,0.7501444942335427,-0.006986413337162667,2.348040120266454,0.01772563509293832,-0.6979472598561515,0.10976369154165963,0.3607785170304227,0.293046875,0.6890368461608887,SNA,none,1,k0.7,
22,625,train,-0.5716631459827562,1.0892695777106876,0.8983590441411466,-0.7436095899168936,0.6945424070626105,0.748455218092011,-0.007126798615320635,2.3745418599784727,0.018176205742020102,-0.7118774499177363,0.11053706949962397,0.36947006661792675,0.30466796875,0.6114263534545898,SNA,none,1,k0.7,0.9228000044822693
