arm,cond,seed,slot,lr,task,hard,n_classes,online_acc,train_acc,test_acc,acc,dead_frac_l1,zeroout_l1,zbar_l1,zsd_l1,zbar_min_l1,mob_l1,eff_rank_l1,dead_frac_l2,zeroout_l2,zbar_l2,zsd_l2,zbar_min_l2,mob_l2,eff_rank_l2,w_norm_l1,w_norm_l2,w_norm_l3,m_l1,m_l2
CH,std,0,0,0.0001,1,1,5,0.9345753205,1,0.7460000515,1,0,0,-0.1356228441,3.346589327,-2.235542536,0.4723999798,28.90241261,0,0,0.03133812919,3.011492014,-0.2169753164,0.489199996,20.38425847,0.9888134599,0.7845070958,1.021767616,3.030611515,3.952641487
CH,std,0,0,0.0001,2,0,1,0.7488341346,0.8680000305,0.6100000143,0.8680000305,0.009999999776,0,-2.804111004,10.52715111,-24.61016655,0.3540000021,10.82341484,0,0,-1.823134899,2.326816559,-15.5900631,0.1200000048,6.3967004,1.65165627,1.173740625,1.273451209,13.58099842,23.05451775
CH,std,0,0,0.0001,3,1,5,0.3764903846,0.315200001,0.3080000281,0.315200001,0,0,-1.622313738,21.54800987,-41.74390411,0.3612000048,6.269138594,0,0,-3.288226843,17.19129181,-24.31853294,0.3395999968,4.501349289,1.843385816,2.178899765,1.212181449,25.6312294,117.6229248
CH,std,0,0,0.0001,4,0,1,0.9104407051,0.9980000257,0.6800000072,0.9980000257,0,0,-27.12141991,52.2461319,-186.8506622,0.2100000083,7.458930999,0,0,-0.4850814342,13.9667387,-2.262284994,0.5680000186,5.418204919,3.035315037,2.401145935,1.332883239,15.00297832,58.82784653
CH,std,0,0,0.0001,5,1,5,0.8216746795,0.9684000015,0.6240000129,0.9684000015,0,0,5.340513706,52.09039307,-19.19087982,0.5351999998,9.883009592,0,0,-1.437387705,20.13929939,-14.32326412,0.4687999785,5.043473823,2.994321585,2.338429451,1.442122459,38.49883652,109.3196487
CH,std,0,0,0.0001,6,0,1,0.9979086538,0.9880000353,0.6100000143,0.9880000353,0,0,0.5868108273,41.10279846,-9.627008438,0.4720000327,7.972837632,0,0,-1.412962437,8.520831108,-3.862309694,0.4440000355,4.474624964,3.104457617,2.334893942,1.551328182,29.25400543,86.54650879
CH,std,0,0,0.0001,7,1,5,0.8941706731,1,0.6660000086,1,0,0,-0.5862663388,49.81554794,-28.16304398,0.4627999961,8.963868601,0,0,-0.7013233304,12.86727333,-3.973841667,0.4723999798,5.278615629,2.68442297,2.359456301,1.750386953,34.20486832,98.92415619
CH,std,0,0,0.0001,8,0,1,0.997900641,1,0.6699999571,1,0,0,9.749759674,26.49877739,-20.23984909,0.6620000601,8.182683192,0,0,-1.823705196,4.738337994,-6.917154789,0.3720000088,3.818270053,2.598287821,2.274514914,1.93748033,43.68874741,50.59038925
CH,std,0,0,0.0001,9,1,5,0.8590705128,0.9987999797,0.5100000501,0.9987999797,0,0,-0.7990503311,38.27112579,-8.279998779,0.4959999919,11.99270919,0,0,-0.8131911159,18.94838333,-2.983035564,0.5031999946,8.550249075,2.910157442,2.337631464,2.218048334,30.93157578,69.53050995
CH,std,0,0,0.0001,10,0,1,0.9986778846,1,0.6999999881,1,0,0,3.07169199,34.23963547,-4.372703075,0.5260000229,7.22975943,0,0,-1.719133973,3.413549185,-4.872603893,0.3140000105,4.043191311,2.643908024,2.333110571,2.383594751,31.43234825,31.58927155
