step,run_id,dead_frac,dup_frac,sat_frac,eff_rank,stable_rank,wcos_mean,sign_match_mean,sign_clone_frac,drift_sq_W,trC_W,snr_drift,eff_rank_W,top1_frac,stable_rank_W,stable_rank_W_alive,neg_gate_frac,eval_loss
2000,A_w100_T10000_centered_lr0.01_s5,0.19,0.00323232,0.17,15.6479,5.69421,0.183366,0.500646,0,0.293049,9.91237,0.0295639,19.4097,0.109195,9.15791,8.8967,0.19,0.194272
2000,A_w100_T10000_centered_lr0.01_s6,0.25,0.00363636,0.23,15.6255,6.16957,0.183555,0.499273,0,2.52235,36.0767,0.0699162,19.2936,0.103901,9.62451,9.52016,0.25,0.295889
2000,A_w100_T10000_centered_lr0.01_s7,0.36,0.00242424,0.36,15.1863,4.852,0.17894,0.501677,0,5.96718,35.1584,0.169723,19.4677,0.100586,9.94174,7.92335,0.36,0.449738
2000,A_w100_T10000_centered_lr0.01_s8,0.23,0.00141414,0.23,16.0684,6.18046,0.186163,0.501535,0.00020202,0.454066,29.3994,0.0154447,19.3232,0.113668,8.79751,7.4564,0.23,0.342047
2000,A_w100_T10000_centered_lr0.01_s9,0.26,0.0030303,0.21,18.3379,6.57707,0.177132,0.500465,0,0.997033,25.8053,0.0386367,19.558,0.0914182,10.9387,9.77874,0.26,0.36655
3000,A_w100_T10000_centered_lr0.01_s0,0.31,0.000808081,0.31,16.1511,6.31679,0.181433,0.505242,0,0.965747,9.70536,0.0995066,19.391,0.103022,9.70662,8.79138,0.31,0.0972437
3000,A_w100_T10000_centered_lr0.01_s1,0.19,0.0040404,0.16,15.1504,5.3407,0.181892,0.498313,0,0.723253,19.9723,0.0362128,19.4757,0.099573,10.0429,9.93709,0.19,0.185016
3000,A_w100_T10000_centered_lr0.01_s2,0.2,0.00181818,0.19,13.88,5.53829,0.178732,0.500475,0,0.0850692,1.80512,0.0471265,19.426,0.0914244,10.938,9.68318,0.2,0.0275784
3000,A_w100_T10000_centered_lr0.01_s3,0.27,0.0010101,0.25,13.7571,5.63808,0.18065,0.498626,0,0.900455,5.388,0.167122,19.4094,0.0954622,10.4754,9.03927,0.27,0.0694655
3000,A_w100_T10000_centered_lr0.01_s4,0.3,0.00242424,0.27,16.5513,6.56025,0.181462,0.500222,0,0.808395,9.4903,0.0851812,19.4305,0.100159,9.98413,8.46946,0.3,0.0955055
3000,A_w100_T10000_centered_lr0.01_s5,0.19,0.0030303,0.17,16.4137,5.9474,0.183512,0.50104,0,1.47867,9.81772,0.150612,19.3993,0.108967,9.17707,8.98129,0.19,0.133665
3000,A_w100_T10000_centered_lr0.01_s6,0.24,0.00464646,0.23,16.3468,6.40679,0.18396,0.499798,0,0.483838,21.6337,0.022365,19.2646,0.105537,9.47538,8.88688,0.24,0.162338
3000,A_w100_T10000_centered_lr0.01_s7,0.36,0.00282828,0.34,15.1089,4.78992,0.179378,0.501596,0,3.79272,18.6302,0.20358,19.4507,0.105001,9.52371,7.648,0.36,0.191139
3000,A_w100_T10000_centered_lr0.01_s8,0.24,0.00141414,0.22,16.5396,6.39797,0.185896,0.501535,0.00020202,3.07487,23.7999,0.129197,19.3044,0.111496,8.96894,7.71299,0.24,0.202453
3000,A_w100_T10000_centered_lr0.01_s9,0.28,0.00363636,0.2,18.6487,6.82839,0.177526,0.500515,0,2.30851,18.9046,0.122113,19.5335,0.0936578,10.6772,9.74882,0.28,0.164549
4000,A_w100_T10000_centered_lr0.01_s0,0.33,0.000606061,0.31,16.5362,6.35659,0.181513,0.504788,0,0.187115,5.13347,0.03645,19.3906,0.104005,9.61493,8.49771,0.33,0.0411035
4000,A_w100_T10000_centered_lr0.01_s1,0.17,0.0040404,0.15,15.6897,5.42016,0.182006,0.498333,0,0.157786,11.2295,0.014051,19.4632,0.100187,9.98138,9.90399,0.17,0.10812
4000,A_w100_T10000_centered_lr0.01_s2,0.2,0.0020202,0.19,14.0389,5.54963,0.178686,0.500424,0,0.00858074,0.906689,0.00946382,19.4261,0.0915172,10.9269,9.65714,0.2,0.0118767
4000,A_w100_T10000_centered_lr0.01_s3,0.26,0.00141414,0.25,14.0051,5.64135,0.180899,0.498636,0,0.0372244,2.3523,0.0158247,19.4019,0.0954153,10.4805,9.09509,0.26,0.0222067
4000,A_w100_T10000_centered_lr0.01_s4,0.29,0.00242424,0.27,16.8473,6.68157,0.181682,0.500232,0,0.278729,4.80673,0.0579873,19.4229,0.101375,9.86439,7.96019,0.29,0.0435407
4000,A_w100_T10000_centered_lr0.01_s5,0.18,0.00323232,0.17,16.7159,6.04871,0.183841,0.501121,0,0.748777,6.18132,0.121135,19.3876,0.108593,9.20874,8.95092,0.18,0.0609105
4000,A_w100_T10000_centered_lr0.01_s6,0.23,0.00565657,0.23,16.708,6.55892,0.184545,0.499919,0,5.61126,20.1869,0.277965,19.2333,0.108053,9.25474,8.59388,0.23,0.142738
4000,A_w100_T10000_centered_lr0.01_s7,0.35,0.0030303,0.35,15.2361,4.87281,0.179925,0.501384,0,0.64192,6.66343,0.0963347,19.4298,0.109709,9.11499,7.47448,0.35,0.0466244
4000,A_w100_T10000_centered_lr0.01_s8,0.24,0.00161616,0.22,16.6619,6.29481,0.186085,0.50104,0.00020202,4.02928,27.9043,0.144396,19.2808,0.109687,9.11689,7.77924,0.24,0.182851
4000,A_w100_T10000_centered_lr0.01_s9,0.25,0.00363636,0.19,18.7889,6.89223,0.177988,0.500657,0,3.65903,9.5026,0.385056,19.5082,0.0955837,10.462,9.57648,0.25,0.0731819
5000,A_w100_T10000_centered_lr0.01_s0,0.32,0.000606061,0.31,16.7363,6.45228,0.18158,0.504273,0,0.24006,2.78669,0.0861453,19.386,0.104556,9.56421,8.52979,0.32,0.0199724
5000,A_w100_T10000_centered_lr0.01_s1,0.16,0.00383838,0.15,16.1504,5.625,0.182014,0.498576,0,0.882103,9.56889,0.0921845,19.4582,0.10019,9.98102,9.68227,0.16,0.0764666
5000,A_w100_T10000_centered_lr0.01_s2,0.2,0.0020202,0.19,14.1897,5.57422,0.178636,0.500354,0,0.233946,0.743541,0.314637,19.4261,0.0917848,10.8951,9.61516,0.2,0.0114934
5000,A_w100_T10000_centered_lr0.01_s3,0.26,0.00121212,0.24,14.1112,5.63919,0.181032,0.498727,0,0.172318,1.29749,0.132808,19.3962,0.0954367,10.4781,9.04341,0.26,0.0115886
5000,A_w100_T10000_centered_lr0.01_s4,0.29,0.00262626,0.27,17.0319,6.79494,0.181968,0.500263,0,0.0907228,2.10496,0.0430995,19.4149,0.102523,9.75395,7.877,0.29,0.0175503
5000,A_w100_T10000_centered_lr0.01_s5,0.18,0.00343434,0.16,16.9212,6.14413,0.184099,0.501172,0,1.17972,4.16527,0.283228,19.3804,0.108803,9.19095,8.93528,0.18,0.0382894
5000,A_w100_T10000_centered_lr0.01_s6,0.23,0.00505051,0.23,16.9559,6.58746,0.185085,0.499949,0,4.64841,14.2556,0.326077,19.2128,0.110987,9.01005,8.20878,0.23,0.104074
5000,A_w100_T10000_centered_lr0.01_s7,0.36,0.00323232,0.32,15.5022,4.97632,0.1803,0.501434,0,0.0879126,2.68438,0.0327497,19.4145,0.111835,8.94172,7.23812,0.36,0.0154386
5000,A_w100_T10000_centered_lr0.01_s8,0.24,0.0020202,0.22,16.7073,6.3364,0.186377,0.500879,0.00020202,0.578045,8.59327,0.0672672,19.2611,0.108673,9.20191,7.83088,0.24,0.0440214
5000,A_w100_T10000_centered_lr0.01_s9,0.23,0.00363636,0.19,18.8399,6.91588,0.178191,0.500586,0,1.15575,3.07775,0.375517,19.4978,0.096748,10.3361,9.27017,0.23,0.020091
6000,A_w100_T10000_centered_lr0.01_s0,0.32,0.000606061,0.31,16.7637,6.49106,0.181584,0.504273,0,1.3176,3.33309,0.395309,19.384,0.105021,9.52187,8.47805,0.32,0.0257701
6000,A_w100_T10000_centered_lr0.01_s1,0.18,0.00505051,0.15,16.3172,5.74961,0.182119,0.498495,0,0.346485,4.92181,0.0703978,19.4484,0.100556,9.94474,9.5366,0.18,0.0340158
6000,A_w100_T10000_centered_lr0.01_s2,0.2,0.00222222,0.19,14.281,5.59793,0.178603,0.500414,0,0.0138419,0.327853,0.0422198,19.4267,0.0919233,10.8786,9.59299,0.2,0.003495
6000,A_w100_T10000_centered_lr0.01_s3,0.26,0.00121212,0.24,14.1974,5.65408,0.181038,0.498727,0,1.21772,1.62566,0.749057,19.3944,0.0958454,10.4335,9.01013,0.26,0.0212925
6000,A_w100_T10000_centered_lr0.01_s4,0.28,0.00242424,0.25,17.1431,6.88337,0.182088,0.500354,0,0.189638,1.33624,0.141919,19.4099,0.102472,9.75875,7.92084,0.28,0.0113871
6000,A_w100_T10000_centered_lr0.01_s5,0.19,0.00343434,0.17,17.0013,6.14726,0.184268,0.50098,0,0.228262,1.28505,0.177629,19.3749,0.109107,9.16535,9.02969,0.19,0.0104507
