width,seed,n_post,n_interior,post_positive_change_rate,interior_positive_change_rate,concentration_fold,post_event_rate,interior_event_rate,post_net_change_rate,interior_net_change_rate
5,0,99,891,0.020202020202020204,0.004264870931537598,4.736842105263158,0.09090909090909091,0.02132435465768799,0.006060606060606057,0.0004489337822671159
5,1,99,891,0.010101010101010102,0.0015712682379349044,6.42857142857143,0.050505050505050504,0.007856341189674524,0.00808080808080808,0.0
5,2,99,891,0.01818181818181818,0.003591470258136925,5.0625,0.08080808080808081,0.017957351290684626,0.004040404040404039,0.0002244668911335578
5,3,99,891,0.02626262626262626,0.004264870931537598,6.1578947368421035,0.12121212121212122,0.02132435465768799,0.01616161616161616,-0.0013468013468013464
5,4,99,891,0.010101010101010102,0.002693602693602694,3.7499999999999996,0.050505050505050504,0.013468013468013467,-1.6821560979169039e-18,0.0008978675645342315
100,0,99,891,0.006464646464646465,0.003479236812570146,1.8580645161290323,0.37373737373737376,0.2772166105499439,0.0005050505050505053,0.0001571268237934904
100,1,99,891,0.010606060606060607,0.004826038159371494,2.1976744186046506,0.45454545454545453,0.3389450056116723,0.002626262626262627,0.00013468013468013464
100,2,99,891,0.012424242424242424,0.004130190796857463,3.0081521739130435,0.5151515151515151,0.3075196408529742,0.005555555555555556,-0.000314253647586981
100,3,99,891,0.009595959595959595,0.0046240179573512905,2.075242718446602,0.45454545454545453,0.3254769921436588,0.0010101010101010099,0.00026936026936026945
100,4,99,891,0.009696969696969697,0.004545454545454546,2.133333333333333,0.46464646464646464,0.30190796857463525,0.002121212121212121,8.978675645342313e-05
