width,seed,task,mode,n_features,nmse_v_only,mse_v_only,rank_v_only,nmse_v_plus_c,rank_v_plus_c
5,0,1,ideal_task_centered,5,0.5332054373909698,0.8451097899272891,5,0.5329604598114521,6
5,1,1,ideal_task_centered,5,0.9278979007877108,1.0357297857425327,5,0.837738644535863,6
5,2,1,ideal_task_centered,5,0.8027124758881085,0.903051535374122,5,0.6964299809892501,6
5,3,1,ideal_task_centered,5,0.7272752227013713,0.4879278105428146,5,0.4331424176020535,6
5,4,1,ideal_task_centered,5,0.7468906178464235,1.574743011650809,5,0.56765125593089,6
5,0,1,literal_t0_raw,5,0.40555503464273934,0.6427888879152012,3,0.3985778632436429,4
5,1,1,literal_t0_raw,5,0.926262131145445,1.033903921776605,5,0.8568138544059937,6
5,2,1,literal_t0_raw,5,1.0148883903188637,1.1417494391087217,4,0.9537920866992255,5
5,3,1,literal_t0_raw,5,0.9084660400560709,0.6094884467954303,5,0.603488074266829,6
5,4,1,literal_t0_raw,5,1.0249379676471186,2.1609776095216104,3,0.8768206840321302,4
5,0,2,ideal_task_centered,5,0.6047106123177777,0.5669161990479166,5,0.5458258244989987,6
5,1,2,ideal_task_centered,5,1.127564946312996,2.167038881195289,5,0.8454488881095195,6
5,2,2,ideal_task_centered,5,0.7365639265897368,1.2767587594695144,5,0.6738811227206999,6
5,3,2,ideal_task_centered,5,1.009073493974253,1.2455750941244685,5,0.8303989680998334,6
5,4,2,ideal_task_centered,5,1.5077545766413027,3.0140367367038543,5,0.7520999968759157,6
5,0,3,ideal_task_centered,5,0.5332054373909698,0.8451097899272891,5,0.5329604598114521,6
5,1,3,ideal_task_centered,5,1.1085089552571255,1.6357002259702311,5,0.5684086212803385,6
5,2,3,ideal_task_centered,5,0.9069038947891619,1.6402207159663358,5,0.8824598920528407,6
5,3,3,ideal_task_centered,5,0.7272752227013713,0.4879278105428146,5,0.4331424176020535,6
5,4,3,ideal_task_centered,5,1.4967477037617072,2.1925015191821884,5,0.7846237649938091,6
5,0,4,ideal_task_centered,5,1.023732363769439,1.662565352488845,5,0.9506440745043506,6
5,1,4,ideal_task_centered,5,0.9670746961646739,3.048551874237859,5,0.4256833555291577,6
5,2,4,ideal_task_centered,5,1.331925530946206,0.9104959684202579,5,0.6767166088630145,6
5,3,4,ideal_task_centered,5,1.1132836740982022,1.0045645652995496,5,0.8091681312528128,6
