width,seed,task,mode,subset_size,subset_draws,subset_nmse_median,subset_nmse_q25,subset_nmse_q75
100,0,1,ideal_task_centered,5,100,0.7058487995421482,0.6626906018306932,0.7776594505823375
100,1,1,ideal_task_centered,5,100,0.7918618068105141,0.7380098012372117,0.9363692094938971
100,2,1,ideal_task_centered,5,100,0.5438829355353397,0.47055320099089554,0.6512730816159465
100,3,1,ideal_task_centered,5,100,1.102712100689876,0.8971144357088067,1.3148006833955805
100,4,1,ideal_task_centered,5,100,0.7661433745590291,0.6880431835711368,0.8204117660766157
100,0,1,literal_t0_raw,5,100,0.7497747353261672,0.6411085531096883,0.8332195326338935
100,1,1,literal_t0_raw,5,100,0.6954941912282153,0.5739310838225821,0.8607081957762067
100,2,1,literal_t0_raw,5,100,0.7304710495260809,0.5547564927932411,0.878912210692241
100,3,1,literal_t0_raw,5,100,0.8606977938429823,0.7694457449964659,0.9781186629115163
100,4,1,literal_t0_raw,5,100,0.8269479065915446,0.7477892239117,0.9033423863646636
100,0,2,ideal_task_centered,5,100,1.0464738583681679,0.8879288101762373,1.1989102537358447
100,1,2,ideal_task_centered,5,100,0.9084946405962976,0.8286450085272529,0.9964647849171931
100,2,2,ideal_task_centered,5,100,0.6972951430095256,0.5660425342116988,0.9150641543684027
100,3,2,ideal_task_centered,5,100,2.2137647224402848,1.8360714146027388,2.638740819451713
100,4,2,ideal_task_centered,5,100,0.9521588208098453,0.8853670713442896,1.039266898592395
100,0,3,ideal_task_centered,5,100,0.8230780764993672,0.7356096521954237,0.9037846363228659
100,1,3,ideal_task_centered,5,100,0.9811304154640075,0.8520107834573558,1.140992322164038
100,2,3,ideal_task_centered,5,100,0.8562352757924997,0.6602191280169937,1.0696069771472256
100,3,3,ideal_task_centered,5,100,2.820836243547822,2.2998480874434177,3.6402640049272756
100,4,3,ideal_task_centered,5,100,0.9453908492181309,0.9165018363699894,0.9639247499689906
100,0,4,ideal_task_centered,5,100,1.137596316837287,0.9981947551512789,1.2646302496745678
100,1,4,ideal_task_centered,5,100,1.3706339570573425,1.2048794026404377,1.7033425246034746
