arm,cond,seed,slot,lr,task,hard,n_classes,online_acc,train_acc,test_acc,acc,dead_frac_l1,zeroout_l1,zbar_l1,zsd_l1,zbar_min_l1,mob_l1,eff_rank_l1,dead_frac_l2,zeroout_l2,zbar_l2,zsd_l2,zbar_min_l2,mob_l2,eff_rank_l2,w_norm_l1,w_norm_l2,w_norm_l3,alpha_med_l1,alpha_min_l1,alpha_max_l1,alpha_clip_frac_l1,two_alpha_W_med_l1,alpha_med_l2,alpha_min_l2,alpha_max_l2,alpha_clip_frac_l2,two_alpha_W_med_l2
KKT1,std,10,0,0.0001,1,1,5,0.721474359,0.8567999601,0.65200001,0.8567999601,0,0,0.1886392236,4.023193359,-2.461144447,1.041378498,33.55568016,0,0,0.2939787507,3.925257444,-5.966976643,1.003004313,31.71778729,0.6623467803,0.5988644361,0.602991879,0.1461323798,0.03610125929,0.9761330485,0,1.200000048,0.1614933908,0.0505740419,0.5959899426,0,1.200000048
KKT1,std,10,0,0.0001,2,0,1,0.9695913462,1,0.969999969,1,0,0,-0.6457333565,3.756786346,-3.187207937,0.8865168691,31.22613841,0,0,0.2184757739,3.574973345,-9.505479813,1.05503881,29.98667664,0.6571393609,0.6000280976,0.6202508807,0.1639089584,0.03055205196,0.5836429,0,1.200000048,0.1723296791,0.04731776938,0.469132036,0,1.200000048
KKT1,std,10,0,0.0001,3,1,5,0.6404246795,0.8055999875,0.6120000482,0.8055999875,0,0,-0.03739709407,4.035244465,-4.009154797,0.9762061238,37.18421733,0,0,0.2152156383,3.786889315,-7.641682625,1.0275594,37.89842305,0.709687233,0.6041496992,0.7109341025,0.1534115076,0.02602287382,0.5843178034,0,1.200000048,0.1661235541,0.04716802388,0.3961951435,0,1.200000048
KKT1,std,10,0,0.0001,4,0,1,0.9661858974,1,0.9899999499,1,0,0,-0.05405305699,3.991698742,-1.838365674,0.9946264029,33.20245129,0,0,-0.2101967931,4.560509205,-7.542230606,0.983756125,30.40490624,0.7168305516,0.6097205281,0.7432700396,0.1527529508,0.03735556453,0.5462876558,0,1.200000048,0.1363250166,0.04362726584,0.3794402182,0,1.200000048
KKT1,std,10,0,0.0001,5,1,5,0.6040064103,0.7759999633,0.5440000296,0.7759999633,0,0,-0.3080732226,4.309132576,-3.352987528,0.9359737039,39.38853552,0,0,-1.085191607,3.438699722,-7.447879314,0.8864750862,38.65142329,0.752207458,0.6107270122,0.7913851142,0.1444846988,0.03597040847,0.5694764256,0,1.200000048,0.1750076711,0.04203230888,0.4097169638,0,1.200000048
KKT1,std,10,0,0.0001,6,0,1,0.9626602564,1,1,1,0,0,-0.6225771904,4.283911705,-6.115695477,0.8793936968,37.74595584,0,0,-1.424735546,3.573570967,-6.929123402,0.7580119967,33.77402044,0.7659005523,0.6145679951,0.8159167171,0.1424137205,0.03994689509,0.6677986383,0,1.200000048,0.1724637747,0.04225840047,0.4436552227,0,1.200000048
KKT1,std,10,0,0.0001,7,1,5,0.670713141,0.8283999562,0.6680000424,0.8283999562,0,0,-0.6853230596,4.795909882,-2.714544058,0.9259290099,38.64446175,0,0,-1.438501716,4.420473099,-9.480307579,0.8831611872,40.52210497,0.8008437157,0.6107751727,0.8282170892,0.1269933432,0.02108299918,0.4279883206,0,1.200000048,0.1422948837,0.0469568707,0.3462882042,0,1.200000048
KKT1,std,10,0,0.0001,8,0,1,0.9600160256,1,0.9599999785,1,0,0,-0.2753405571,4.414933205,-8.847835541,0.9615157843,38.8989135,0,0,-1.853942752,3.520053387,-6.97610569,0.7127225995,33.34384186,0.8113304973,0.6175272465,0.8217161298,0.1374502331,0.03854337335,0.6443687081,0,1.200000048,0.1720123887,0.06147222221,0.3568720818,0,1.200000048
KKT1,std,10,0,0.0001,9,1,5,0.6836538462,0.8267999887,0.6740000248,0.8267999887,0,0,-0.4688052535,5.585887432,-4.005323887,0.9283139706,43.19311394,0,0,-1.39443934,4.549402237,-9.26602459,0.8447867036,44.62966537,0.8334863186,0.6199285388,0.8072368503,0.1094950512,0.0225851424,0.323653847,0,1.200000048,0.1362132281,0.06114315242,0.3322952092,0,1.200000048
KKT1,std,10,0,0.0001,10,0,1,0.9758012821,1,0.9599999785,1,0,0,-3.152915478,4.580338001,-16.07259941,0.6506363153,35.00021174,0,0,-3.00170517,3.011363268,-12.80797958,0.8952235579,34.95719162,0.8367493153,0.6188593507,0.7998488545,0.132339552,0.05650272593,0.421253711,0,1.200000048,0.2035918087,0.07534375787,0.4893928468,0,1.200000048
