exp,width,period,enc,c,kappa,lr,batch,seed,method,method_cfg,run_id
A,5,10000,std,,1,0.01,1,0,none,{'name': 'none'},A_w5_T10000_std_lr0.01_s0
A,5,10000,std,,1,0.01,1,1,none,{'name': 'none'},A_w5_T10000_std_lr0.01_s1
A,5,10000,std,,1,0.01,1,2,none,{'name': 'none'},A_w5_T10000_std_lr0.01_s2
A,5,10000,std,,1,0.01,1,3,none,{'name': 'none'},A_w5_T10000_std_lr0.01_s3
A,5,10000,std,,1,0.01,1,4,none,{'name': 'none'},A_w5_T10000_std_lr0.01_s4
A,100,10000,std,,1,0.01,1,0,none,{'name': 'none'},A_w100_T10000_std_lr0.01_s0
A,100,10000,std,,1,0.01,1,1,none,{'name': 'none'},A_w100_T10000_std_lr0.01_s1
A,100,10000,std,,1,0.01,1,2,none,{'name': 'none'},A_w100_T10000_std_lr0.01_s2
A,100,10000,std,,1,0.01,1,3,none,{'name': 'none'},A_w100_T10000_std_lr0.01_s3
A,100,10000,std,,1,0.01,1,4,none,{'name': 'none'},A_w100_T10000_std_lr0.01_s4
