H_T,log2H,seed,run_id,out_scale,alive_final,dead_frac_final,width,p_hat_median_alive_final,eval_loss_exact_final,eval_loss_exact_plateau,eval_loss_exact_t0,var_y_t0,var_y_median,var_y_timemean,alive_t0,t50_dead,n_rec
1,0.0,0,A_w100_T10000_std_lr0.01_s0,10.0,62.0,0.38,100,0.78125,1.0119993021362461e-05,8.023812551982701e-05,117.7308349609375,0.0,0.0,0.0,68.0,11000.0,1001
1,0.0,1,A_w100_T10000_std_lr0.01_s1,10.0,22.0,0.78,100,0.4375,1.3397756447375286e-05,4.757929127663374e-05,110.38884735107422,0.0,0.0,0.5160855054855347,83.0,16000.0,1001
1,0.0,2,A_w100_T10000_std_lr0.01_s2,10.0,21.0,0.79,100,0.46875,0.002354304539039731,0.00014078099047765136,90.07184600830078,3.02734375,0.0,0.5493530035018921,78.0,391000.0,1001
1,0.0,3,A_w100_T10000_std_lr0.01_s3,10.0,37.0,0.63,100,0.4375,5.472913926496403e-06,1.1213129255338572e-05,115.24724578857422,0.0,0.0,0.09072957932949066,79.0,421000.0,1001
1,0.0,4,A_w100_T10000_std_lr0.01_s4,10.0,12.0,0.88,100,0.390625,0.00023410646826960146,0.0009572438430041075,266.6224670410156,25.0,0.0,2.233703851699829,68.0,1000.0,1001
1,0.0,5,A_w100_T10000_std_lr0.01_s5,10.0,78.0,0.21999999999999997,100,0.734375,5.937808964517899e-06,4.617769445758313e-05,83.93820190429688,0.0,0.0,0.0,81.0,121000.0,1001
1,0.0,6,A_w100_T10000_std_lr0.01_s6,10.0,66.0,0.33999999999999997,100,0.953125,1.086032443708973e-05,4.636085941456258e-05,132.05018615722656,0.0,0.0,0.0,77.0,48000.0,1001
1,0.0,7,A_w100_T10000_std_lr0.01_s7,10.0,55.0,0.44999999999999996,100,0.6875,3.4324275475228205e-06,4.309095675125718e-05,105.48429870605469,0.0,0.0,0.060486387461423874,68.0,61000.0,1001
1,0.0,8,A_w100_T10000_std_lr0.01_s8,10.0,15.0,0.85,100,0.28125,0.9931129813194275,0.5830332040786743,101.1451187133789,0.0,0.0,1.8975164890289307,79.0,641000.0,1001
1,0.0,9,A_w100_T10000_std_lr0.01_s9,10.0,78.0,0.21999999999999997,100,0.75,2.2470510884886608e-05,4.44300749222748e-05,106.48918914794922,0.0,0.0,0.0,76.0,,1001
2,1.0,0,A_w100_T10000_std_lr0.01_s0,7.0710678118654755,3.0,0.97,100,0.9375,1.6084749532296883e-08,0.00027622500783763826,38.799598693847656,0.0,0.0,2.2760443687438965,68.0,194000.0,1001
2,1.0,1,A_w100_T10000_std_lr0.01_s1,7.0710678118654755,7.0,0.9299999999999999,100,0.5,7.842857303330675e-05,0.0017846047412604094,43.2270622253418,0.0,0.0,2.5745737552642822,83.0,311000.0,1001
2,1.0,2,A_w100_T10000_std_lr0.01_s2,7.0710678118654755,0.0,1.0,100,,3.106282342457689e-09,4.708991241386684e-08,55.30821228027344,0.0,0.0,1.578499674797058,78.0,411000.0,1001
2,1.0,3,A_w100_T10000_std_lr0.01_s3,7.0710678118654755,49.0,0.51,100,0.5,9.844771739153657e-06,6.9022507886984386e-06,60.955474853515625,0.0,0.0,0.060486387461423874,79.0,109000.0,1001
2,1.0,4,A_w100_T10000_std_lr0.01_s4,7.0710678118654755,69.0,0.31000000000000005,100,0.96875,1.4839844880043529e-05,1.8083017494063824e-05,58.051273345947266,0.0,0.0,0.0,68.0,,1001
2,1.0,5,A_w100_T10000_std_lr0.01_s5,7.0710678118654755,38.0,0.62,100,0.28125,1.4638131595745563e-08,4.019027073809411e-06,38.87187576293945,0.0,0.0,0.2731643319129944,81.0,166000.0,1001
2,1.0,6,A_w100_T10000_std_lr0.01_s6,7.0710678118654755,60.0,0.4,100,0.8125,5.542373037314974e-05,4.508995698415674e-05,73.3227767944336,0.0,0.0,0.015121596865355968,77.0,193000.0,1001
2,1.0,7,A_w100_T10000_std_lr0.01_s7,7.0710678118654755,11.0,0.89,100,0.28125,1.2254859029781073e-05,0.00010393161210231483,46.392555236816406,0.0,0.0,1.4267958402633667,68.0,267000.0,1001
2,1.0,8,A_w100_T10000_std_lr0.01_s8,7.0710678118654755,46.0,0.54,100,0.46875,7.384917566355398e-09,5.100809175928589e-06,49.265907287597656,0.0,0.0,0.1058511808514595,79.0,151000.0,1001
2,1.0,9,A_w100_T10000_std_lr0.01_s9,7.0710678118654755,82.0,0.18000000000000005,100,0.6875,6.32748196949251e-06,4.881139466306195e-05,54.644012451171875,0.0,0.0,0.0,76.0,,1001
4,2.0,0,A_w100_T10000_std_lr0.01_s0,5.0,12.0,0.88,100,0.34375,0.0001238352560903877,0.00037868600338697433,17.309547424316406,0.0,0.0,0.7116906642913818,68.0,531000.0,1001
4,2.0,1,A_w100_T10000_std_lr0.01_s1,5.0,4.0,0.96,100,0.40625,0.21178068220615387,0.3103526830673218,31.667274475097656,1.5625,0.7568359375,2.0010263919830322,83.0,51000.0,1001
4,2.0,2,A_w100_T10000_std_lr0.01_s2,5.0,3.0,0.97,100,0.96875,1.0592042599455453e-05,8.263492054538801e-05,13.83000373840332,6.25,3.02734375,2.444479465484619,78.0,41000.0,1001
4,2.0,3,A_w100_T10000_std_lr0.01_s3,5.0,1.0,0.99,100,0.0625,1.090117024427073e-10,0.21499575674533844,48.102596282958984,3.80859375,1.46484375,2.5654520988464355,79.0,31000.0,1001
4,2.0,4,A_w100_T10000_std_lr0.01_s4,5.0,1.0,0.99,100,1.0,0.6421630382537842,0.646882176399231,19.856903076171875,0.0,0.7568359375,2.106048345565796,68.0,101000.0,1001
4,2.0,5,A_w100_T10000_std_lr0.01_s5,5.0,9.0,0.91,100,0.125,1.5733320713043213,0.00868801400065422,34.20512008666992,0.0,0.7568359375,1.8504444360733032,81.0,261000.0,1001
4,2.0,6,A_w100_T10000_std_lr0.01_s6,5.0,4.0,0.96,100,0.34375,9.058782779902685e-06,0.08470211923122406,33.8409538269043,4.2724609375,0.7568359375,1.7705682516098022,77.0,31000.0,1001
4,2.0,7,A_w100_T10000_std_lr0.01_s7,5.0,4.0,0.96,100,0.09375,1.621383471928084e-09,3.410977114981506e-06,27.821388244628906,0.0,0.7568359375,2.345310926437378,68.0,111000.0,1001
4,2.0,8,A_w100_T10000_std_lr0.01_s8,5.0,4.0,0.96,100,0.21875,0.0015838214894756675,0.0033009559847414494,25.594711303710938,0.0,0.0,1.1604605913162231,79.0,141000.0,1001
4,2.0,9,A_w100_T10000_std_lr0.01_s9,5.0,13.0,0.87,100,0.1875,0.5370287299156189,8.174524555215612e-05,21.429399490356445,0.7568359375,0.7568359375,1.821445107460022,76.0,151000.0,1001
8,3.0,0,A_w100_T10000_std_lr0.01_s0,3.5355339059327378,3.0,0.97,100,0.9375,2.92619475317224e-08,0.0002072534989565611,28.75035285949707,2.13623046875,1.904296875,2.0925729274749756,68.0,43000.0,1001
8,3.0,1,A_w100_T10000_std_lr0.01_s1,3.5355339059327378,5.0,0.95,100,0.09375,5.550832710143894e-11,4.230909689795226e-05,25.35114288330078,2.13623046875,0.37841796875,0.962477445602417,83.0,111000.0,1001
8,3.0,2,A_w100_T10000_std_lr0.01_s2,3.5355339059327378,3.0,0.97,100,0.78125,0.0010868579847738147,0.0025495821610093117,11.113807678222656,0.37841796875,1.904296875,1.7219231128692627,78.0,74000.0,1001
8,3.0,3,A_w100_T10000_std_lr0.01_s3,3.5355339059327378,4.0,0.96,100,0.234375,5.325118124233086e-10,0.12382930517196655,7.913614273071289,0.0,1.904296875,2.9007856845855713,79.0,101000.0,1001
8,3.0,4,A_w100_T10000_std_lr0.01_s4,3.5355339059327378,7.0,0.9299999999999999,100,0.1875,0.7887702584266663,0.1598009169101715,16.686731338500977,0.0,1.904296875,1.9337352514266968,68.0,111000.0,1001
8,3.0,5,A_w100_T10000_std_lr0.01_s5,3.5355339059327378,4.0,0.96,100,0.1875,2.2170033275870082e-07,6.710397428832948e-06,23.301294326782227,3.125,0.37841796875,0.888467013835907,81.0,171000.0,1001
8,3.0,6,A_w100_T10000_std_lr0.01_s6,3.5355339059327378,0.0,1.0,100,,0.3790428936481476,3.62268770004448e-06,51.09404373168945,3.11279296875,2.13623046875,1.6594123840332031,77.0,41000.0,1001
8,3.0,7,A_w100_T10000_std_lr0.01_s7,3.5355339059327378,6.0,0.94,100,0.203125,6.605330327147385e-06,0.00018545985221862793,10.495660781860352,0.37841796875,0.37841796875,0.6960934400558472,68.0,72000.0,1001
8,3.0,8,A_w100_T10000_std_lr0.01_s8,3.5355339059327378,3.0,0.97,100,0.53125,0.3088705539703369,0.20703119039535522,10.050697326660156,3.125,2.91748046875,2.8281776905059814,79.0,21000.0,1001
8,3.0,9,A_w100_T10000_std_lr0.01_s9,3.5355339059327378,4.0,0.96,100,0.21875,0.3651418685913086,0.28167152404785156,9.793600082397461,0.732421875,1.904296875,1.6621562242507935,76.0,91000.0,1001
32,5.0,0,A_w100_T10000_std_lr0.01_s0,1.7677669529663689,1.0,0.99,100,0.8125,0.2877550721168518,0.26909351348876953,1.2850346565246582,0.18310546875,1.25732421875,1.379114031791687,68.0,132000.0,1001
32,5.0,1,A_w100_T10000_std_lr0.01_s1,1.7677669529663689,3.0,0.97,100,0.25,0.2064816653728485,0.14363102614879608,11.012609481811523,1.1688232421875,1.0223388671875,1.1983346939086914,83.0,112000.0,1001
32,5.0,2,A_w100_T10000_std_lr0.01_s2,1.7677669529663689,6.0,0.94,100,0.28125,0.08378109335899353,0.31203946471214294,14.827603340148926,2.23388671875,1.55029296875,1.7333191633224487,78.0,41000.0,1001
32,5.0,3,A_w100_T10000_std_lr0.01_s3,1.7677669529663689,2.0,0.98,100,0.59375,0.5650872588157654,0.5092748403549194,29.659093856811523,2.1453857421875,1.513671875,1.8329845666885376,79.0,56000.0,1001
32,5.0,4,A_w100_T10000_std_lr0.01_s4,1.7677669529663689,1.0,0.99,100,0.96875,0.5695613622665405,0.28780174255371094,21.465377807617188,2.03857421875,1.3885498046875,1.6219985485076904,68.0,51000.0,1001
32,5.0,5,A_w100_T10000_std_lr0.01_s5,1.7677669529663689,2.0,0.98,100,0.09375,1.1666458910042365e-09,0.09509952366352081,1.0762463808059692,0.6072998046875,0.86669921875,1.0113452672958374,81.0,171000.0,1001
32,5.0,6,A_w100_T10000_std_lr0.01_s6,1.7677669529663689,3.0,0.97,100,0.53125,0.32324978709220886,0.15034160017967224,0.52137690782547,0.57373046875,1.0467529296875,1.080852746963501,77.0,81000.0,1001
32,5.0,7,A_w100_T10000_std_lr0.01_s7,1.7677669529663689,3.0,0.97,100,0.375,0.19386518001556396,0.3396907448768616,3.777045249938965,0.8514404296875,1.5625,1.6982803344726562,68.0,121000.0,1001
32,5.0,8,A_w100_T10000_std_lr0.01_s8,1.7677669529663689,1.0,0.99,100,0.9375,0.8471689224243164,0.1930645853281021,8.068801879882812,1.35498046875,1.64794921875,1.742440938949585,79.0,71000.0,1001
32,5.0,9,A_w100_T10000_std_lr0.01_s9,1.7677669529663689,14.0,0.86,100,0.09375,0.001341990428045392,0.0034678743686527014,9.251394271850586,1.513671875,1.513671875,1.6179072856903076,76.0,73000.0,1001
100,6.643856189774724,0,A_w100_T10000_std_lr0.01_s0,1.0,5.0,0.95,100,0.15625,0.2534646987915039,0.2695362865924835,1.1859145164489746,0.609375,1.2802734375,1.5582600831985474,68.0,101000.0,1001
100,6.643856189774724,1,A_w100_T10000_std_lr0.01_s1,1.0,5.0,0.95,100,0.1875,0.2465292513370514,0.04235034063458443,8.218121528625488,1.7724609375,1.49609375,1.7994359731674194,83.0,131000.0,1001
100,6.643856189774724,2,A_w100_T10000_std_lr0.01_s2,1.0,5.0,0.95,100,0.3125,0.4679436683654785,0.5233466625213623,2.4115233421325684,1.0,1.234375,1.3374263048171997,78.0,84000.0,1001
100,6.643856189774724,3,A_w100_T10000_std_lr0.01_s3,1.0,2.0,0.98,100,0.703125,0.9773589372634888,0.4366515576839447,2.495279550552368,0.80859375,1.3974609375,1.469114899635315,79.0,85000.0,1001
100,6.643856189774724,4,A_w100_T10000_std_lr0.01_s4,1.0,1.0,0.99,100,0.78125,0.6302852630615234,0.6326903104782104,2.596376419067383,1.6865234375,1.796875,1.9871017932891846,68.0,55000.0,1001
100,6.643856189774724,5,A_w100_T10000_std_lr0.01_s5,1.0,13.0,0.87,100,0.28125,0.003060765564441681,0.021205246448516846,1.4906026124954224,1.1708984375,1.30859375,1.3797130584716797,81.0,143000.0,1001
100,6.643856189774724,6,A_w100_T10000_std_lr0.01_s6,1.0,5.0,0.95,100,0.25,0.18580760061740875,0.22000548243522644,2.0580825805664062,2.12109375,1.4599609375,1.5261223316192627,77.0,26000.0,1001
100,6.643856189774724,7,A_w100_T10000_std_lr0.01_s7,1.0,5.0,0.95,100,0.3125,0.13585926592350006,0.38227325677871704,2.82246994972229,3.02734375,1.49609375,1.5370762348175049,68.0,64000.0,1001
100,6.643856189774724,8,A_w100_T10000_std_lr0.01_s8,1.0,5.0,0.95,100,0.5625,0.16196274757385254,0.6036770939826965,3.6918022632598877,1.5615234375,1.30859375,1.2872469425201416,79.0,81000.0,1001
100,6.643856189774724,9,A_w100_T10000_std_lr0.01_s9,1.0,7.0,0.9299999999999999,100,0.1875,0.6049844622612,0.31474554538726807,2.0504822731018066,1.7568359375,2.21484375,2.449005126953125,76.0,31000.0,1001
