exp,width,period,enc,c,kappa,lr,batch,seed,method,method_cfg,run_id,target_hidden,out_scale,H_T
A,100,10000,std,,1,0.01,1,0,none,{'name': 'none'},A_w100_T10000_std_lr0.01_s0,1,10.0,1
A,100,10000,std,,1,0.01,1,1,none,{'name': 'none'},A_w100_T10000_std_lr0.01_s1,1,10.0,1
A,100,10000,std,,1,0.01,1,2,none,{'name': 'none'},A_w100_T10000_std_lr0.01_s2,1,10.0,1
A,100,10000,std,,1,0.01,1,3,none,{'name': 'none'},A_w100_T10000_std_lr0.01_s3,1,10.0,1
A,100,10000,std,,1,0.01,1,4,none,{'name': 'none'},A_w100_T10000_std_lr0.01_s4,1,10.0,1
A,100,10000,std,,1,0.01,1,5,none,{'name': 'none'},A_w100_T10000_std_lr0.01_s5,1,10.0,1
A,100,10000,std,,1,0.01,1,6,none,{'name': 'none'},A_w100_T10000_std_lr0.01_s6,1,10.0,1
A,100,10000,std,,1,0.01,1,7,none,{'name': 'none'},A_w100_T10000_std_lr0.01_s7,1,10.0,1
A,100,10000,std,,1,0.01,1,8,none,{'name': 'none'},A_w100_T10000_std_lr0.01_s8,1,10.0,1
A,100,10000,std,,1,0.01,1,9,none,{'name': 'none'},A_w100_T10000_std_lr0.01_s9,1,10.0,1
A,100,10000,std,,1,0.01,1,0,none,{'name': 'none'},A_w100_T10000_std_lr0.01_s0,2,7.0710678118654755,2
A,100,10000,std,,1,0.01,1,1,none,{'name': 'none'},A_w100_T10000_std_lr0.01_s1,2,7.0710678118654755,2
A,100,10000,std,,1,0.01,1,2,none,{'name': 'none'},A_w100_T10000_std_lr0.01_s2,2,7.0710678118654755,2
A,100,10000,std,,1,0.01,1,3,none,{'name': 'none'},A_w100_T10000_std_lr0.01_s3,2,7.0710678118654755,2
A,100,10000,std,,1,0.01,1,4,none,{'name': 'none'},A_w100_T10000_std_lr0.01_s4,2,7.0710678118654755,2
A,100,10000,std,,1,0.01,1,5,none,{'name': 'none'},A_w100_T10000_std_lr0.01_s5,2,7.0710678118654755,2
A,100,10000,std,,1,0.01,1,6,none,{'name': 'none'},A_w100_T10000_std_lr0.01_s6,2,7.0710678118654755,2
