H_T,dead_median,dead_mean,alive_median,n_seed_ge,n_seed,valid,agree_mean
1,0.54,0.554,46.0,5,10,True,True
2,0.5800000000000001,0.635,42.0,7,10,True,True
4,0.96,0.9449999999999997,4.0,10,10,True,True
8,0.96,0.961,4.0,10,10,True,True
32,0.975,0.9639999999999999,2.5,10,10,True,True
100,0.95,0.9469999999999998,5.0,10,10,True,True
