section,verdict,detail
B_EE,MIXED,delta=0.0423 eps1e-6/s0:+0.0035 eps1e-6/s1:-0.0095 eps1e-6/s2:-0.0487 eps1e-30/s0:+0.0189 eps1e-30/s1:+0.0145 eps1e-30/s2:+0.0149
B_LE,MIXED,delta=0.0213 eps1e-6/s0:-0.0042 eps1e-6/s1:-0.0189 eps1e-6/s2:-0.0055 eps1e-30/s0:+0.0488 eps1e-30/s1:+0.0408 eps1e-30/s2:+0.0392
C1_RL_EE_inLN,RESCUED,RESCUED RESCUED RESCUED
C2_RL_LE_inLN,RESCUED,
C3_RL_EE_preLN,RESCUED,
C4_RL_EE_preLN_a,RESCUED,RESCUED RESCUED RESCUED
