part,model,first_cone,first_pin,first_eps,first_gate,first_absorbed,first_floor_task,late_acc,floor_thr,at_floor
chimera,RL_ELU1>ELU1_s0,t2+75,t5+75,t17+375,t3+75,t2+75,13,0.10226249800000001,0.12276671928110718,True
chimera,RL_ELU1>LR_s0,t3+75,t4+75,,,t3+75,,0.33031042,0.12276671928110718,False
chimera,RL_LR>ELU1_s0,t2+75,t5+75,t22+6000,t5+375,t4+75,16,0.102280212,0.12276671928110718,True
chimera,RL_LR>LR_s0,t3+75,t6+375,,,t7+75,,0.48426041,0.12276671928110718,False
chimera,PM_ELU1>ELU1_s0,t10+75,,,,,,0.9887510299999999,0.1191667,False
chimera,PM_ELU1>LR_s0,t17+75,,,,,,0.9894739400000001,0.1191667,False
chimera,PM_LR>ELU1_s0,,,,,,,0.98704687,0.1191667,False
chimera,PM_LR>LR_s0,,,,,,,0.98551564,0.1191667,False
chimera,RL_ELU1>ELU1_s1,t2+75,t4+75,t15+75,t3+75,t2+75,11,0.102315628,0.12079148826029182,True
chimera,RL_ELU1>LR_s1,t3+75,t5+75,,,t3+75,,0.30492397,0.12079148826029182,False
chimera,RL_LR>ELU1_s1,t2+75,t2+75,t22+6000,t6+75,t2+75,18,0.10307292399999998,0.12079148826029182,True
chimera,RL_LR>LR_s1,t3+75,t4+75,,,t5+75,,0.49100207000000007,0.12079148826029182,False
chimera,PM_ELU1>ELU1_s1,t9+75,,,,t16+75,,0.9883926900000001,0.1141667,False
chimera,PM_ELU1>LR_s1,t18+75,,,,,,0.98921248,0.1141667,False
chimera,PM_LR>ELU1_s1,t49+0,,,,,,0.98755103,0.1141667,False
chimera,PM_LR>LR_s1,,,,,,,0.9850926999999998,0.1141667,False
chimera,RL_ELU1>ELU1_s2,t2+75,t4+75,t20+1500,t3+75,t2+75,16,0.10209480099999999,0.11822478634406863,True
chimera,RL_ELU1>LR_s2,t2+75,t4+75,,,t3+75,,0.30780001,0.11822478634406863,False
chimera,RL_LR>ELU1_s2,t2+75,t11+75,t30+6000,t6+375,t9+75,22,0.10693855,0.11822478634406863,True
chimera,RL_LR>LR_s2,t2+75,t2+75,,,t4+75,,0.48927188,0.11822478634406863,False
chimera,PM_ELU1>ELU1_s2,t7+75,,,,,,0.9882687499999999,0.1158333,False
chimera,PM_ELU1>LR_s2,t11+75,,,,,,0.98876874,0.1158333,False
chimera,PM_LR>ELU1_s2,,,,,,,0.98360624,0.1158333,False
chimera,PM_LR>LR_s2,,,,,,,0.98398854,0.1158333,False
ext150,RL_LR_s0,t51+6000,,,,,,0.44290626,0.11624608056212557,False
ext150,RL_ELU1_s0,t9+6000,t13+6000,t17+6000,t8+6000,t12+6000,14,0.099649991,0.11624608056212557,True
ext150,RL_R_s0,,,t7+6000,t26+6000,t11+6000,5,0.11208853999999999,0.11624608056212557,True
ext150,RL_GELU_s0,,t72+6000,,,,,0.17492706,0.11624608056212557,False
ext150,RL_SILU_s0,t12+6000,t21+6000,t57+6000,t4+6000,t10+6000,35,0.11216143,0.11624608056212557,True
ext150,PM_LR_s0,t82+0,,,,,,0.97171665,0.1191667,False
ext150,PM_ELU1_s0,t22+0,,,t140+6000,t117+0,,0.96939166,0.1191667,False
ext150,PM_R_s0,t41+0,t30+0,t30+6000,t125+0,t41+0,,0.7865916499999999,0.1191667,False
ext150,PM_GELU_s0,t26+0,t47+6000,t68+6000,t61+6000,t63+6000,68,0.11735000999999998,0.1191667,True
ext150,PM_SILU_s0,t7+0,t72+6000,,t59+6000,t7+0,,0.22309272,0.1191667,False
ext150,RL_LR_s1,t17+6000,,,,,,0.45833957,0.11953097169419127,False
ext150,RL_ELU1_s1,t9+6000,t11+6000,t15+6000,t8+6000,t10+6000,11,0.100197913,0.11953097169419127,True
ext150,RL_R_s1,t8+6000,t13+6000,t7+6000,t23+6000,t14+6000,5,0.11361044000000001,0.11953097169419127,True
ext150,RL_GELU_s1,,t68+6000,,,,,0.16863125,0.11953097169419127,False
ext150,RL_SILU_s1,t12+6000,t22+6000,t62+6000,t4+6000,t12+6000,31,0.11365936000000001,0.11953097169419127,True
ext150,PM_LR_s1,,,,,,,0.96654685,0.1141667,False
ext150,PM_ELU1_s1,t12+0,t132+0,,t105+0,t107+0,,0.95747499,0.1141667,False
ext150,PM_R_s1,t22+0,t27+0,t18+6000,t79+0,t30+0,,0.8266020700000001,0.1141667,False
ext150,PM_GELU_s1,t80+0,t54+6000,t105+6000,t81+6000,t100+6000,117,0.11419064999999999,0.1141667,False
ext150,PM_SILU_s1,,t93+6000,,,,,0.91114166,0.1141667,False
ext150,RL_LR_s2,,,,,,,0.45760417000000003,0.12103132866811206,False
ext150,RL_ELU1_s2,t9+6000,t13+6000,t20+6000,t8+6000,t13+6000,16,0.101732282,0.12103132866811206,True
ext150,RL_R_s2,t9+6000,,t7+6000,t26+6000,t15+6000,5,0.11546455999999998,0.12103132866811206,True
ext150,RL_GELU_s2,,t74+6000,,,,,0.16981874000000002,0.12103132866811206,False
ext150,RL_SILU_s2,,t53+6000,,,,,0.23441248999999997,0.12103132866811206,False
ext150,PM_LR_s2,,,,,,,0.96934373,0.1158333,False
ext150,PM_ELU1_s2,t32+0,t76+0,,t99+0,t88+0,,0.9565781099999999,0.1158333,False
ext150,PM_R_s2,t22+0,t31+0,t17+6000,,t30+0,,0.6085010500000001,0.1158333,False
ext150,PM_GELU_s2,t55+0,t63+0,t64+6000,t58+6000,t60+6000,66,0.11583122000000001,0.1158333,True
ext150,PM_SILU_s2,t16+0,t32+0,t142+6000,t40+0,t58+6000,,0.23937291000000002,0.1158333,False
variant,RL_ELU1>ELU1_none_s0,t2+75,t5+75,t17+375,t3+75,t2+75,13,0.10226249800000001,0.12276671928110718,True
variant,RL_ELU1>ELU1_inLN_s0,t2+75,,,t38+6000,t2+75,,0.27104269000000003,0.12276671928110718,False
variant,RL_ELU1>ELU1_inLN_a_s0,t2+75,,t29+6000,t5+75,t2+75,21,0.110257297,0.12276671928110718,True
variant,RL_ELU1>ELU1_preLN_s0,t2+75,,,,,,0.48132396,0.12276671928110718,False
variant,RL_ELU1>ELU1_preLN_a_s0,t2+75,,,,,,0.72476042,0.12276671928110718,False
variant,RL_ELU1>LR_none_s0,t3+75,t4+75,,,t3+75,,0.33031042,0.12276671928110718,False
variant,RL_ELU1>LR_inLN_s0,t12+375,,,,t2+75,,0.21147603999999998,0.12276671928110718,False
variant,RL_ELU1>LR_inLN_a_s0,t7+75,,,,t2+75,,0.24163228,0.12276671928110718,False
variant,RL_ELU1>LR_preLN_s0,t2+75,,,,t8+375,,0.45513229000000005,0.12276671928110718,False
variant,RL_ELU1>LR_preLN_a_s0,t2+75,,,,t3+75,,0.67212394,0.12276671928110718,False
variant,RL_LR>ELU1_none_s0,t2+75,t5+75,t22+6000,t5+375,t4+75,16,0.102280212,0.12276671928110718,True
variant,RL_LR>ELU1_inLN_s0,t2+75,,,t9+75,t2+75,,0.27026771,0.12276671928110718,False
variant,RL_LR>ELU1_inLN_a_s0,t2+75,,t23+6000,t6+75,t2+75,19,0.10582397000000002,0.12276671928110718,True
variant,RL_LR>ELU1_preLN_s0,t2+75,,,,,,0.64473852,0.12276671928110718,False
variant,RL_LR>ELU1_preLN_a_s0,t2+75,,,,,,0.6857135299999999,0.12276671928110718,False
variant,RL_LR>LR_none_s0,t3+75,t6+375,,,t7+75,,0.48426041,0.12276671928110718,False
variant,RL_LR>LR_inLN_s0,t2+75,,,,t2+75,,0.39777186999999997,0.12276671928110718,False
variant,RL_LR>LR_inLN_a_s0,t5+75,,,,t2+75,,0.41121457999999994,0.12276671928110718,False
variant,RL_LR>LR_preLN_s0,t2+75,,,,,,0.49769374000000005,0.12276671928110718,False
variant,RL_LR>LR_preLN_a_s0,t2+75,,,,t11+75,,0.45080833,0.12276671928110718,False
variant,PM_ELU1>ELU1_none_s0,t10+75,,,,,,0.9887510299999999,0.1191667,False
variant,PM_ELU1>ELU1_inLN_s0,,,,,,,0.9927062400000001,0.1191667,False
variant,PM_ELU1>ELU1_inLN_a_s0,,,,,,,0.99179374,0.1191667,False
variant,PM_ELU1>ELU1_preLN_s0,,,,,,,0.9841062299999999,0.1191667,False
variant,PM_ELU1>ELU1_preLN_a_s0,,,,,,,0.9880531100000003,0.1191667,False
variant,PM_ELU1>LR_none_s0,t17+75,,,,,,0.9894739400000001,0.1191667,False
variant,PM_ELU1>LR_inLN_s0,,,,,,,0.9905083300000002,0.1191667,False
variant,PM_ELU1>LR_inLN_a_s0,,,,,,,0.98985311,0.1191667,False
variant,PM_ELU1>LR_preLN_s0,,,,,,,0.9869447999999998,0.1191667,False
variant,PM_ELU1>LR_preLN_a_s0,,,,,,,0.9873645900000001,0.1191667,False
variant,PM_LR>ELU1_none_s0,,,,,,,0.98704687,0.1191667,False
variant,PM_LR>ELU1_inLN_s0,,,,,,,0.9921781300000001,0.1191667,False
variant,PM_LR>ELU1_inLN_a_s0,,,,,,,0.9907541500000001,0.1191667,False
variant,PM_LR>ELU1_preLN_s0,,,,,,,0.98720207,0.1191667,False
variant,PM_LR>ELU1_preLN_a_s0,,,,,,,0.9885260500000002,0.1191667,False
variant,PM_LR>LR_none_s0,,,,,,,0.98551564,0.1191667,False
variant,PM_LR>LR_inLN_s0,,,,,,,0.9882937400000001,0.1191667,False
variant,PM_LR>LR_inLN_a_s0,,,,,,,0.9885395699999998,0.1191667,False
variant,PM_LR>LR_preLN_s0,,,,,,,0.98736459,0.1191667,False
variant,PM_LR>LR_preLN_a_s0,,,,,,,0.98707917,0.1191667,False
variant,RL_ELU1>ELU1_none_s1,t2+75,t4+75,t15+75,t3+75,t2+75,11,0.102315628,0.12079148826029182,True
variant,RL_ELU1>ELU1_inLN_s1,t2+75,,,,t2+75,,0.28283227,0.12079148826029182,False
variant,RL_ELU1>ELU1_inLN_a_s1,t2+75,,t24+6000,t6+75,t2+75,18,0.11103749999999998,0.12079148826029182,True
variant,RL_ELU1>ELU1_preLN_s1,t2+75,,,,,,0.47488853,0.12079148826029182,False
variant,RL_ELU1>ELU1_preLN_a_s1,t2+75,,,,,,0.737425,0.12079148826029182,False
variant,RL_ELU1>LR_none_s1,t3+75,t5+75,,,t3+75,,0.30492397,0.12079148826029182,False
variant,RL_ELU1>LR_inLN_s1,t12+375,,,,t2+75,,0.21089479,0.12079148826029182,False
variant,RL_ELU1>LR_inLN_a_s1,t9+75,,,,t2+75,,0.23725105000000002,0.12079148826029182,False
variant,RL_ELU1>LR_preLN_s1,t2+75,,,,t8+75,,0.45471978,0.12079148826029182,False
variant,RL_ELU1>LR_preLN_a_s1,t2+75,,,,t4+75,,0.65980832,0.12079148826029182,False
variant,RL_LR>ELU1_none_s1,t2+75,t2+75,t22+6000,t6+75,t2+75,18,0.10307292399999998,0.12079148826029182,True
variant,RL_LR>ELU1_inLN_s1,t13+375,,,t8+75,t2+75,,0.27521874,0.12079148826029182,False
variant,RL_LR>ELU1_inLN_a_s1,t2+75,,t29+6000,t4+75,t2+75,21,0.110596878,0.12079148826029182,True
variant,RL_LR>ELU1_preLN_s1,t2+75,,,,,,0.64813332,0.12079148826029182,False
variant,RL_LR>ELU1_preLN_a_s1,t2+75,,,,,,0.66790415,0.12079148826029182,False
variant,RL_LR>LR_none_s1,t3+75,t4+75,,,t5+75,,0.49100207000000007,0.12079148826029182,False
variant,RL_LR>LR_inLN_s1,,,,,t2+75,,0.37955311999999997,0.12079148826029182,False
variant,RL_LR>LR_inLN_a_s1,t11+375,,,,t2+75,,0.43285625000000005,0.12079148826029182,False
variant,RL_LR>LR_preLN_s1,t2+75,,,,,,0.50113958,0.12079148826029182,False
variant,RL_LR>LR_preLN_a_s1,t2+75,,,,t11+75,,0.46216251,0.12079148826029182,False
variant,PM_ELU1>ELU1_none_s1,t9+75,,,,t16+75,,0.9883926900000001,0.1141667,False
variant,PM_ELU1>ELU1_inLN_s1,,,,,,,0.99230833,0.1141667,False
variant,PM_ELU1>ELU1_inLN_a_s1,,,,,,,0.9908166600000001,0.1141667,False
variant,PM_ELU1>ELU1_preLN_s1,,,,,,,0.9833000000000001,0.1141667,False
variant,PM_ELU1>ELU1_preLN_a_s1,,,,,,,0.98793437,0.1141667,False
variant,PM_ELU1>LR_none_s1,t18+75,,,,,,0.98921248,0.1141667,False
variant,PM_ELU1>LR_inLN_s1,,,,,,,0.9896968600000001,0.1141667,False
variant,PM_ELU1>LR_inLN_a_s1,,,,,,,0.9893437199999999,0.1141667,False
variant,PM_ELU1>LR_preLN_s1,,,,,,,0.98651249,0.1141667,False
variant,PM_ELU1>LR_preLN_a_s1,,,,,,,0.98729584,0.1141667,False
variant,PM_LR>ELU1_none_s1,t49+0,,,,,,0.98755103,0.1141667,False
variant,PM_LR>ELU1_inLN_s1,,,,,,,0.9921281200000001,0.1141667,False
variant,PM_LR>ELU1_inLN_a_s1,,,,,,,0.9905625,0.1141667,False
variant,PM_LR>ELU1_preLN_s1,,,,,,,0.9868666599999999,0.1141667,False
variant,PM_LR>ELU1_preLN_a_s1,,,,,,,0.9868062500000001,0.1141667,False
variant,PM_LR>LR_none_s1,,,,,,,0.9850926999999998,0.1141667,False
variant,PM_LR>LR_inLN_s1,,,,,,,0.9886479000000001,0.1141667,False
variant,PM_LR>LR_inLN_a_s1,,,,,,,0.98833229,0.1141667,False
variant,PM_LR>LR_preLN_s1,,,,,,,0.98653124,0.1141667,False
variant,PM_LR>LR_preLN_a_s1,,,,,,,0.9870427000000002,0.1141667,False
variant,RL_ELU1>ELU1_none_s2,t2+75,t4+75,t20+1500,t3+75,t2+75,16,0.10209480099999999,0.11822478634406863,True
variant,RL_ELU1>ELU1_inLN_s2,,,,t10+375,t2+75,,0.23564166000000003,0.11822478634406863,False
variant,RL_ELU1>ELU1_inLN_a_s2,t9+75,,,t5+75,t2+75,,0.13659895,0.11822478634406863,False
variant,RL_ELU1>ELU1_preLN_s2,t2+75,,,,,,0.4809885400000001,0.11822478634406863,False
