pair,arm,seed,D,D_none,dD,delta,absz50,absz50_none,at_floor,late_acc,first_floor,eps_first,eps_first_none
EE,eps1e-6,0,-0.9992955102271223,-1.002775448247402,0.0034799380202797936,0.04233480131993801,155.77197265625,155.7276611328125,True,0.101373954,13,t15+3000,t17+375
EE,eps1e-6,1,-1.005407325674777,-0.9959025022746619,-0.009504823400115159,0.04233480131993801,118.30728149414062,155.76962280273438,True,0.10197083300000001,15,t16+1500,t15+75
EE,eps1e-6,2,-1.0376396775456436,-0.9889504627449892,-0.04868921480065436,0.04233480131993801,125.04225158691406,147.71621704101562,True,0.100528123,13,t13+6000,t20+1500
EE,eps1e-30,0,-0.9838565451396715,-1.002775448247402,0.01891890310773059,0.04233480131993801,150.281005859375,155.7276611328125,True,0.107191642,13,,t17+375
EE,eps1e-30,1,-0.9814404090154667,-0.9959025022746619,0.01446209325919523,0.04233480131993801,123.15740966796875,155.76962280273438,True,0.10979792,17,,t15+75
EE,eps1e-30,2,-0.9740428998243272,-0.9889504627449892,0.014907562920661976,0.04233480131993801,116.18097686767578,147.71621704101562,True,0.11131562499999999,13,,t20+1500
LE,eps1e-6,0,-0.9662727583092756,-0.9621190556618318,-0.004153702647443858,0.021257475897273392,150.41958618164062,168.34979248046875,True,0.10150831899999999,15,t17+375,t22+6000
LE,eps1e-6,1,-0.9718632562865006,-0.953006133735561,-0.01885712255093963,0.021257475897273392,152.80905151367188,151.97535705566406,True,0.103379164,17,t18+6000,t22+6000
LE,eps1e-6,2,-0.9676283405507347,-0.9621156964501407,-0.005512644100593933,0.021257475897273392,158.030029296875,138.44366455078125,True,0.10206561600000001,17,t18+375,t30+6000
LE,eps1e-30,0,-0.9133522269178129,-0.9621190556618318,0.04876682874401883,0.021257475897273392,99.8274917602539,168.34979248046875,True,0.11339689,20,,t22+6000
LE,eps1e-30,1,-0.9122019513705524,-0.953006133735561,0.0408041823650086,0.021257475897273392,110.796142578125,151.97535705566406,True,0.11184581999999998,19,,t22+6000
LE,eps1e-30,2,-0.922952780557962,-0.9621156964501407,0.039162915892178685,0.021257475897273392,103.97203063964844,138.44366455078125,True,0.11179272,19,,t30+6000
