seed,env,act1,act2,task,floor_acc,online_acc,online_ce,finite,train_acc,train_ce,a1_rms,wnorm_l1,wnorm_l2,wnorm_l3,cnorm_l1,lowgate_l1,nearzero_l1
0,RL,ELU1,ELU1,1,0.1166667,0.7906354,0.6097195,True,1,0.008020378,0.7175004,3.46952,1.613421,2.430487,3.462552,0.04721667,0.584875
0,RL,ELU1,LR,1,0.1166667,0.8210208,0.5413179,True,1,0.008893917,0.9173511,3.513795,1.805154,2.739451,3.504329,0.03088334,0.5850251
0,RL,LR,ELU1,1,0.1166667,0.8715104,0.3871832,True,0.7758334,0.763654,0.5096034,2.747563,1.588655,2.619211,2.73813,0,0.44285
0,RL,LR,LR,1,0.1166667,0.8567396,0.4328807,True,1,0.003140997,0.7560163,3.022515,1.650563,2.462571,3.014975,0,0.5459334
0,PM,ELU1,ELU1,1,0.1191667,0.9897604,0.03957858,True,1,4.956246e-05,1.471849,1.517451,1.130471,1.429259,1.50559,0.003633333,0.499375
0,PM,ELU1,LR,1,0.1191667,0.9888333,0.04271858,True,1,5.850951e-05,1.751588,1.602507,1.128707,1.41592,1.576861,0.04694167,0.4097167
0,PM,LR,ELU1,1,0.1191667,0.9898333,0.03899468,True,1,4.46415e-05,1.530091,1.503299,1.056512,1.438226,1.493848,0,0.4768917
0,PM,LR,LR,1,0.1191667,0.9883021,0.04333531,True,1,5.462984e-05,1.803502,1.608235,1.075464,1.370513,1.589615,0,0.37315
1,RL,ELU1,ELU1,1,0.1241667,0.800052,0.5881906,True,1,0.005554294,0.7195928,3.343224,1.612986,2.46771,3.33772,0.03724167,0.6138334
1,RL,ELU1,LR,1,0.1241667,0.8216041,0.5383677,True,0.9925,0.0455597,0.861244,3.453643,1.802994,2.778339,3.446092,0.03228334,0.5907
1,RL,LR,ELU1,1,0.1241667,0.8738854,0.3752347,True,1,0.001325467,0.679757,2.586874,1.556549,2.684951,2.580611,0,0.6211417
1,RL,LR,LR,1,0.1241667,0.8613333,0.4136801,True,1,0.001649264,0.832066,2.778154,1.599712,2.449395,2.771496,0,0.5829334
1,PM,ELU1,ELU1,1,0.1141667,0.9887396,0.04018169,True,1,5.719582e-05,1.596516,1.548439,1.123096,1.436904,1.534448,0.008141667,0.4660333
