seed,env,act1,act2,arm,eps,task,floor_acc,online_acc,online_ce,finite,train_acc,train_ce,a1_rms,wnorm_l1,wnorm_l2,wnorm_l3,cnorm_l1,lowgate_l1,nearzero_l1
0,RL,ELU1,ELU1,none,1e-08,1,0.1166667,0.7906354,0.6097195,True,1,0.008020378,0.7175004,3.46952,1.613421,2.430487,3.462552,0.04721667,0.584875
0,RL,ELU1,ELU1,inLN,1e-08,1,0.1166667,0.8757604,0.3606662,True,1,0.0003593008,0.9969405,1.686566,1.18255,1.74287,1.681602,0.5814666,0.1251583
0,RL,ELU1,ELU1,inLN_a,1e-08,1,0.1166667,0.871125,0.3727655,True,1,0.0004556489,1.06683,1.796171,1.16016,1.63335,1.791455,0.5884666,0.12665
0,RL,ELU1,ELU1,preLN,1e-08,1,0.1166667,0.8260416,0.5171323,True,1,0.006329273,0.7414059,2.630402,0.9230214,2.177681,2.627369,0.006916666,0.7162584
0,RL,ELU1,ELU1,preLN_a,1e-08,1,0.1166667,0.8442917,0.453575,True,1,0.0008490479,0.7771078,2.270784,0.8372544,1.772863,2.267837,0.0356,0.6671001
0,RL,ELU1,LR,none,1e-08,1,0.1166667,0.8210208,0.5413179,True,1,0.008893917,0.9173511,3.513795,1.805154,2.739451,3.504329,0.03088334,0.5850251
0,RL,ELU1,LR,inLN,1e-08,1,0.1166667,0.8638542,0.3985032,True,1,0.001015672,1.175521,2.006418,1.371204,2.084693,2.002932,0.5791917,0.1292667
0,RL,ELU1,LR,inLN_a,1e-08,1,0.1166667,0.867875,0.3836779,True,1,0.0006231256,1.123388,1.877103,1.254487,1.854879,1.873369,0.5574334,0.13915
0,RL,ELU1,LR,preLN,1e-08,1,0.1166667,0.8536667,0.4540411,True,1,0.002026564,0.7568566,2.349544,0.8409582,2.79213,2.347625,0.006475,0.7060917
0,RL,ELU1,LR,preLN_a,1e-08,1,0.1166667,0.8578333,0.4287229,True,1,0.001258599,0.7948955,2.296924,0.8550899,2.23998,2.294631,0.02706667,0.652725
0,RL,LR,ELU1,none,1e-08,1,0.1166667,0.8715104,0.3871832,True,0.7758334,0.763654,0.5096034,2.747563,1.588655,2.619211,2.73813,0,0.44285
0,RL,LR,ELU1,inLN,1e-08,1,0.1166667,0.862125,0.401439,True,1,0.0008616507,1.005023,1.796777,1.203338,1.832301,1.79356,0,0.1693833
0,RL,LR,ELU1,inLN_a,1e-08,1,0.1166667,0.864,0.3948507,True,1,0.0006635869,1.026823,1.769205,1.157287,1.731599,1.766137,0,0.1780833
0,RL,LR,ELU1,preLN,1e-08,1,0.1166667,0.8724062,0.3765449,True,1,0.0007207012,0.6972341,2.122245,0.8644795,1.878636,2.118973,0,0.6679417
0,RL,LR,ELU1,preLN_a,1e-08,1,0.1166667,0.8722708,0.3709659,True,1,0.0004687548,0.5798764,2.068028,0.8440368,1.618527,2.064741,0,0.6870167
0,RL,LR,LR,none,1e-08,1,0.1166667,0.8567396,0.4328807,True,1,0.003140997,0.7560163,3.022515,1.650563,2.462571,3.014975,0,0.5459334
0,RL,LR,LR,inLN,1e-08,1,0.1166667,0.8586146,0.4151947,True,1,0.0009200244,1.020237,1.779185,1.29807,2.044922,1.775606,0,0.1785333
0,RL,LR,LR,inLN_a,1e-08,1,0.1166667,0.8614375,0.4065923,True,1,0.0008197344,1.179098,1.882622,1.276325,1.948301,1.880287,0,0.1820917
0,RL,LR,LR,preLN,1e-08,1,0.1166667,0.8756354,0.3790633,True,1,0.0008362162,0.7004564,2.153864,0.8550559,2.405176,2.150749,0,0.6800417
0,RL,LR,LR,preLN_a,1e-08,1,0.1166667,0.8748125,0.3742104,True,1,0.0007956688,0.5840822,2.14785,0.8638961,1.933319,2.14395,0,0.6849833
0,PM,ELU1,ELU1,none,1e-08,1,0.1191667,0.9897604,0.03957858,True,1,4.956246e-05,1.471849,1.517451,1.130471,1.429259,1.50559,0.003633333,0.499375
0,PM,ELU1,ELU1,inLN,1e-08,1,0.1191667,0.9930313,0.02621062,True,1,2.140443e-05,0.8122619,0.7885286,0.8977994,1.174972,0.7861922,0.1575917,0.2954833
