seed,env,act,task,floor_acc,online_acc,online_ce,finite,train_acc,train_ce,zmean_l1,gate_mean_l1,lowgate_l1,tinygate_l1,neggate_l1,zmed_l1,zmean_l2,gate_mean_l2,lowgate_l2,tinygate_l2,neggate_l2,zmed_l2,wnorm_l1,wnorm_l2,wnorm_l3,cnorm_l1
2,RL,SILU,83,0.1108333,0.2601354,1.932953,True,0.345,1.700106,-31.60771,0.0002358188,0.99375,0.775175,0.9974834,-30.70896,-0.7025958,0.2804866,0.08488332,0.00145,0.148,-0.5676645,35.96335,27.13184,7.245703,35.0713
2,PM,LR,83,0.1158333,0.9805312,0.08758031,True,1,0.0001918141,-8.902836,0.2254225,0,0,0,-6.85339,-16.9594,0.176815,0,0,0,-17.20768,15.75676,5.892424,3.870214,15.43745
2,PM,ELU1,83,0.1158333,0.9790104,0.09562099,True,1,0.0002587319,-4.678242,0.2869543,0.6169333,0.043125,0,-5.439673,-31.5024,0.08089669,0.9039335,0.6958084,0,-30.59197,16.13763,6.055319,4.045125,15.99989
2,PM,R,83,0.1158333,0.8237396,0.5044971,True,0.9558334,0.1353688,-7.33988,0.02935,0.97065,0.97065,0,-8.060156,-12.37995,0.1075667,0.8924332,0.8924332,0,-12.55725,8.037672,4.763518,34.47046,7.75637
2,PM,GELU,83,0.1158333,0.1157292,2.30133,True,0.1158333,2.300243,-6.361138,0.06576968,0.8679833,0.6298167,0.7997083,-8.602551,-81.41084,-1.553907e-11,1,0.9999834,0.0026,-64.55097,12.51517,13.73334,24.30961,12.21828
2,PM,SILU,83,0.1158333,0.2395104,2.022957,True,0.3383333,1.773839,-7.875205,0.05566346,0.8334001,0.05600001,0.916575,-9.344049,-35.05739,-0.0006130603,0.9892249,0.735625,0.9702584,-31.48957,16.58715,14.29926,52.76268,16.30309
0,RL,LR,84,0.1166667,0.4483646,1.631513,True,0.7341667,0.8616714,-12.66283,0.113965,0,0,0,-12.62965,-8.933912,0.1257775,0,0,0,-9.390026,32.82722,4.601448,4.175946,32.42836
0,RL,ELU1,84,0.1166667,0.1008333,2.319098,True,0.1166667,2.303204,-1.073253,0.3044389,0.6502917,0.2012417,0,-10.07439,-192.4759,1.144238e-10,1,0.9999917,0,-194.3293,14.00035,4.231622,3.765236,13.71448
0,RL,R,84,0.1166667,0.1154479,2.298695,True,0.1166667,2.297947,-6.015767,0,1,1,0,-7.271012,-0.2757259,0,1,1,0,-0.004251896,3.12973,2.514979,5.253899,3.03622
0,RL,GELU,84,0.1166667,0.2140417,2.060273,True,0.2608334,1.936181,-20.72567,0.0003436537,0.9966417,0.9756666,0.2317667,-20.50092,-0.1301982,0.4460196,0.01970833,0.006575,0.02291667,-0.1240981,18.38681,28.47034,8.825895,18.29121
