arm,seed,lr,task,iv,online_acc,memo_acc,acc,dead_frac_c1,zeroout_c1,zbar_c1,zsd_c1,zbar_min_c1,mob_c1,mob_pool_c1,eff_rank_c1,dead_frac_c2,zeroout_c2,zbar_c2,zsd_c2,zbar_min_c2,mob_c2,mob_pool_c2,eff_rank_c2,dead_frac_f1,zeroout_f1,zbar_f1,zsd_f1,zbar_min_f1,mob_f1,eff_rank_f1,dead_frac_f2,zeroout_f2,zbar_f2,zsd_f2,zbar_min_f2,mob_f2,eff_rank_f2,w_norm_c1,w_norm_c2,w_norm_f1,w_norm_f2,w_norm_f3,alpha_med_c1,alpha_min_c1,alpha_max_c1,alpha_clip_frac_c1,two_alpha_W_med_c1,alpha_med_c2,alpha_min_c2,alpha_max_c2,alpha_clip_frac_c2,two_alpha_W_med_c2,alpha_med_f1,alpha_min_f1,alpha_max_f1,alpha_clip_frac_f1,two_alpha_W_med_f1,alpha_med_f2,alpha_min_f2,alpha_max_f2,alpha_clip_frac_f2,two_alpha_W_med_f2,pool
SNA_avg,2,0.001,1,none,0.9671145833,1,1,0,0,0.06640303135,0.3033517897,-0.1942004412,1.17257905,1.344290853,10.61976844,0,0,-0.4062384665,1.129778504,-1.270958781,0.80938375,1.183720708,14.19704253,0,0,-1.975580692,6.201748371,-12.05245495,0.8149446249,82.10566264,0,0,-0.2919022739,7.672821045,-8.557209015,0.9762309194,71.21487526,0.7876070738,1.685051203,2.747129679,1.046700001,1.037119985,1.967970729,0.963948667,3,0.25,1.200000048,0.4959100187,0.249119252,0.8406072855,0,1.200000048,0.09995143116,0.05707766861,0.144470647,0,1.200000048,0.08074180782,0.0430607833,0.1267271489,0,1.200000048,avg
SNA_avg,2,0.001,2,none,0.9739083333,1,1,0,0,0.0186963845,0.3554834723,-0.7401019335,1.062400103,1.195051551,11.16444464,0,0,-0.3980822265,1.479464173,-1.138917446,0.7691372037,1.163643837,14.49383326,0,0,-4.499938965,7.174219131,-15.35222054,0.6546247005,82.97898657,0,0,-5.654070854,9.67287159,-20.27946091,0.6915258169,76.3518865,0.8782340884,2.064796686,3.612392664,1.283581138,1.12784481,1.626977086,0.8942657113,3,0.125,1.200000048,0.3854548335,0.2315528244,0.7175748944,0,1.200000048,0.08612684906,0.06442386657,0.1116640493,0,1.200000048,0.06356978416,0.04058640078,0.08980755508,0,1.200000048,avg
SNA_avg,2,0.001,3,none,0.9756104167,1,1,0,0,-0.04900290072,0.2997418344,-0.2321955115,0.8870040178,1.066628933,12.56393973,0,0,-0.3587676585,1.114226937,-0.7214052677,0.7811510563,1.195491552,14.54567682,0,0,-4.135712147,6.122578144,-13.62701702,0.6347740889,85.35590985,0,0,-3.040195704,9.165143967,-18.75787354,0.7765190601,77.49965903,0.8704681396,2.281326771,4.248281479,1.466785789,1.232355475,1.921419263,1.294480085,3,0.125,1.200000048,0.5321813226,0.3091672659,0.7208951116,0,1.200000048,0.1013216898,0.06731846184,0.1336229891,0,1.200000048,0.06753510982,0.04188550636,0.1045504212,0,1.200000048,avg
SNA_avg,2,0.001,4,none,0.9715979167,1,1,0,0,-0.02475344017,0.2294207513,-0.3642399311,0.9357837439,1.154826641,12.45969118,0,0,-0.4442336261,1.034305334,-0.9290884733,0.7122821212,1.205432177,14.49260686,0,0,-3.736260653,5.34087944,-12.73914051,0.6575016379,81.67723261,0,0,-8.353924751,9.267983437,-26.57551765,0.6976014376,75.23090229,0.8498705626,2.465090752,4.889892101,1.685650229,1.326072812,2.119381905,1.258167386,3,0.375,1.200000048,0.5649475455,0.377017051,0.8775416017,0,1.200000048,0.1159444898,0.08912345767,0.174259901,0,1.200000048,0.06688340753,0.04795682058,0.09208787978,0,1.200000048,avg
SNA_avg,2,0.001,5,none,0.971875,1,1,0,0,-0.003527275752,0.1991798282,-0.1975901425,0.915243268,1.182091117,11.81440936,0,0,-0.3508363962,0.9187991023,-0.8691919446,0.758146584,1.240225911,14.59322778,0,0,-4.143338203,5.126382351,-13.81747913,0.671715796,80.61211922,0,0,-7.725363255,9.980931282,-27.86597061,0.6594330072,75.47658318,0.8404433727,2.485319138,5.391795635,1.837851286,1.386389136,2.859548569,1.331979513,3,0.5,1.188097954,0.5962426662,0.3817347288,0.8975271583,0,1.200000048,0.1204740852,0.08009231836,0.1710030437,0,1.200000048,0.06246444955,0.04344279319,0.09153223038,0,1.200000048,avg
SNA_avg,2,0.001,6,none,0.9694145833,1,1,0,0,-0.1128971502,0.2024588436,-0.3480769992,0.7546833754,0.9349017739,13.18432412,0,0,-0.3415139914,0.8058278561,-0.5021523237,0.7233107686,1.160893202,14.72046069,0,0,-3.233796358,4.547486782,-12.00196075,0.6799693108,79.81894864,0,0,-9.237154007,9.583156586,-33.63007736,0.6322942376,75.83432504,0.8853977323,2.718903303,5.802864075,1.974450111,1.494171858,2.741211414,1.282223105,3,0.4375,1.200000048,0.7365602851,0.4418571889,1.020368338,0,1.200000048,0.135094285,0.09813088179,0.1788417101,0,1.200000048,0.06436237693,0.04295751452,0.09396012872,0,1.200000048,avg
SNA_avg,2,0.001,7,none,0.9712645833,1,1,0,0,-0.01582081243,0.1978269219,-0.1407224834,1.022619605,1.170390248,12.99128246,0,0,-0.3921480775,0.7756577134,-0.6615670919,0.764354229,1.201880574,15.02739508,0,0,-3.153556585,4.18807888,-10.24388409,0.676522553,80.59579006,0,0,-7.924733162,9.173692703,-30.67738914,0.6316086054,76.00774378,0.8932546973,2.783872604,6.184556484,2.083750248,1.546791196,2.959009886,1.991444945,3,0.5,1.179149151,0.6996934414,0.4616701901,1.045215607,0,1.200000048,0.1478290558,0.1026552245,0.1801761985,0,1.200000048,0.06772720069,0.04725193232,0.09713418037,0,1.200000048,avg
SNA_avg,2,0.001,8,none,0.9655208333,1,1,0,0,-0.04481711984,0.192744866,-0.2404074967,0.8110790253,1.101744771,12.51426942,0,0,-0.2039617151,0.7045662403,-0.5658937693,0.8073382974,1.282453537,14.69474843,0,0,-2.396120071,4.097537041,-12.31656456,0.7856380939,80.32828142,0,0,-9.166759491,9.542499542,-24.22798157,0.6160418987,78.06099864,0.9011226296,2.769915104,6.573810101,2.212586164,1.635429263,3,1.703903556,3,0.5625,1.153965473,0.8361794353,0.4019322991,1.17046082,0,1.200000048,0.1508574784,0.1179172546,0.1895761639,0,1.200000048,0.06509372592,0.04683769494,0.09353654087,0,1.200000048,avg
SNA_avg,2,0.001,9,none,0.96431875,1,1,0,0,-0.001600914868,0.1930607706,-0.172471419,0.9977567792,1.197561622,13.14034349,0,0,-0.469081074,0.7941635847,-0.788911283,0.6426814198,1.094735146,14.89284685,0,0,-3.701290846,4.08124733,-12.03582573,0.6830242872,81.79840369,0,0,-7.267785072,9.214792252,-29.15925598,0.6313624978,77.88325677,0.9088203311,2.932654858,6.927959442,2.266335011,1.680179358,2.844670296,1.956825852,3,0.5,1.158948898,0.7529485226,0.442805618,1.043223977,0,1.200000048,0.1507179737,0.117114611,0.1846598834,0,1.200000048,0.06650397927,0.03786714375,0.1061964408,0,1.200000048,avg
SNA_avg,2,0.001,10,none,0.9666520833,1,1,0,0,-0.01504086517,0.2123424411,-0.4867804945,1.003243685,1.306010842,12.49490044,0,0,-0.4045538306,0.932405889,-1.157021761,0.7369151115,1.210185766,14.93284362,0,0,-4.736692905,5.1764884,-16.51439857,0.6389772892,80.34443094,0,0,-13.62807846,12.00399971,-33.90491486,0.579906106,78.41455695,0.9298031926,3.066768408,7.211537361,2.405593872,1.69399035,2.820049763,1.258836985,3,0.4375,1.200000048,0.6318888664,0.3199375272,0.8063815832,0,1.200000048,0.1194872558,0.08985336125,0.1459248215,0,1.200000048,0.0514258258,0.03805072978,0.07527656853,0,1.200000048,avg
