arm,cond,seed,slot,lr,task,iv,online_acc,memo_acc,acc,dead_frac_l1,zeroout_l1,zbar_l1,zsd_l1,zbar_min_l1,mob_l1,eff_rank_l1,dead_frac_l2,zeroout_l2,zbar_l2,zsd_l2,zbar_min_l2,mob_l2,eff_rank_l2,w_norm_l1,w_norm_l2,w_norm_l3,steps,stop_step,tc,hit99,hit999,acc_at_hit_plus_500,min_correct_after_hit
LR,std,0,0,0.001,19,none,0.916953125,1,1,0,0,-3.410715103,24.1844368,-13.08294582,0.4862501025,77.00945256,0,0,-23.00527,23.15453148,-41.37398911,0.2072499841,78.98124452,6.824589252,1.332357764,0.7465765476,800,800,21600,300,300,1200,1200
LR,std,0,0,0.001,20,none,0.9222916667,1,1,0,0,-3.432779312,24.18322563,-11.69761467,0.4885000587,76.88010982,0,0,-25.1172142,23.15711784,-43.37832642,0.2072499841,80.38520346,6.964422703,1.33506012,0.7326664925,900,900,22500,300,400,1200,1200
LR,std,0,0,0.001,21,none,0.9246527778,1,1,0,0,-3.59725666,24.41186905,-12.73295403,0.487750113,77.09095893,0,0,-25.05179405,23.8545208,-42.28907394,0.2109999806,78.60024816,7.095417976,1.349412322,0.7222768664,900,900,23400,300,400,1200,1200
LR,std,0,0,0.001,22,none,0.9128125,1,1,0,0,-3.835458279,24.83398056,-12.7343111,0.4832501411,77.27129815,0,0,-24.59171104,23.78820038,-41.63037109,0.2079999894,81.23356228,7.199261665,1.35406208,0.7217715979,800,800,24200,300,300,1200,1200
LR,std,0,0,0.001,23,none,0.915703125,1,1,0,0,-4.064199924,25.28871346,-13.15184784,0.4847500622,77.30697927,0,0,-23.67751312,24.14193535,-42.98805618,0.2147499919,80.05846233,7.339643955,1.37561655,0.702141583,800,800,25000,300,300,1200,1200
LR,std,0,0,0.001,24,none,0.9250694444,1,1,0,0,-4.069070816,25.52559471,-12.62295532,0.4840001464,77.30103912,0,0,-26.74774551,24.61633873,-44.28792572,0.1982499808,80.3694031,7.461187363,1.376091957,0.6905751228,900,900,25900,300,400,1200,1200
LR,std,0,0,0.001,25,none,0.9221875,1,1,0,0,-3.849373579,25.64435577,-13.30030632,0.4817501009,77.13292929,0,0,-26.13704109,25.05424118,-45.02203369,0.2080000043,79.21020667,7.561592579,1.385712981,0.6890432239,800,800,26700,300,300,1200,1200
LR,std,0,0,0.001,26,none,0.9218055556,1,1,0,0,-4.474658489,25.9131546,-12.3946352,0.4847500622,77.53769003,0,0,-26.70977783,25.18774033,-47.29815292,0.2027499676,79.35114707,7.663479328,1.392147183,0.682453692,900,900,27600,300,400,1200,1200
LR,std,0,0,0.001,27,none,0.92015625,1,1,0,0,-4.165376186,26.08672905,-13.09431171,0.4825001061,77.31538538,0,0,-26.5995903,24.97693443,-46.05072403,0.206499964,80.0320611,7.743597507,1.399823904,0.6633194089,800,800,28400,200,300,1200,1200
LR,std,0,0,0.001,28,none,0.923203125,1,1,0,0,-4.44382,26.66386414,-12.96140003,0.4795001447,78.1301831,0,0,-27.35950279,25.70882607,-43.56211853,0.1967499703,80.5904697,7.851250648,1.414238811,0.6536303759,800,800,29200,300,300,1200,1200
LR,std,0,0,0.001,29,none,0.9274305556,1,1,0,0,-4.512906075,25.90299797,-13.30343246,0.4802500606,77.54118247,0,0,-26.76377106,26.39883804,-45.8272934,0.2049999833,78.79692492,7.962680817,1.410555482,0.6571319103,900,900,30100,300,400,1200,1200
LR,std,0,0,0.001,30,none,0.92015625,1,1,0,0,-4.409909725,26.36405945,-12.08767319,0.4825001061,78.33565516,0,0,-27.27104378,25.58570099,-44.76530075,0.1967499703,80.85964825,8.037566185,1.415147424,0.6607751846,800,800,30900,300,300,1200,1200
LR,std,0,0,0.001,31,none,0.91953125,1,1,0,0,-4.374000549,26.50017929,-13.76251507,0.477250129,78.12069087,0,0,-26.85673141,26.33355713,-44.71724701,0.2072499841,80.13292279,8.106790543,1.428717136,0.6392040253,800,800,31700,300,300,1200,1200
LR,std,0,0,0.001,32,none,0.93125,1,1,0,0,-4.669868469,27.07333946,-12.74208546,0.4750001132,77.8093124,0,0,-29.5731411,26.85232353,-48.44455338,0.1989999861,80.47767756,8.226187706,1.431395292,0.6438925862,900,900,32600,300,400,1200,1200
LR,std,0,0,0.001,33,none,0.923125,1,1,0,0,-4.254823208,27.19104004,-13.23360729,0.4787501097,78.13250933,0,0,-28.60589981,27.16122818,-46.8265419,0.2042499781,78.73231759,8.302613258,1.439849973,0.6405575871,800,800,33400,200,300,1200,1200
LR,std,0,0,0.001,34,none,0.92671875,1,1,0,0,-4.699444771,27.30757713,-12.92317295,0.4765001535,78.07224431,0,0,-29.23852921,27.32116508,-52.04143524,0.1982499659,80.78828329,8.402468681,1.457548976,0.6410436034,800,800,34200,300,300,1200,1200
LR,std,0,0,0.001,35,none,0.9259375,1,1,0,0,-4.409810543,26.76384544,-14.90534496,0.4802500904,78.76050714,0,0,-27.99430466,26.53263855,-47.8176918,0.2147499919,79.73069314,8.447398186,1.448625922,0.6190192103,800,800,35000,300,300,1200,1200
LR,std,0,0,0.001,36,none,0.926015625,1,1,0,0,-5.053383827,27.06837845,-14.07610416,0.4735001326,78.4398952,0,0,-28.52293777,27.29599571,-53.0195961,0.2049999833,81.79624688,8.560127258,1.459061503,0.6308608651,800,800,35800,300,300,1200,1200
LR,std,0,0,0.001,37,none,0.927578125,1,1,0,0,-4.376127243,27.94643974,-14.54675484,0.4832501411,78.60722141,0,0,-29.11523819,27.38903046,-49.13652039,0.2019999772,79.20311176,8.626113892,1.465536952,0.6199833751,800,800,36600,200,300,1200,1200
