arm,cond,seed,slot,lr,task,iv,online_acc,memo_acc,acc,dead_frac_l1,zeroout_l1,zbar_l1,zsd_l1,zbar_min_l1,mob_l1,eff_rank_l1,dead_frac_l2,zeroout_l2,zbar_l2,zsd_l2,zbar_min_l2,mob_l2,eff_rank_l2,w_norm_l1,w_norm_l2,w_norm_l3,steps,stop_step,tc,hit99,hit999,acc_at_hit_plus_500,min_correct_after_hit
LR,std,4,0,0.001,1,none,0.78,1,1,0,0,-0.6648764014,11.50061512,-2.861208439,0.5230001211,71.53784057,0,0,-1.243342876,7.504301071,-6.887008667,0.4817501009,71.98539433,2.533375263,0.8160560131,1.009293079,2200,2200,2200,1500,1700,1200,1200
LR,std,4,0,0.001,2,none,0.79953125,0.9225000143,0.9225000143,0,0,-1.898842454,18.26851845,-6.196451187,0.5042501092,71.5821415,0,0,-14.147295,14.33830452,-21.21278763,0.2312499732,79.47324093,4.000307083,1.029727578,1.153820276,2800,2800,5000,1800,2300,1107,989
LR,std,4,0,0.001,3,none,0.75045,1,1,0,0,-1.892858148,20.10370255,-6.257884502,0.5132501125,73.7430616,0,0,-16.74259758,15.31572437,-29.37598991,0.2102499902,81.738451,4.60777998,1.127921462,1.209543586,2500,2500,7500,1700,2000,1200,1198
LR,std,4,0,0.001,4,none,0.7770454545,1,1,0,0,-2.152385712,21.93659782,-8.13586235,0.5110000968,75.20515857,0,0,-19.46936607,16.87522125,-33.66480637,0.1974999756,80.22071801,5.106814384,1.200915456,1.152082443,2200,2200,9700,1500,1700,1200,1198
LR,std,4,0,0.001,5,none,0.8024553571,1,1,0,0,-2.307301521,23.94915962,-9.343810081,0.5110000968,75.29774387,0,0,-24.56316185,19.04711151,-40.90272903,0.1629999578,78.0434126,5.742203236,1.280656219,1.166167259,2800,2800,12500,1800,2300,1200,1200
LR,std,4,0,0.001,6,none,0.7772916667,1,1,0,0,-2.462826729,23.45937729,-9.030719757,0.511750102,76.80948374,0,0,-25.49803352,19.88502693,-39.61099243,0.1637499481,77.54646054,6.064750195,1.31455636,1.076399326,2400,2400,14900,1700,1900,1200,1199
LR,std,4,0,0.001,7,none,0.7567934783,0.9258333445,0.9258333445,0,0,-2.808508873,26.18824959,-10.43848133,0.5065001249,76.34619886,0,0,-31.03131866,22.0380249,-47.55214691,0.1472499669,75.7436991,6.610943317,1.363873243,1.020193696,2300,2300,17200,1600,1800,1111,1030
LR,std,4,0,0.001,8,none,0.7896153846,1,1,0,0,-2.925070524,25.94595909,-12.38215351,0.5012500882,77.08978789,0,0,-28.49796867,21.93363571,-46.25265884,0.1599999517,77.95625248,6.911794186,1.401888013,1.029508591,2600,2600,19800,1600,2100,1200,1200
LR,std,4,0,0.001,9,none,0.7744565217,1,1,0,0,-3.6078825,26.89904404,-11.75243473,0.490750134,77.35673583,0,0,-28.04293633,24.18754578,-49.88271332,0.1787499487,78.94219867,7.2479949,1.43352437,0.9392177463,2300,2300,22100,1700,1800,1200,1199
LR,std,4,0,0.001,10,none,0.7833854167,1,1,0,0,-4.018947124,28.19217682,-11.18052387,0.4930000901,77.42040525,0,0,-31.2393856,26.46294022,-52.69621658,0.179499954,79.42142697,7.538831711,1.455905199,0.9070215821,2400,2400,24500,1900,1900,1200,1199
