act,tensor,reg,n,norm0_median,ratio_min,ratio_q25,ratio_median,ratio_q75,ratio_max,norm_min,norm_q25,norm_median,norm_q75,norm_max
R,W1,l2,200,5.7717,1.86734,1.93293,1.99141,2.08608,2.2113,10.7775,11.1616,11.4943,12.0507,12.741
R,W1,l2init,200,5.7717,2.07687,2.12165,2.19321,2.27815,2.42981,11.9889,12.2519,12.6492,13.1446,14.0261
R,W1,shell,200,5.7717,2.07149,2.15944,2.21895,2.3152,2.47793,11.9312,12.4515,12.8082,13.3861,14.2677
R,W2,l2,200,5.77506,1.50978,1.56312,1.58213,1.60947,1.70217,8.76593,9.02711,9.11929,9.27802,9.8296
R,W2,l2init,200,5.77506,1.83184,1.87357,1.8915,1.9223,2.01243,10.6358,10.8218,10.8915,11.0989,11.577
R,W2,shell,200,5.77506,1.82019,1.85913,1.87845,1.91255,1.99133,10.5682,10.7332,10.8307,11.0212,11.5089
R,W3,l2,200,1.81806,4.76404,4.89778,4.95395,5.00756,5.17599,8.62181,8.9094,9.00052,9.09063,9.52129
R,W3,l2init,200,1.81806,4.85999,4.9989,5.05309,5.09702,5.24489,8.89839,9.10179,9.16682,9.26264,9.51661
R,W3,shell,200,1.81806,4.36331,4.484,4.5352,4.60268,4.8009,7.92583,8.15906,8.25607,8.35975,8.66951
SNA,W1,l2,200,5.7717,1.88833,2.10935,2.19328,2.29595,2.43305,10.926,12.1891,12.6626,13.2682,14.0093
SNA,W1,l2init,200,5.7717,2.20984,2.35718,2.42715,2.50481,2.63846,12.7281,13.5912,14.0122,14.479,15.2165
SNA,W1,shell,200,5.7717,2.24654,2.39704,2.47591,2.58055,2.70055,12.9834,13.8403,14.2643,14.8912,15.5805
SNA,W2,l2,200,5.77506,1.16533,1.56572,1.62691,1.67923,1.81321,6.71287,9.04954,9.383,9.68932,10.4708
SNA,W2,l2init,200,5.77506,1.93346,2.05821,2.09256,2.12449,2.20202,11.2259,11.8881,12.0774,12.2456,12.6263
SNA,W2,shell,200,5.77506,1.83639,1.98842,2.02375,2.06746,2.17675,10.6145,11.4999,11.679,11.9407,12.5702
SNA,W3,l2,200,1.81806,3.5221,3.75744,3.81172,3.88134,4.01699,6.33423,6.8431,6.9432,7.03805,7.27768
SNA,W3,l2init,200,1.81806,4.02861,4.14329,4.17441,4.2106,4.29842,7.30149,7.52427,7.5878,7.64758,7.78079
SNA,W3,shell,200,1.81806,3.56261,3.70367,3.76134,3.80789,3.93735,6.43341,6.74528,6.8235,6.91694,7.14414
