arm,iv,seed,step,pos,neg,l2,pre,actual,rounding
SNA,none,0,1,-0.01331370294861707,0.006355575850716851,0.0,0.0003034449460191242,-0.006654682527635699,-3.757546033454007e-10
SNA,none,0,5,-0.09188165892789958,0.04516495152362877,0.0,0.0012305091596535207,-0.04548619972606776,-1.481450477940145e-09
SNA,none,0,10,-0.18215819587705506,0.09880910461334473,0.0,0.0019287871033800994,-0.08142030328789034,8.724398944841207e-10
SNA,none,0,20,-0.3183626174151414,0.1367617941315741,0.0,0.002574402621903718,-0.17902640909951903,1.1562144517363731e-08
SNA,none,1,1,-0.011164245409913311,0.006383844516268066,0.0,-0.0001357875259767353,-0.00491618897030394,-5.506819598701895e-10
SNA,none,1,5,-0.0886709836686425,0.05776408404371723,0.0,-0.0005500631044527724,-0.031456963529869715,-8.004916744939972e-10
SNA,none,1,10,-0.18450096137450966,0.12257266732118337,0.0,-0.0008691324264820169,-0.06279742661364753,-1.3383923753857085e-10
SNA,none,1,20,-0.3212848436163032,0.17184741559769967,0.0,-0.001164544126704222,-0.15060196470464168,7.4406660872747326e-09
SNA,none,2,1,-0.013588287498184031,0.005817501191743878,0.0,-0.0003444217299638827,-0.008115208062586438,-2.618240092438575e-11
SNA,none,2,5,-0.1056265348639218,0.04252322489511915,0.0,-0.0014218928104501414,-0.06452520290503475,-1.2578193040139324e-10
SNA,none,2,10,-0.20722279017607084,0.10002243393056616,0.0,-0.002265999155197981,-0.10946635101038688,4.390315773702076e-09
SNA,none,2,20,-0.34683016548199785,0.16151050664630748,0.0,-0.0030576860386135976,-0.18837732763935694,1.7234947051144668e-08
SNA,l2,0,1,-0.014579719810482738,0.00471996350130562,1.3514167779547821e-05,0.0003728896527619672,-0.009473353050592308,-5.619567081339737e-10
SNA,l2,0,5,-0.09955204488819669,0.03319640577016492,0.00018688048106469313,0.0015071193051801226,-0.06466164120753053,-1.8757436039909284e-09
SNA,l2,0,10,-0.20308239299360373,0.06423353281966035,0.0006384038036751131,0.0023469169012172242,-0.13586353720728286,2.2617681670616692e-09
SNA,l2,0,20,-0.2921146738437707,0.07365736097909846,0.0021713620842223544,0.0031085804648805335,-0.2131773496550276,2.066054177599898e-08
