arm,iv,window,neg_localup_actualdown,neg_localup_currentdown,local_actual_opposed,n_negative,n_neg_local_up,n_up_actualdown,n_up_currentdown,n_boundaries
LR,l2,1-20,0.5819872133755531,0.31945594788039067,0.3887220394736842,420672.0,199118.0,114708.0,64311.0,19.0
LR,l2,1-5,0.5055526645732252,0.3900047015628698,0.3691842105263158,95896.0,46355.0,22801.0,17805.0,19.0
LR,l2,11-15,0.6279204750545894,0.3085655556033216,0.39064473684210527,109729.0,50999.0,31775.0,15676.0,19.0
LR,l2,16-20,0.5700926880943499,0.30109229518964464,0.39859210526315786,109367.0,51916.0,29345.0,15274.0,19.0
LR,l2,6-10,0.635954179246017,0.31318096234440196,0.398,106338.0,50051.0,31347.0,15710.0,19.0
LR,none,1-20,0.46390591398241837,0.3221008163211268,0.3923930921052632,498573.0,246736.0,112604.0,80135.0,19.0
LR,none,1-5,0.3593002201466156,0.30971683002254,0.3597236842105263,119574.0,62060.0,21639.0,18825.0,19.0
LR,none,11-15,0.5062670062931851,0.33467167746580057,0.4006274781058159,126668.0,61039.0,30516.0,20435.0,19.0
LR,none,16-20,0.5313889346089156,0.33361322472223437,0.40069078947368425,127063.0,61490.0,32166.0,20565.0,19.0
LR,none,6-10,0.46396138959648087,0.32027428630942884,0.41007894736842104,125268.0,62147.0,28283.0,20051.0,19.0
SNA,l2,1-20,0.5363719744768138,0.31487149180634705,0.38716625984799097,400783.0,191600.0,104255.0,59988.0,19.0
SNA,l2,1-5,0.43944106877810307,0.3367546895998272,0.3664365058892539,92507.0,47585.0,20426.0,15722.0,19.0
SNA,l2,11-15,0.5977578545801161,0.30330302291793626,0.3906842516798661,103434.0,48102.0,28783.0,14723.0,19.0
SNA,l2,16-20,0.5204031875434401,0.3124206925414892,0.40049945055977904,105324.0,47843.0,25316.0,15332.0,19.0
SNA,l2,6-10,0.5994734742475888,0.30862154943778713,0.3924545605291534,100189.0,48151.0,29466.0,14681.0,19.0
SNA,none,1-20,0.49233624179999663,0.3578540048202414,0.40262330566343263,456304.0,227362.0,109444.0,81053.0,19.0
SNA,none,1-5,0.39572932196622823,0.3463364072228383,0.37314238579424025,109829.0,57209.0,21885.0,19881.0,19.0
SNA,none,11-15,0.5402422016747337,0.37959921411995073,0.4074650886867516,114909.0,55595.0,29962.0,20650.0,19.0
SNA,none,16-20,0.5319296305724115,0.3664211140352797,0.41268637359878396,116255.0,56169.0,29499.0,20617.0,19.0
SNA,none,6-10,0.48872668504463057,0.34730488246046803,0.41488556750043815,114330.0,57190.0,27658.0,19889.0,19.0
