step,n_negative,n_neg_local_up,n_neg_local_up_actual_down,n_neg_local_up_current_down,n_valid,n_opposed,arm,iv,seed,task
1,727,411,139,139,1600,484,SNA,none,1,2
2,799,417,110,81,1600,417,SNA,none,1,2
3,821,408,202,138,1600,616,SNA,none,1,2
4,911,422,246,143,1600,648,SNA,none,1,2
5,941,485,333,156,1600,658,SNA,none,1,2
6,1005,465,342,83,1599,665,SNA,none,1,2
7,1049,473,324,113,1600,593,SNA,none,1,2
8,1089,500,338,106,1600,615,SNA,none,1,2
9,1114,493,322,111,1599,608,SNA,none,1,2
10,1132,502,334,126,1598,586,SNA,none,1,2
11,1139,532,339,112,1600,620,SNA,none,1,2
12,1100,517,315,137,1599,601,SNA,none,1,2
13,1117,525,309,103,1600,664,SNA,none,1,2
14,1102,522,308,163,1600,623,SNA,none,1,2
15,1124,505,274,123,1600,677,SNA,none,1,2
16,1077,455,219,139,1600,639,SNA,none,1,2
17,1080,454,243,155,1597,633,SNA,none,1,2
18,1086,452,217,168,1599,649,SNA,none,1,2
19,1081,470,244,169,1599,675,SNA,none,1,2
20,1057,475,239,176,1599,682,SNA,none,1,2
1,950,500,176,166,1600,515,SNA,none,1,3
2,952,525,179,164,1600,474,SNA,none,1,3
3,965,449,206,224,1600,631,SNA,none,1,3
4,1006,472,254,201,1599,638,SNA,none,1,3
5,1028,498,255,204,1600,579,SNA,none,1,3
6,1090,498,334,155,1599,669,SNA,none,1,3
7,1111,546,362,155,1600,620,SNA,none,1,3
8,1148,556,400,174,1600,678,SNA,none,1,3
9,1147,568,409,142,1600,674,SNA,none,1,3
10,1161,591,414,193,1600,654,SNA,none,1,3
11,1177,587,384,164,1600,659,SNA,none,1,3
12,1200,555,341,148,1600,614,SNA,none,1,3
13,1194,546,321,137,1600,593,SNA,none,1,3
14,1180,531,322,102,1600,657,SNA,none,1,3
15,1192,574,345,225,1600,695,SNA,none,1,3
16,1159,508,267,170,1600,548,SNA,none,1,3
17,1162,512,303,181,1600,602,SNA,none,1,3
18,1196,539,304,212,1596,582,SNA,none,1,3
19,1168,532,337,178,1600,719,SNA,none,1,3
20,1223,559,276,165,1599,562,SNA,none,1,3
1,1075,582,145,163,1598,479,SNA,none,1,4
2,1076,555,163,182,1599,475,SNA,none,1,4
3,1051,539,214,258,1599,548,SNA,none,1,4
4,1095,551,299,272,1598,682,SNA,none,1,4
5,1108,535,319,207,1599,686,SNA,none,1,4
6,1141,580,390,273,1600,741,SNA,none,1,4
7,1146,563,401,235,1600,710,SNA,none,1,4
8,1189,604,454,229,1599,696,SNA,none,1,4
9,1238,568,418,181,1597,686,SNA,none,1,4
10,1220,576,418,247,1600,664,SNA,none,1,4
11,1235,605,445,241,1600,700,SNA,none,1,4
12,1262,612,420,196,1599,633,SNA,none,1,4
13,1247,638,442,216,1599,686,SNA,none,1,4
14,1275,618,387,239,1597,599,SNA,none,1,4
15,1274,639,435,204,1600,675,SNA,none,1,4
16,1297,622,331,148,1599,587,SNA,none,1,4
17,1283,565,296,201,1599,595,SNA,none,1,4
18,1298,644,339,204,1599,669,SNA,none,1,4
19,1319,610,327,291,1598,667,SNA,none,1,4
20,1295,568,283,234,1600,611,SNA,none,1,4
1,1156,601,194,197,1599,463,SNA,none,1,5
2,1121,599,227,183,1600,625,SNA,none,1,5
3,1144,568,270,276,1600,663,SNA,none,1,5
4,1152,525,283,293,1600,654,SNA,none,1,5
5,1166,585,326,262,1599,616,SNA,none,1,5
6,1165,609,300,232,1600,624,SNA,none,1,5
7,1191,587,282,228,1599,612,SNA,none,1,5
8,1186,610,303,221,1599,646,SNA,none,1,5
9,1152,546,284,239,1599,620,SNA,none,1,5
10,1166,574,274,158,1600,578,SNA,none,1,5
11,1140,563,263,148,1599,631,SNA,none,1,5
12,1175,565,269,164,1600,627,SNA,none,1,5
13,1187,606,258,171,1599,590,SNA,none,1,5
14,1175,582,289,220,1599,658,SNA,none,1,5
15,1144,536,231,201,1600,568,SNA,none,1,5
16,1173,587,282,205,1600,641,SNA,none,1,5
17,1154,557,257,206,1597,673,SNA,none,1,5
18,1198,600,278,227,1600,627,SNA,none,1,5
19,1191,543,250,203,1600,665,SNA,none,1,5
20,1220,544,289,109,1599,666,SNA,none,1,5
1,1108,613,155,145,1599,508,SNA,none,1,6
2,1124,636,198,229,1600,593,SNA,none,1,6
3,1117,608,252,262,1597,607,SNA,none,1,6
4,1163,621,325,271,1600,729,SNA,none,1,6
5,1153,650,279,234,1600,630,SNA,none,1,6
6,1137,589,259,213,1598,649,SNA,none,1,6
7,1179,580,294,247,1599,676,SNA,none,1,6
8,1166,545,276,198,1599,687,SNA,none,1,6
9,1189,525,271,227,1599,632,SNA,none,1,6
10,1194,519,277,223,1600,637,SNA,none,1,6
11,1174,553,304,194,1596,691,SNA,none,1,6
12,1181,563,330,154,1599,685,SNA,none,1,6
13,1232,574,328,235,1599,662,SNA,none,1,6
14,1192,574,357,231,1599,693,SNA,none,1,6
15,1198,589,329,223,1598,642,SNA,none,1,6
16,1186,586,275,149,1599,611,SNA,none,1,6
17,1203,593,277,130,1599,627,SNA,none,1,6
18,1173,550,241,175,1600,616,SNA,none,1,6
19,1159,579,265,178,1599,599,SNA,none,1,6
20,1199,586,260,176,1599,636,SNA,none,1,6
1,1172,686,203,201,1600,515,SNA,none,1,7
2,1209,706,178,147,1599,571,SNA,none,1,7
3,1200,705,171,163,1600,523,SNA,none,1,7
4,1203,673,200,206,1599,577,SNA,none,1,7
5,1156,604,188,151,1600,654,SNA,none,1,7
6,1208,604,206,218,1600,672,SNA,none,1,7
7,1168,594,244,227,1599,674,SNA,none,1,7
8,1212,601,269,295,1599,675,SNA,none,1,7
9,1152,525,246,261,1600,636,SNA,none,1,7
10,1188,606,288,229,1599,614,SNA,none,1,7
11,1207,579,326,272,1597,649,SNA,none,1,7
12,1217,576,360,278,1597,680,SNA,none,1,7
13,1156,534,317,167,1600,620,SNA,none,1,7
14,1177,544,308,184,1600,608,SNA,none,1,7
15,1211,613,358,219,1598,673,SNA,none,1,7
16,1222,613,326,204,1600,674,SNA,none,1,7
17,1098,529,281,251,1598,685,SNA,none,1,7
18,1172,547,331,270,1599,810,SNA,none,1,7
19,1203,551,357,338,1600,712,SNA,none,1,7
20,1202,516,320,272,1600,583,SNA,none,1,7
1,1135,600,161,167,1600,506,SNA,none,1,8
2,1149,598,195,187,1600,654,SNA,none,1,8
3,1173,608,222,230,1600,657,SNA,none,1,8
4,1133,564,214,194,1600,610,SNA,none,1,8
5,1161,615,271,204,1600,694,SNA,none,1,8
6,1194,575,286,261,1600,708,SNA,none,1,8
7,1156,574,266,185,1599,659,SNA,none,1,8
8,1158,518,306,242,1599,727,SNA,none,1,8
9,1179,586,345,192,1599,726,SNA,none,1,8
10,1136,553,314,244,1600,663,SNA,none,1,8
11,1139,547,294,158,1600,652,SNA,none,1,8
12,1200,578,327,260,1599,633,SNA,none,1,8
13,1181,554,311,196,1599,642,SNA,none,1,8
